Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-734.6572	-758.7079	24.05067	10	0.05643508	0.204048	0.0881261	0.0380707	0.0170348	0.337231	0.155775	0.317967	0.0373728	0.076092	0.0797365	0.147674	0.154801	0.0200577	0.00769981	0.0063201	0.0232262	0.0457266	0.0422964	0.00182719	0.279192	0.00604377	0.0413778	0.0596818	0.0454641	0.0510263	0.0778381	0.0509469	0.0983909	0.0697496	0.0318431	0.0456463	0.0790172	0.0778452	0.289212	0.165402	0.0981602	0.195544	0.194703	0.105258	0.105994	0.0209388	0.104955	0.0809154	0.222529	0.0444929	0.0265023	0.00842906	1.19375e-11	5.15271e-06	0.0102073	3.98979	5	4.478181
1000	-371.594	-404.9936	33.3996	10	2.110599	0.128405	0.00424592	0.0392387	0.012461	0.0297957	0.0169121	0.0669562	0.0179948	0.211235	0.0460375	0.0361105	0.0496562	0.0930184	0.0689431	0.00878845	0.033844	0.0495684	0.00707291	0.0484883	0.0611639	0.0502094	0.00647794	0.00136812	0.0383383	0.0538489	0.18337	0.093542	0.121699	0.210178	0.00278225	0.00131883	0.0204257	0.0168428	0.19868	0.0905285	0.142638	0.0348203	0.00594753	0.0104434	0.00237741	0.0420978	0.169113	0.377347	0.0365728	0.0929317	0.0415254	0.163839	0.306129	0.666282	1.07253	1.95506	5	3.239199
2000	-382.4472	-409.5039	27.05668	10	1.226846	0.128222	0.00706606	0.00500832	0.0590341	0.00884248	0.274993	0.128274	0.0119787	0.232005	0.05607	0.0480648	0.0493053	0.133489	0.000431696	0.0782974	0.0416939	0.0758356	0.0280591	0.0435672	0.0519813	0.0192926	0.0197861	0.0174406	0.0152929	0.0475716	0.0638711	0.681901	0.0303986	0.1185	0.002424	0.197607	0.0879443	0.0352655	0.230965	0.0783997	0.0401038	0.0644401	0.119289	0.127314	0.0200523	0.138938	0.133909	0.0606491	0.0490477	0.003082	0.0223548	0.0307446	0.179884	0.535727	1.02935	2.25504	5	3.918805
3000	-368.174	-402.4089	34.23495	10	3.89553	0.18218	0.00586121	0.0138278	0.0814622	0.0593694	0.0599975	0.0272694	0.0313371	0.295535	0.0338764	0.047796	0.0290125	0.0354265	0.0168961	0.040838	0.0368181	0.0499795	0.0874095	0.00324934	0.0339281	0.0314371	0.0105989	0.0290185	0.0531969	0.00980554	0.00843736	0.0196721	0.264066	0.0519349	0.456485	0.00311097	0.00257092	0.173737	0.200047	0.0537662	0.121561	0.020949	0.0101858	0.00246943	0.223947	0.05514	0.035049	0.0096502	0.00570142	0.0632305	0.0175326	0.0183551	0.448529	0.771517	1.0844	1.69555	5	3.123725
4000	-379.6255	-403.6168	23.99121	10	0.833036	0.166596	0.00151368	0.0232623	0.10229	0.0106987	0.0555426	0.137234	0.025984	0.0387235	0.0367328	0.0475996	0.0350971	0.0808148	0.0676145	0.0187111	0.0594928	0.0362245	0.0675444	0.0732632	0.0130287	0.0844028	0.0069221	0.03618	0.0457455	0.0290123	0.114143	0.069498	0.506087	0.0398412	0.00526044	0.0676886	0.180095	0.374444	0.0397901	0.0158387	0.00208938	0.162726	0.12714	0.0199703	0.138474	0.0946434	0.315161	0.056822	0.00834647	0.0147936	0.0039413	0.413155	0.102567	0.420102	0.965705	2.51163	5	4.070178
5000	-384.6404	-409.9011	25.26077	10	1.973241	0.16397	0.0146441	0.00735703	0.0128193	0.0436393	0.0999539	0.0665134	0.0184275	0.128161	0.0161699	0.184694	0.0360225	0.103047	0.04386	0.0987407	0.0563501	0.0700911	0.0379057	0.00964991	0.0730499	0.094712	0.00183215	0.0401071	0.00366306	0.0185305	0.125586	0.0260817	0.0821142	0.00961172	0.0902881	0.348078	0.164589	0.621751	0.00406367	0.0166136	0.0157909	0.043605	0.00638123	0.111253	0.379535	0.0296743	0.00603083	0.0222281	0.041537	0.0200697	0.0581167	0.000925783	0.290059	0.652138	1.06931	1.9885	5	3.667834
6000	-378.6395	-411.5466	32.90712	10	1.810109	0.139815	0.0479924	0.0172423	0.0194371	0.0109537	0.0782449	0.0365638	0.00595765	0.147931	0.00634562	0.124836	0.057484	0.0113455	0.041817	0.0162355	0.0262097	0.0190129	0.0468715	0.0631948	0.0106914	0.0619862	0.0220174	0.0035569	0.153284	0.0597931	0.0217812	0.270984	0.0154016	0.0531389	0.0283916	0.191939	0.0463421	0.0263059	0.00950242	0.0130553	0.00242138	0.179441	0.0816036	0.16716	0.330563	0.0398875	0.113947	0.0277315	0.0600453	0.0475671	0.26354	0.0114601	0.269503	0.633172	1.06442	2.0329	5	3.23103
7000	-375.1438	-400.7173	25.57352	10	1.962525	0.0367873	0.00125511	0.0104476	0.0196738	0.0210697	0.0838883	0.117139	0.00682135	0.120156	0.0423411	0.178316	0.00112691	0.00869668	0.0191874	0.0424407	0.027673	0.0259866	0.157367	0.0343786	0.0736699	0.00422894	0.0508086	0.0126934	0.0576709	0.0590024	0.150985	0.2108	0.25295	0.0516323	0.146973	0.350822	0.222095	0.137081	0.0268973	0.0143144	0.0833885	0.0357781	0.0337755	0.105624	0.00433549	0.0685121	0.219806	0.561621	0.0822111	0.00368094	0.0414759	0.00266562	0.28876	0.650969	1.06902	1.99125	5	4.02025
8000	-386.3209	-407.4629	21.14195	10	2.050395	0.185847	0.00285993	0.118502	0.122946	0.0359203	0.174911	0.0224115	0.0225216	0.0623246	0.0312968	0.107636	0.0495649	0.0168115	0.0372121	0.00729955	0.0297572	0.0308436	0.172342	0.0253977	0.0472883	0.0290138	0.0447212	0.0383829	0.0447128	0.00372533	0.0108585	0.600685	0.0289665	0.00537662	0.0248682	0.837506	0.142601	0.033502	0.00153316	0.0688123	0.018732	0.143221	0.0539977	0.0711363	0.149368	0.00586823	0.0446941	0.266362	0.0313149	0.0487421	0.219228	0.105772	0.299217	0.660268	1.0712	1.96931	5	4.377396
9000	-371.6103	-401.5525	29.94224	10	2.184483	0.0983804	0.00131839	0.000262588	0.0503447	0.00811	0.124141	0.026022	0.0184279	0.120969	0.0180382	0.153414	0.119254	0.0924301	0.0180247	0.0668509	0.0312485	0.0252323	0.0230299	0.0543481	0.0261657	0.0275388	0.0302715	0.0275659	0.015785	0.000673079	0.0524103	0.187301	0.348531	0.0302826	0.0147058	0.296045	0.00514565	0.0269279	0.0057962	0.202886	0.152014	0.0396174	0.0827358	0.00941744	0.0875581	0.124749	0.422846	0.148695	0.0299942	0.151954	0.0805162	0.0294816	0.314345	0.673299	1.07399	1.93837	5	3.707456
