Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	brlens[108]	brlens[109]	brlens[110]	brlens[111]	brlens[112]	brlens[113]	brlens[114]	brlens[115]	brlens[116]	brlens[117]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2935.597	-2908.941	-26.65572	10	1.105851	0.0522003	0.140038	0.0219375	0.107144	0.0210154	0.108263	0.171607	0.00768998	0.00233286	0.0914368	0.171871	0.0734549	0.0290443	0.0103534	0.0585033	0.123868	0.00478737	0.00127779	0.0835058	0.0009807	0.0526827	0.0462039	0.334311	0.184524	0.0695703	0.0217575	0.0185091	0.078688	0.127874	0.0393734	0.071957	0.0952491	0.153162	0.0029097	0.0541307	0.0551407	0.0369765	0.0152801	0.135278	0.186892	0.0797974	0.0622399	0.0382506	0.00814012	0.0272639	0.0444863	0.110761	0.224043	0.0445595	0.0928839	0.0409355	0.00160704	0.0141491	0.0459223	0.0639631	0.0402706	0.00553633	0.111786	0.1722	0.0824155	0.012872	0.186259	0.0250417	0.106936	0.0942169	0.00855216	0.0204073	0.292561	0.1124	0.198305	0.222401	0.0456338	0.0667875	0.0596574	0.00120252	0.079083	0.13806	0.0190745	0.0251787	0.0102699	0.135042	0.0826357	0.231627	0.0932294	0.264946	0.157055	0.0269286	0.102831	0.0524826	0.200154	0.327963	0.000353193	0.454818	0.25229	0.0240635	0.0189216	0.00402957	0.233186	0.0484566	0.248156	0.184283	0.0631197	0.0413063	0.000772338	0.0608063	0.0180001	0.193024	0.0108983	0.00937775	0.0870004	0.0280075	0.0275243	0.124482	0.147101	0.0733842	0.0627911	0.173192	0.157577	0.506409	1.01554	2.32047	5	10.36213
1000	-1370.033	-1367.966	-2.066629	10	1.520486	0.0130581	0.0672073	0.00224205	0.0400115	0.00338654	0.0312372	0.0203513	0.0406707	0.0499672	0.0228999	0.00941856	0.0118252	0.0113951	0.0496395	0.0138861	0.00474701	0.0020208	0.0238277	0.0423009	0.0598305	0.0631323	0.0341004	0.299406	0.010258	0.0719088	0.0916849	0.00245793	0.0145434	0.123043	0.0504346	0.0178619	0.0684361	0.011569	0.0244999	0.0224109	0.00699768	0.0605127	0.0273341	0.0218012	0.000678499	0.12632	0.00303772	0.0272062	0.030566	0.0246157	0.0895498	0.00777588	0.00462524	0.100533	0.025788	0.050112	0.0616462	0.0211577	0.119825	0.0236985	0.107912	0.0440152	0.0402844	0.00795705	0.0945667	0.00130165	0.00402597	0.324526	0.111458	0.0310135	0.0360138	0.00587386	0.00854386	0.0168803	0.0867248	0.000783195	0.0490289	0.0217941	0.256624	0.0638837	0.082356	0.0286932	0.0216146	0.064777	0.0196827	0.217816	0.0400528	0.258849	0.0427031	0.495438	0.0443898	0.147691	0.0463627	0.142424	0.0121549	0.092985	0.0894892	0.0334845	0.0131515	0.199271	0.0320481	0.221515	0.129668	0.00460171	0.00617559	0.0226146	0.0633485	0.0240134	0.0541448	0.163318	0.0508555	0.227901	0.0637535	0.00249775	0.154626	0.0180269	0.0109945	0.032865	0.0543325	0.387302	0.0588514	0.0156663	0.22847	0.591931	1.0516	2.128	5	7.46517
2000	-1409.862	-1386.905	-22.9575	2	1.878142	0.0432125	0.0495782	0.0694807	0.0845995	0.0354041	0.0125267	0.0415866	0.0590826	0.00451253	0.00632141	0.00538232	0.0173842	0.0830365	0.00472046	0.000880681	0.116194	0.0275039	0.0348425	0.0158777	0.0424835	0.12388	0.118645	0.051381	0.0354872	0.136254	0.0247414	0.0434991	0.0272722	0.0186296	0.077819	0.16278	0.0197532	0.020296	0.000341578	0.0222226	0.0401605	0.0697672	0.0881213	0.0151937	0.0178712	0.0944688	0.085318	0.028148	0.0251383	0.192553	0.0748313	0.0463457	0.0131305	0.051817	0.052789	0.00436083	0.0154029	0.140047	0.0730583	0.000502472	0.0295796	0.0434988	0.0368197	0.122556	0.152816	0.483054	0.0599659	0.00474411	0.267006	0.0694625	0.116936	0.00787633	0.396516	0.132331	0.00306264	0.107108	0.274732	0.0140545	0.370879	0.091123	0.00856693	0.129738	0.106649	0.0308907	0.108254	0.201968	0.00211919	0.0310291	0.00833006	0.0237154	0.00508521	0.248482	0.0335684	0.0503692	0.0124657	0.0194982	0.0413771	0.0156801	0.0174029	0.0265911	0.118707	0.136456	0.0110248	0.245268	0.0824304	0.0588416	0.0640483	0.00238698	0.144027	0.0566782	0.00483348	0.0506762	0.0293967	0.0134673	0.0303679	0.0381961	0.0123174	0.0926684	0.055442	0.885863	0.00505046	0.0209156	0.278281	0.641397	1.06662	2.0137	4	8.831602
3000	-1377.102	-1366.642	-10.46046	2	1.507326	0.0890936	0.0578379	0.0232736	0.0288963	0.107538	0.0247108	0.0185117	0.0238352	0.0152295	0.00708636	0.0257901	0.0203831	0.0220091	0.0951262	0.00248512	0.0237358	0.0326259	0.0575739	0.0173061	0.00624451	0.0447995	0.0155849	0.317696	0.0327403	0.072618	0.0406112	0.000523974	0.101908	0.105607	0.0400514	0.0160691	0.073414	0.0276586	0.00378015	0.0134696	0.109667	0.1601	0.142855	0.0307053	0.0158936	0.0135165	0.03489	0.0266113	0.0140402	0.17945	0.0360521	0.0200101	0.0288506	0.0104459	0.040702	0.00401983	0.122003	0.000582095	0.0653195	0.00166673	0.0810071	0.00130759	0.0114902	0.193091	0.030863	0.135785	0.223823	0.0867306	0.0585138	0.0524042	0.0307162	0.0436456	0.517169	0.00142243	0.0333764	0.067274	0.192863	0.00748379	0.186251	0.0589111	0.00579778	0.0138621	0.0640534	0.053072	0.0832793	0.0979117	0.0689155	0.0384206	0.0293921	0.0127414	0.0580718	0.0322937	0.0345492	0.0300527	0.0486376	0.0136155	0.0965642	0.0662036	0.00213743	0.00861665	0.0024416	0.123061	0.0359891	0.00526245	0.137678	0.0244019	0.130551	0.0125453	0.069315	0.0676604	0.0595206	0.0449729	0.105728	0.0465209	0.0107054	0.00313523	0.00287474	0.00969161	0.0361865	1.01309	0.0189936	0.0469338	0.226452	0.589771	1.05085	2.13293	4	7.542786
4000	-1386.659	-1374.533	-12.12541	2	1.353742	0.0457918	0.0112869	0.00663917	0.0537925	0.016495	0.00306385	0.00647668	0.120783	0.00721686	0.00239358	0.0280885	0.0647914	0.0525251	0.0708645	0.0149309	0.0167936	0.103476	0.0266601	0.0603913	0.021706	0.0829949	0.0527791	0.0579752	0.0018696	0.227754	0.0251547	0.0598724	0.0179747	0.121934	0.0293613	0.0664779	0.0138486	0.00101101	0.0180569	0.0121573	0.1674	0.132418	0.0220809	0.00201726	0.00087195	0.0826738	0.0682254	0.0582019	0.0148426	0.0407532	0.0817593	0.0111779	0.0445931	0.0396725	0.00898019	0.195165	0.0259434	0.00864373	0.0449915	0.00148681	0.157065	0.0496442	0.0139536	0.12063	0.0177967	0.167117	0.132865	0.0308716	0.0654313	0.0150434	0.0201754	0.0156066	0.539472	0.0384017	0.0505553	0.00593447	0.0346849	0.00228352	0.144812	0.156822	0.00612869	0.299062	0.0762429	0.0871768	0.029871	0.0521218	0.0621901	0.0475022	0.00831875	0.0370319	0.0298487	0.0329804	0.0928145	0.0965232	0.106288	0.104611	0.126404	0.0491104	0.0876281	0.0597232	0.13648	0.00734865	0.033375	0.0619633	0.111748	0.373414	0.0164724	0.101742	0.0491583	0.225374	0.0588321	0.098656	0.00889351	0.0433151	0.118806	0.0344561	0.0707862	0.0153964	0.0726437	0.0697467	0.0967231	0.0311847	0.201819	0.562252	1.04054	2.19539	4	7.682545
5000	-1389.324	-1378.267	-11.05661	2	1.5615	0.089485	0.0847146	0.0366837	0.0654524	0.087551	0.0210813	0.0328779	0.0387247	0.00301838	0.00023664	0.0120145	0.00121306	0.0191578	0.038993	0.0529407	0.0467661	0.0271036	0.0253849	0.00750465	0.0917769	0.0993376	0.013166	0.173171	0.0280592	0.229123	0.122145	0.0236222	0.068307	0.0479282	0.0450887	0.00559402	0.0553716	0.0113061	2.73715e-05	0.0423798	0.21159	0.0470719	0.0265195	0.00213454	0.027613	0.163744	0.061503	0.0504285	0.0106709	0.0940351	0.0345732	0.0226809	0.0106976	0.0327405	0.00371876	0.0570081	0.00293023	0.0138495	0.0372813	0.00166986	0.141176	0.013331	0.0144176	0.021108	0.027317	0.002001	0.0586799	0.0263365	0.125711	0.0267286	0.152428	0.188218	0.671397	0.0737881	0.0908869	0.00759523	0.0713077	0.00508082	0.0480507	0.0443351	0.0566451	0.254969	0.0488658	0.0868486	0.0829835	0.326705	0.0485181	0.0374359	0.0342856	0.0459472	0.178855	0.0504692	0.0336211	0.073024	0.0156916	0.0194364	0.105754	0.0227014	0.087928	0.00293965	0.0169099	0.0573603	0.0113642	0.0489337	0.127594	0.698606	0.0219716	0.0558022	0.00407707	0.0407489	0.0368546	0.0132278	0.00349251	0.0223252	0.128738	0.0984292	0.109204	0.0634104	0.0387838	0.0078216	0.0237673	0.00844879	0.234668	0.598483	1.05384	2.11301	4	7.721157
6000	-1387.59	-1371.108	-16.48174	2	1.98244	0.042185	0.00868827	0.054221	0.0439657	0.0036571	0.0967378	0.00607118	0.041147	0.0343493	0.0304113	0.0263842	0.000416938	0.0729525	0.0785249	0.0236632	0.055489	0.0188963	0.0212382	0.01751	0.000980694	0.0296696	0.0513872	0.0988375	0.108582	0.155981	0.00492559	0.00727538	0.025939	0.0758317	0.15177	0.0475639	0.0452103	0.0119436	0.00459741	0.0138733	0.076917	0.0166567	0.0404905	0.0358358	0.00645493	0.115138	0.0683297	0.0165288	0.0475535	0.209356	0.0480439	0.0253986	0.0187679	0.0639186	0.0358821	0.0148271	0.0605815	0.0201564	0.0422353	0.0145859	0.147653	0.00512215	0.0615844	0.0779071	0.0279119	0.0429581	0.037456	0.0252973	0.0376257	0.0158922	0.0444883	0.0673454	0.649337	0.0119745	0.0243983	0.0363512	0.0923111	0.0187005	0.0725181	0.119487	0.0154837	0.00156968	0.0156069	0.120824	0.0372291	0.0555726	0.0912203	0.139522	0.0164445	0.0275789	0.000940461	0.0240392	0.116231	0.00682149	0.0433775	0.172662	0.122769	0.0713781	0.0413617	0.0973128	0.0568471	0.11025	0.0606843	0.219537	0.071133	0.684997	0.0458308	0.0808404	0.0419198	0.0883095	0.123718	0.0704679	0.0701739	0.178731	0.436867	0.041538	0.0868489	0.0430809	0.0274577	0.0278948	0.277629	0.0776445	0.29117	0.653133	1.06954	1.98615	4	8.245202
7000	-1367.41	-1362.727	-4.682212	10	2.447404	0.0682035	0.0763621	0.026118	0.01751	0.0515613	0.0155423	0.0113896	0.0765338	0.035579	0.00332191	0.0537037	0.00219842	0.155801	0.100426	0.0507521	0.0228621	0.0327481	0.0393371	0.0123637	0.0623715	0.175694	0.0451463	0.0296661	0.0205689	0.305341	0.0142408	0.00290026	0.0202765	0.0789467	0.0687157	0.164785	0.0627814	0.0170877	0.0187657	0.00368558	0.145334	0.033742	0.0700127	0.0189762	0.0166879	0.0604082	0.0464269	0.0143756	0.0292817	0.162672	0.0485153	0.0485412	0.0564684	0.0310531	0.0318866	0.00789792	0.00173998	0.0364958	0.0804058	0.00938613	0.339905	0.053762	0.00223729	0.0216837	0.0506313	0.200355	0.0854641	0.0610582	0.0198117	0.0464576	0.157102	0.00946039	0.0323178	0.070583	0.000416905	0.0202033	0.0103725	0.035115	0.124612	0.084768	0.240705	0.104904	0.0498218	0.149728	0.021357	0.0568511	0.0336268	0.0961178	0.00237605	0.0115431	0.0337343	0.496572	0.0294877	0.0913837	0.0776395	0.106842	0.00247516	0.0683081	0.115302	0.0558421	0.0281728	0.0449356	0.0292674	0.0153921	0.0255407	0.571577	0.0239273	0.0392162	0.0602094	0.114558	0.0145141	0.0625583	0.033342	0.0087818	0.0950105	0.240959	0.0172699	0.00358634	0.0422208	0.0153335	0.00852225	0.00623426	0.341413	0.695473	1.078	1.88511	5	7.66566
8000	-1407.607	-1378.345	-29.26193	2	1.1542	0.037681	0.0286238	0.0508274	0.0483043	0.0263586	0.059639	0.00975217	0.0524821	0.00757413	0.0753323	0.00761049	0.0353427	0.0678993	0.0762435	0.00799448	0.0153101	0.0822521	0.000599683	0.00199589	0.0880001	0.472338	0.105834	0.0706615	0.041483	0.337158	0.048447	0.0223137	0.0158663	0.0854258	0.0599815	0.0969682	0.0949211	0.0319299	0.0138297	0.00162484	0.0339134	0.169982	0.0569028	0.0749183	0.0115194	0.157291	0.0821914	0.00688606	0.0118251	0.0630523	0.0352785	0.0131574	0.0151877	0.063641	0.000324373	0.00465273	0.0613621	0.0232903	0.0147356	0.0157029	0.20075	9.25882e-05	0.0423989	0.0399041	0.0669098	0.00456893	0.025102	0.0367756	0.00750298	0.0100683	0.172041	0.29528	0.0309401	0.142586	0.0189597	0.0166117	0.0529193	0.0160225	0.108925	0.0236038	0.00141932	0.0195609	0.105662	0.426313	0.143391	0.0249031	0.168195	0.0669885	0.0663285	0.0106765	0.00590635	0.603267	0.134176	0.303756	0.0305562	0.0889435	0.0277393	0.0623456	0.0322026	0.0511822	0.00149586	0.0322152	0.0555445	0.101248	0.0229373	0.865192	0.0222368	0.0311432	0.105944	0.359022	0.0469574	0.00699476	0.0586567	0.306818	0.0352077	0.0726503	0.0252216	0.0111317	0.0104561	0.017834	0.21815	0.0662704	0.166655	0.518654	1.0215	2.2932	4	9.353224
9000	-1401.613	-1385.851	-15.76119	2	1.517251	0.0859728	0.0388345	0.0141139	0.0168719	0.0755916	0.0177273	0.0498148	0.121747	0.000669641	0.0134457	0.100304	0.0023764	0.13997	0.0534426	0.0843259	0.123205	0.0496093	0.0553995	0.0176446	0.00584329	0.258754	0.0431302	0.151774	0.0452591	0.139258	0.0643545	0.0361744	0.0481981	0.0110869	0.0907016	0.0351801	0.0363298	0.0114974	0.019415	0.00895357	0.135889	0.0391376	0.00791376	0.0475188	0.0235226	0.129537	0.00044038	0.016885	0.0360398	0.0267913	0.0332713	0.0333425	0.0121095	0.0237021	0.0110079	0.00358403	0.0380319	0.0332895	0.0856433	0.0134917	0.1024	0.00466932	0.0370554	0.0624372	0.0475795	0.0610138	0.197537	0.0105175	0.069788	0.0668451	0.178416	0.0422611	0.0375479	0.014532	0.083335	0.0848277	0.107984	0.00426728	0.122247	0.0835693	0.0179888	0.164341	0.0743257	0.125565	0.0156767	0.00947878	0.0283133	0.0581149	0.168667	0.00331273	0.0243039	0.478698	0.018345	0.00868146	0.07546	0.158481	0.00639986	0.174234	0.0218218	0.0444603	0.0460165	0.00719139	0.0949566	0.150015	0.0409755	0.98316	0.134293	0.166864	0.0298101	0.0104632	0.0328276	0.0169247	0.184786	0.176438	0.0822354	0.0253002	0.0114113	0.0477867	0.0207815	0.0194941	0.0203757	0.00840854	0.227975	0.591403	1.05142	2.1292	4	8.224139
