Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-693.5462	-707.1493	13.60305	10	2.619993	0.0517777	0.206397	0.156231	0.0985606	0.0477231	0.195537	0.113593	0.00157551	0.259917	0.0630901	0.00153252	0.128245	0.00768283	0.00120412	0.147649	0.0982887	0.0304394	0.027631	0.000290368	0.0925708	0.179403	0.0869219	0.0507259	0.160193	0.00057548	0.0533305	0.0433786	0.0421066	0.111116	0.149515	0.0204862	0.0822201	0.117373	0.357546	0.708051	1.07987	1.85453	5	2.827281
1000	-374.1318	-381.0922	6.96034	2	0.6922079	0.0433032	0.0627629	0.0314037	0.041426	0.0170902	0.0774868	0.0159288	0.000336024	0.0314212	0.0219903	0.12371	0.0861392	0.0983857	0.283955	0.00730497	0.243557	0.109938	0.0929328	0.0683648	0.240478	0.0440387	0.424257	0.015819	0.110309	0.0489584	0.00600185	0.0683464	0.0346183	0.043852	0.0201835	0.0570313	0.797061	0.11075	0.0725247	0.35983	0.921946	2.6457	4	3.479142
2000	-384.4194	-399.1718	14.75233	1	0.3974523	0.0139736	0.0881686	0.0346086	0.0949837	0.016124	0.0122321	0.0537864	0.0293366	0.0278352	0.0308686	0.0174266	0.028292	0.00422219	0.122894	0.177593	0.0712249	0.0645242	0.0571326	0.117702	0.0251889	0.00598788	0.0288099	0.115017	0.0476684	0.230888	0.000748187	0.00915823	0.0398731	0.130499	0.0176452	0.0663593	0.773576	0.0316571	0.0163486	0.17985	0.728509	3.07529	3	2.586006
3000	-360.7038	-376.0816	15.37775	2	0.2704616	0.0199837	0.0510669	0.0328079	0.0577294	0.013746	0.00220978	0.00983422	0.00368342	0.0154195	0.00412132	0.00508233	0.0343663	0.0659311	0.0756497	0.0013988	0.0761794	0.0287495	0.0338593	0.0162748	0.0754404	0.0219921	0.0314686	0.118576	0.0318782	0.00726891	0.125461	0.0208009	0.172567	0.0140906	0.274155	0.00395726	1.05835	0.0430751	0.00320551	0.081815	0.542697	3.37228	4	2.547174
4000	-383.7109	-391.3126	7.601706	2	0.2706262	2.82065e-05	0.0422345	0.018447	0.109335	0.0202273	0.038253	5.45976e-05	0.00741965	0.00361741	0.006991	0.0702122	0.00906315	0.120892	0.0941162	0.0267039	0.160094	0.0557756	0.0164341	0.018568	0.0304424	0.584138	0.0496677	0.190074	0.0608763	0.00548609	0.0432049	0.0179881	0.0176504	0.149567	0.0471237	0.620351	0.638258	0.0399	0.00321547	0.0819392	0.543014	3.37183	4	3.313195
5000	-377.7242	-386.552	8.827785	1	0.6541437	0.00871394	0.098786	0.0231662	0.00441415	0.0260775	0.197352	0.0239674	0.00115408	0.0237303	0.0253287	0.0968241	0.0389861	0.0265121	0.0174437	0.124909	0.103552	0.0359033	0.0571244	0.0483916	0.109141	0.0105725	0.0562424	0.0799703	0.00244136	0.155682	0.0401034	0.0264523	0.088531	0.058254	0.0613286	0.287974	0.607209	0.586553	0.0644336	0.341066	0.906613	2.68789	3	3.152792
6000	-377.9677	-388.035	10.0673	1	0.9837461	0.0261991	0.0658758	0.0530719	0.0190073	0.0232397	0.0182814	0.0911917	0.00201612	0.0292445	0.015525	0.0361241	0.0523294	0.048688	0.122166	0.00126844	0.0011007	0.0821075	0.0512037	0.0225027	0.162158	0.131037	0.0468845	0.710074	0.0375488	0.00385455	0.119728	0.0670138	0.0593055	0.00147465	0.152534	0.114411	0.573018	0.0556949	0.133699	0.471811	0.997254	2.39724	3	2.99588
7000	-372.4313	-384.5756	12.14423	2	0.5768001	0.0143839	0.068935	0.0150435	0.100343	0.0132006	0.176764	0.0155021	0.0157937	0.0182901	0.00815321	0.00412135	0.188817	0.0306075	0.187292	0.115085	0.0537704	0.039586	0.0408219	0.00590365	0.0153987	0.0149314	0.31962	0.00724171	0.0105	0.0409723	0.0672863	0.0699049	0.107451	0.141955	0.225066	0.0132271	0.677889	0.0290498	0.0483611	0.299128	0.869005	2.78351	4	2.852908
8000	-374.7179	-382.1718	7.453936	2	0.6204435	0.0284583	0.0651127	0.0529588	0.0406188	0.0491864	0.00647844	0.0258754	0.0095783	0.00892099	0.0737252	0.0276713	0.232736	0.0173516	0.220383	0.0574795	0.0998978	0.0797523	0.0374986	0.0578153	0.0590298	0.611208	0.232159	0.0487123	0.0346961	0.0290442	0.0662016	0.0513729	0.0505074	0.0393055	0.0291645	0.0491499	0.893325	0.0234316	0.05735	0.323447	0.891401	2.7278	4	3.408807
9000	-377.5729	-387.1903	9.617397	1	1.064586	0.00493058	0.117057	0.0246968	0.0438384	0.0120541	0.0726745	0.00431573	0.00948806	0.00832325	0.0195216	0.0325391	0.0433185	0.0818399	0.326561	0.250507	0.000158363	0.0232101	0.0994617	0.0278487	0.0258163	0.0318818	0.0226622	0.0452349	0.0227588	0.106672	0.0980721	0.0346991	0.118471	0.361626	0.00249987	0.0594149	0.297404	0.60323	0.149657	0.495339	1.00993	2.34507	3	3.032786
