Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-896.5629	-918.0476	21.48463	10	0.2170796	0.0369558	0.0448647	0.273172	0.246617	0.0069355	0.271071	0.152331	0.00357089	0.105878	0.0567467	0.106567	0.0972761	0.0379574	0.00948742	0.0485037	0.180487	0.0803323	0.0787701	0.129044	0.0773819	0.0267453	0.00643176	0.360044	0.19672	0.0336288	0.0430314	0.103661	0.0009144	0.044173	0.426749	3.52816	5	2.814211
1000	-571.3208	-599.2268	27.90607	10	1.714472	0.280554	0.00853957	0.0311046	0.1283	0.0236984	0.00270677	0.0618778	0.0152947	0.00760395	0.0664984	0.0558388	0.0149179	0.0616683	0.039959	0.0487061	0.296422	0.128959	0.182701	0.0462433	0.134457	0.107726	0.124134	0.0216275	0.167154	0.173307	0.000632518	0.0382358	0.256635	0.620755	1.06088	2.06173	5	2.268868
2000	-577.9598	-600.8011	22.84125	10	0.5951139	0.421266	0.0814407	0.0760176	0.0352671	0.0902545	0.0924496	0.00981508	0.000154952	0.0147665	0.00405834	0.0211803	0.0582566	0.137225	0.0449423	0.0380319	0.0490402	0.231922	0.0141299	0.26595	0.0488893	0.0842819	0.163789	0.111481	0.0962743	0.24174	0.0152175	0.450775	0.0521019	0.309545	0.878806	2.75955	5	2.898618
3000	-563.4362	-594.7112	31.275	10	0.8366197	0.382571	0.146987	0.0497604	0.0175736	0.0146683	0.0298235	0.0168485	0.0153703	0.00625285	0.0668167	0.0776219	0.0986028	0.0549072	0.0431925	0.00398224	0.0989755	0.13228	0.158208	0.151543	0.0239336	0.217534	0.149909	0.0275838	0.128255	0.165112	0.0754303	0.00692009	0.103324	0.42147	0.966607	2.5086	5	2.360663
4000	-567.6128	-600.1939	32.58112	10	0.8264352	0.310937	5.84788e-05	0.0947031	0.0267727	0.0487405	0.0237818	0.0402484	0.00307048	0.0020756	0.000325562	0.0743691	0.0869586	0.151463	0.111472	0.00513771	0.297247	0.21176	0.127226	0.168659	0.0143086	0.0944029	0.251659	0.0238975	0.00294895	0.179895	0.086194	0.0286843	0.10117	0.417563	0.964019	2.51725	5	2.466997
5000	-573.4277	-599.1806	25.75284	10	1.539804	0.340931	0.0115476	0.136695	0.0308301	0.024334	0.020324	0.00481318	0.00385224	0.0039857	0.00126699	0.127068	0.102462	0.0681113	0.0131158	0.0886804	0.312719	0.311544	0.0692232	0.0353792	0.0689025	0.129874	0.0372995	0.122866	0.195506	0.253476	0.0335588	0.227542	0.231406	0.59505	1.05268	2.12087	5	2.775907
6000	-581.4632	-596.7273	15.26409	2	3.45222	0.374659	0.0640758	0.0123169	0.0539716	0.0229188	0.00108944	0.00884442	0.000135165	0.00885973	0.0456898	0.149886	0.0870753	0.116024	0.11888	0.0196251	0.0943776	0.117401	0.226275	0.0918891	0.194084	0.358872	0.0210671	0.113718	0.265039	0.143998	0.09003	0.0233126	0.421479	0.753846	1.08399	1.74068	4	2.824113
7000	-571.7056	-599.2885	27.58286	10	0.7555375	0.274841	0.0373702	0.00887744	0.00885831	0.0556968	0.0693755	0.00020059	0.0161716	0.0175515	0.0260659	0.120306	0.114525	0.0443096	0.041611	0.0390264	0.0451713	0.00792607	0.130204	0.160518	0.151162	0.142971	0.0680786	0.145107	0.0597159	0.108106	0.0671271	0.399711	0.0860692	0.388598	0.94383	2.5815	5	2.360585
8000	-575.3994	-605.2414	29.84197	10	5.059826	0.258932	0.0219227	0.0299526	0.0182021	0.0621258	0.0911136	0.0191088	0.020301	0.00612374	0.019087	0.0621584	0.0984679	0.181526	0.127532	0.0195013	0.0142218	0.0664513	0.225752	0.202991	0.134544	0.0965989	0.0518572	0.0596854	0.0906596	0.161485	0.0743057	0.14	0.504544	0.80538	1.0832	1.60688	5	2.354606
9000	-578.8743	-598.1827	19.30846	10	1.224261	0.43323	0.088422	0.0731902	0.234993	0.00595284	0.0244258	0.0201773	0.00626687	0.00527375	0.00328159	0.048761	0.0640599	0.0611952	0.0796541	0.144145	0.00481657	0.13231	0.201203	0.00238164	0.150749	0.12018	0.181517	0.0697276	0.200171	0.145369	0.197185	0.270803	0.179422	0.535145	1.02909	2.25634	5	2.969441
10000	-569.9906	-600.6043	30.61366	2	0.5269148	0.101152	0.0121141	0.0646462	4.91547e-05	0.0545274	0.0112412	0.0452571	0.00216979	0.00134023	0.0841898	0.0268143	0.0734325	0.00198055	0.0399981	0.0155679	0.00478504	0.15636	0.00286839	0.114656	0.149648	0.0810163	0.0490286	0.104069	0.0944989	0.115568	0.056247	0.266409	0.0384782	0.269124	0.838906	2.85349	4	1.729635
11000	-579.2924	-608.3306	29.03819	10	2.052871	0.195066	3.22035e-05	0.0161808	0.0366289	0.00262681	0.0341625	0.0417132	0.0225312	0.0289225	0.00341476	0.0426426	0.122907	0.00367083	0.0371287	0.110856	0.147431	0.238733	0.167468	0.152793	0.193295	0.249054	0.0935559	0.18365	0.0814672	0.206723	0.0414181	0.0484172	0.299505	0.660521	1.07126	1.96872	5	2.502489
