Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-373.6205	-393.3405	19.72001	10	1.38966	0.0529497	0.334904	0.0475507	0.0838949	0.51434	0.223393	0.0256774	0.158828	0.147023	0.0770495	0.0458132	0.065887	0.0783019	0.126055	0.0102444	0.139477	0.16411	0.123738	0.0481972	0.040896	0.213967	0.219686	0.202795	0.217827	0.0277668	0.119193	0.0107493	0.0357152	0.0942072	0.0511557	0.00222836	0.311778	0.00106595	0.207763	0.569097	1.04323	2.17991	5	4.016465
1000	-211.5199	-234.9077	23.38776	2	2.310632	0.130625	0.0106928	0.0736632	0.0450131	0.0524345	0.207487	0.137079	0.186167	0.0613156	0.0576299	0.0160719	0.0705443	0.0631685	0.0267317	0.0758187	0.0833533	0.016298	0.208577	0.217016	0.0459149	0.00987749	0.119539	0.0244777	0.00754687	0.0272734	0.0780612	0.110354	0.00592001	0.0620788	0.0249874	0.0602929	0.256749	0.0295554	0.327735	0.684444	1.07612	1.9117	4	2.602314
2000	-211.5131	-227.9343	16.42117	1	2.623086	0.0870321	0.0132103	0.0541893	0.0545474	0.0568721	0.282657	0.188266	0.115132	0.0731199	0.0322696	0.026026	0.0134124	0.119687	0.0299636	0.0260753	0.0615011	0.0292947	0.0711868	0.405534	0.069875	0.123299	0.0875263	0.0185113	0.166667	0.0101571	0.169283	0.0104226	0.0518813	0.103654	0.0358744	0.0169219	0.0356685	0.22122	0.357824	0.708264	1.0799	1.85401	3	2.860938
3000	-210.1594	-237.0562	26.89687	2	1.482232	0.124096	0.0172569	0.0416334	0.0217458	0.151262	0.0013573	0.105895	0.0378903	0.0135896	0.148207	0.0303421	0.00609732	0.196581	0.040321	0.020131	0.0151214	0.00362418	0.215255	0.0209898	0.165382	0.0649211	0.0419949	0.0802491	0.0311818	0.0894355	0.0422704	0.00419263	0.0155023	0.42169	0.00542441	0.0611048	0.0184612	0.0302883	0.222565	0.585572	1.04936	2.1425	4	2.283494
4000	-214.9349	-230.042	15.10704	2	1.877175	0.0693984	0.0677933	0.216312	0.0430203	0.0219183	0.0790821	0.0438936	0.10761	0.080895	0.0106625	0.0262974	0.00566003	0.0356178	0.0192782	0.0197561	0.134755	0.0289352	0.0312586	0.00515427	0.0308823	0.014277	0.278599	0.260549	0.00362759	0.0262683	0.143822	0.39854	0.00523789	0.0247724	0.350018	0.694985	0.102105	0.00505129	0.278159	0.641283	1.06659	2.01397	4	3.386032
5000	-181.2739	-220.3607	39.08674	10	1.674759	0.0776987	0.00403071	0.00647893	0.0124137	0.0193932	0.0336941	0.0829532	0.0220084	0.0805146	0.013524	0.0106643	0.00404572	0.112979	0.0581959	0.0126935	0.203498	0.0158584	0.0509522	0.103549	0.00512637	0.0986805	0.0446764	0.149641	0.0245877	0.00734564	0.0386267	0.0886918	0.0195816	0.00427489	0.138231	0.0203605	0.25248	0.172041	0.251101	0.615277	1.05923	2.0744	5	1.989492
6000	-192.8074	-226.7755	33.96803	10	0.7973008	0.145752	0.0275585	0.069014	0.0121292	0.0857293	0.173866	0.168842	0.0736	0.0175282	0.0520259	0.0189304	0.000506197	0.150971	0.0179699	0.0130562	0.126922	0.0172859	0.276409	0.135588	0.0115219	0.118292	0.000483342	0.00619506	0.0464286	0.504417	0.0126978	0.158553	0.0624165	0.0825873	0.00336155	0.0412847	0.0152309	0.0946698	0.0949843	0.406045	0.956204	2.54277	5	2.741823
7000	-195.772	-227.6216	31.84961	10	2.105616	0.117058	0.0106455	0.0226903	0.0780948	0.0717046	0.0743873	0.0670191	0.123173	0.0275966	0.0379636	0.0177531	0.00101911	0.147161	0.0334152	0.0920249	0.110219	0.0388127	0.0241156	0.153329	0.0921657	0.0289176	0.0797425	0.538167	0.0174748	0.0152564	0.17689	0.0336964	0.0194922	0.125754	0.11746	0.042105	0.0860163	0.0335989	0.305564	0.665794	1.07242	1.95622	5	2.654919
8000	-205.0732	-232.0716	26.99832	10	1.189325	0.0922589	0.0464463	0.00961703	0.0216044	0.241794	0.0515346	0.0313692	0.0404277	0.052474	0.0361885	0.207055	0.0527231	0.0532341	0.0180546	0.00574578	0.00924931	0.0209142	0.0513041	0.0290913	0.0116043	0.0639149	0.136728	0.0610565	0.571455	0.0321645	0.405173	0.0167578	0.0167607	0.148638	0.00376139	0.0944057	0.177955	0.0682759	0.173113	0.527098	1.02544	2.27434	5	2.879738
9000	-179.3113	-220.3447	41.03334	10	2.320255	0.0888908	0.00283459	0.00484498	0.0299247	0.0249693	0.120901	0.0115357	0.0941867	0.103488	0.0219835	0.0220139	0.00598255	0.0782375	0.0176897	0.016191	0.116577	0.014729	0.0237061	0.0187465	0.0854691	0.00997418	0.105349	0.0175819	0.423824	0.100176	0.0243788	0.0707018	0.0195792	0.0409765	0.0175797	0.0059529	0.0952917	0.130016	0.328725	0.685254	1.07627	1.90975	5	1.964282
