Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-219.0398	-294.306	75.26619	10	1.235478	0.101901	0.148455	0.0789382	0.0301254	0.00505274	0.100274	0.0188622	0.116579	0.202457	0.0652295	0.0281457	0.0173006	0.201937	0.0064367	0.0791731	0.021572	0.040903	0.165612	0.0744962	0.147846	0.0445392	0.182734	0.175754	0.250198	0.155376	0.0622321	0.0272828	0.0816285	0.054034	0.0185023	0.0251325	0.0803601	0.259959	0.181423	0.537657	1.03021	2.25071	5	3.069029
1000	-139.0731	-180.5727	41.49968	2	0.7280832	0.0436725	0.0240998	0.00380295	0.0166757	0.321363	6.46346e-05	0.000146566	0.11442	0.0566375	0.0268527	0.0679248	0.00940577	0.143616	0.0906829	0.0423418	0.0523573	0.00434632	0.199374	0.16263	0.145381	0.578094	0.107501	0.104663	0.0526029	0.291827	0.20095	0.0726876	0.149423	0.188146	0.0138369	0.188592	0.14961	0.0555983	0.0801941	0.376485	0.934847	2.60847	4	3.679328
2000	-135.8991	-185.9799	50.08078	2	0.5851507	0.0767812	0.0456436	0.0164852	0.0713727	0.305759	0.000142503	0.0353605	0.147719	0.106528	0.0438035	0.0434579	0.0109849	0.0456247	0.28545	0.0711432	0.0832032	0.0198127	0.112768	0.0117546	0.0162018	0.00139893	0.023516	0.250049	0.0702694	0.328142	0.104832	0.0500436	0.0282997	0.0635691	0.265953	0.166578	0.031639	0.040073	0.0500605	0.303917	0.87355	2.77247	4	2.974358
3000	-134.3645	-174.3748	40.01031	2	0.6550233	0.0583556	0.072726	0.279169	0.023563	0.283989	0.0161176	0.0321727	0.0444189	0.097736	0.00771504	0.242085	0.00412151	0.0882691	0.0634589	0.113586	0.0321514	0.136777	0.0707877	0.101535	0.138	0.017556	0.316828	0.0147033	0.324053	0.0472998	0.277576	0.183899	0.0176787	0.0439965	0.00445323	0.105331	0.563236	0.00300897	0.0646197	0.341513	0.906989	2.68688	4	3.82635
4000	-111.8532	-175.0651	63.2119	10	3.954299	0.156969	0.00479912	0.120995	0.102954	0.0666086	0.0216189	0.142346	0.0423792	0.0742798	0.0903912	0.144891	0.0272711	0.13487	0.172598	0.154066	0.111573	0.0249846	0.0552422	0.15311	0.0519056	0.124911	0.10875	0.099773	0.00670968	0.0978231	0.505323	0.0472669	0.0197956	0.434988	0.0266125	0.0939923	0.092762	0.204648	0.451834	0.773614	1.08441	1.69015	5	3.717207
5000	-130.8886	-193.1887	62.30016	10	0.1730527	0.0441717	0.0269211	0.0457439	0.0381462	0.162068	0.163876	0.0360001	0.118178	0.121483	0.229441	0.140691	0.120424	0.103837	0.0720555	0.0431444	0.139598	0.146009	0.102931	0.0172005	0.276731	0.145454	0.399639	0.0368179	0.153807	0.052803	0.0637037	0.0413832	0.111348	0.104381	0.147296	0.147204	0.029957	0.170959	0.000181187	0.0198169	0.309796	3.67021	5	3.753404
6000	-113.3825	-186.6844	73.30188	10	0.7833613	0.0478523	0.0290013	0.0932738	0.127581	0.17427	0.0361367	0.0702238	0.106353	0.168331	0.0782846	0.107414	0.0630224	0.0739361	0.0173212	0.0371479	0.106837	0.0408541	0.059793	0.0394036	0.1171	0.102256	0.278349	0.149488	0.00880342	0.0547184	0.233001	0.0866293	0.291378	0.0218948	0.11473	0.0865316	0.100858	0.00950272	0.0920136	0.400348	0.952236	2.5554	5	3.132279
7000	-105.7075	-184.6192	78.91176	10	0.6493479	0.0687861	0.0105242	0.0228452	0.0313108	0.0393591	0.0314549	0.0443424	0.0132669	0.0414215	0.10835	0.0126118	0.0317411	0.0151238	0.0627215	0.00878356	0.120537	0.063621	0.100194	0.221737	0.323166	0.181908	0.0676043	0.0728333	0.052163	0.087389	0.0110003	0.270685	0.131779	0.158885	0.208101	0.0786342	0.0165123	0.131498	0.06342	0.338618	0.904548	2.69341	5	2.84089
8000	-105.4429	-171.9933	66.55037	10	0.69904	0.0194011	0.000395204	0.0628437	0.0537511	0.0353539	0.00643704	0.00917373	0.0926966	0.00257655	0.00896485	0.0730394	0.00291002	0.208323	0.0378015	0.543801	0.409417	0.188577	0.00631874	0.0646522	0.0917319	0.256187	0.00377499	0.240185	0.0343319	0.077026	0.156974	0.125086	0.0150364	0.0728914	0.309611	0.0637431	0.00958058	0.0212416	0.0739832	0.363077	0.924512	2.63843	5	3.303833
9000	-110.2307	-178.4742	68.24348	10	0.7111596	0.00169852	0.00107493	0.133578	0.0181723	0.254901	0.0725731	0.108393	0.0552121	0.0603512	0.214869	0.0184879	0.0923062	0.139274	0.0929585	0.0102867	0.0861516	0.0405851	0.159059	0.0696357	0.0981957	0.0612901	0.0448238	0.0816468	0.220708	0.375813	0.431119	0.0799754	0.0957651	0.154852	0.0703112	0.13839	0.0275612	0.0276372	0.0765734	0.368748	0.928935	2.62574	5	3.537655
