Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-37.94185	-47.42148	9.479625	10	5.585504	0.160901	0.113288	0.0379406	0.0824425	0.250672	0.145087	0.0209317	0.013765	0.0991141	0.0349789	0.102584	0.524717	0.816762	1.08216	1.57636	5	1.061704
1000	-21.79768	-34.89121	13.09353	1	0.2812461	0.017903	0.0776038	0.016825	0.0178359	0.173874	0.050442	0.2196	0.0615006	0.00455611	0.048779	0.179681	0.00389762	0.0900102	0.562922	3.34317	3	0.8685998
2000	-24.33587	-34.43444	10.09857	1	1.028143	0.178164	0.150517	0.012431	0.0864175	0.0594753	0.0964964	0.0774125	0.0805505	0.0728218	0.0608758	0.218244	0.142535	0.48505	1.00451	2.3679	3	1.093406
3000	-25.71227	-38.78079	13.06852	1	0.2251161	0.0316566	0.0235942	0.0684018	0.1252	0.0418469	0.0881792	0.0741287	0.00302084	0.170157	0.0876825	0.162846	0.00114739	0.0494046	0.445994	3.50345	3	0.8767133
4000	-13.89146	-36.04438	22.15292	1000	0.6059862	0.168784	0.138167	0.0908258	0.00756917	0.0604265	0.0395068	0.129986	0.0681533	0.190386	0.064151	0.0282468	0.054345	0.315583	0.884342	2.74573	6	0.9862028
5000	-3.044354	-34.76682	31.72247	1000	1.295597	0.0561937	0.0316328	0.0787969	0.0108436	0.0174335	0.00278915	0.0115721	0.047177	0.0129032	0.182371	0.125448	0.191951	0.550575	1.03577	2.22171	6	0.5771605
6000	-21.10338	-30.93292	9.829542	10	2.659064	0.0918409	0.0685361	0.0668311	0.0720889	0.0139839	0.0106558	0.0597384	0.172229	0.51033	0.0495775	0.0311027	0.361037	0.710714	1.08022	1.84803	5	1.146915
7000	-26.72279	-32.65702	5.934234	2	1.396016	0.0522552	0.0782183	0.19471	0.0021087	0.00297301	0.162556	0.197268	0.280062	0.215444	0.232161	0.00535487	0.208803	0.570281	1.04368	2.17723	4	1.423112
8000	-26.55283	-34.96231	8.409475	10	1.356968	0.20717	0.137396	0.0620417	0.0870783	0.31074	0.00779004	0.21916	0.435464	0.0240925	0.197726	0.0432105	0.202358	0.562878	1.04079	2.19398	5	1.73187
9000	-17.1464	-33.64928	16.50289	2	0.6884904	0.0194237	0.00938026	0.0312741	0.0522226	0.0137619	0.0157743	0.0108021	0.0165558	0.0180218	0.244396	0.204449	0.0717317	0.358049	0.920527	2.64969	4	0.6360614
10000	-22.31348	-35.48744	13.17396	2	0.8791292	0.067607	0.0165409	0.197565	0.0428071	0.0661958	0.0820175	0.0917482	0.0692011	0.168962	0.00330148	0.00363643	0.112252	0.437144	0.976681	2.47392	4	0.8095825
11000	-21.65995	-31.24971	9.589763	0.2	0.9902845	0.0821918	0.123357	0.16925	0.00214407	0.0295156	0.0234961	0.050177	0.243814	0.00232026	0.475535	0.00573844	0.135011	0.473812	0.998371	2.39281	2	1.20754
12000	-25.78074	-33.95972	8.178988	2	0.9751257	0.0455365	0.00620885	0.629867	0.0916644	0.0138465	0.0109536	0.0392418	0.0772906	0.104453	0.00275151	0.293359	0.131964	0.469145	0.995753	2.40314	4	1.315172
13000	-9.381169	-32.41186	23.03069	0.2	0.8107553	0.0129799	0.0271165	0.0232125	0.0442733	0.0222057	0.200582	0.0133442	0.259842	0.117853	0.419249	0.0588976	0.0978452	0.411428	0.959891	2.53084	2	1.199556
14000	-17.51199	-31.98641	14.47442	10	3.812395	0.06211	0.0877168	0.0412201	0.0232227	0.00485014	0.00951759	0.0806072	0.0407704	0.0481426	0.15959	0.294654	0.44375	0.768461	1.08438	1.70341	5	0.8524017
15000	-24.2268	-36.7631	12.5363	10	2.375224	0.0177274	0.0317025	0.0289806	0.148295	0.106829	0.145064	0.160919	0.119239	0.12726	0.0146171	0.108688	0.334298	0.68978	1.07706	1.89886	5	1.00932
16000	-24.82422	-37.63743	12.81321	1	0.9282933	0.265246	0.20203	0.00974081	0.118902	0.000901499	0.0419267	0.0227051	0.0771626	0.046765	0.0366499	0.00989713	0.122434	0.454084	0.987022	2.43646	3	0.8319265
17000	-19.87593	-32.52687	12.65094	1	0.8278118	0.0547699	0.037608	0.0889	0.124972	0.00141599	0.0852473	0.204511	0.019024	0.119644	0.0130287	0.109082	0.101462	0.418095	0.964373	2.51607	3	0.8582019
18000	-20.25355	-32.33616	12.08261	2	0.5146495	0.0436018	0.00853366	0.00548804	0.0323957	0.0686073	0.00413707	0.374194	0.0678403	0.158697	0.0155681	0.0483515	0.036134	0.261372	0.830642	2.87185	4	0.8274139
19000	-27.67057	-37.32558	9.655016	10	1.199126	0.0214159	0.733994	0.0465398	0.149984	0.0779927	0.0381946	0.0209893	0.075978	0.127786	0.0593212	0.221807	0.174895	0.52939	1.02649	2.26922	5	1.574002
20000	-20.51166	-34.55966	14.04801	2	2.039201	0.0211333	0.035987	0.0428939	0.0578513	0.0814417	0.00254627	0.0756125	0.0138789	0.180098	0.126644	0.0936397	0.29791	0.659119	1.07094	1.97203	4	0.7317263
21000	-28.03886	-33.3755	5.336637	10	1.384364	0.110538	0.0923848	0.0245106	0.0334045	0.0368016	0.104073	0.267186	0.563047	0.0835913	0.236536	0.0628724	0.206894	0.568104	1.04284	2.18216	5	1.614946
22000	-26.34919	-36.41473	10.06554	10	0.3633434	0.0884992	0.122156	0.00794654	0.032091	0.141373	0.0723572	0.105228	0.358208	0.0066369	0.18005	0.381526	0.0118006	0.153893	0.688359	3.14595	5	1.49607
23000	-22.39297	-33.87875	11.48579	1	0.9514192	0.12604	0.0588736	0.0463981	0.0829707	0.0764667	0.0116399	0.197013	0.100937	0.0710426	0.0797135	0.111262	0.127162	0.461646	0.99146	2.41973	3	0.9623565
24000	-24.21941	-34.95092	10.73151	10	1.97216	0.0860108	0.099439	0.0267346	0.191445	0.122253	0.012549	0.0248974	0.0159584	0.358958	0.0921391	0.037246	0.289929	0.65202	1.06928	1.98877	5	1.06763
25000	-10.85536	-32.54877	21.69341	0.2	0.6225447	0.0092434	0.139396	0.123748	0.0538008	0.0226354	0.0261756	0.0583956	0.0510837	0.0332998	0.185337	0.0656453	0.0577887	0.324574	0.892399	2.72524	2	0.7687611
26000	-18.70589	-31.5053	12.79941	10	0.361208	0.0682277	0.0206563	0.0939877	0.0026627	0.0312599	0.0214008	0.175821	0.329485	0.0110998	0.208517	0.0526241	0.0115387	0.152244	0.685644	3.15057	5	1.015742
27000	-25.52064	-34.43814	8.917497	2	1.013995	0.0173046	0.110283	0.0886099	0.0124637	0.0678922	0.0222697	0.303298	0.035412	0.156981	0.0296811	0.383769	0.139738	0.480918	1.00228	2.37706	4	1.227964
28000	-28.26678	-38.60488	10.3381	2	1.554889	0.133665	0.232968	0.0145617	0.0840009	0.0822639	0.000638526	0.0196139	0.151389	0.146437	0.264898	0.00287668	0.233678	0.597445	1.05349	2.11539	4	1.133313
29000	-18.12313	-37.38751	19.26438	10	2.010167	0.0278423	0.0542225	0.0307349	0.0343134	0.0285886	0.00337884	0.0477126	0.0945361	0.0775477	0.030183	0.170504	0.294485	0.65609	1.07024	1.97918	5	0.5995642
30000	-29.0233	-32.67149	3.64819	1	2.724387	0.00839338	0.229043	0.164568	0.0845669	0.122983	0.0161386	0.171355	0.0381896	0.567884	0.150765	0.0149335	0.366748	0.715028	1.08077	1.83745	3	1.568819
31000	-23.65358	-38.57724	14.92366	2	0.7057668	0.0985205	0.0563811	0.0195466	0.0182698	0.0236298	0.0597003	0.286865	0.0445034	0.069122	0.0493455	0.0144038	0.0754205	0.366238	0.926987	2.63135	4	0.7402879
32000	-29.87603	-35.86232	5.986293	1	0.8546984	0.0209754	0.143191	0.00978573	0.051291	0.0683587	0.0105451	0.177428	0.235954	0.201931	0.459845	0.142672	0.107133	0.428258	0.97103	2.49358	3	1.521978
33000	-30.51192	-39.07981	8.567889	10	0.4429751	0.0296281	0.17246	0.0345287	0.126605	0.0608172	0.212724	0.241513	0.0240666	0.302243	0.200509	0.288461	0.0233708	0.213069	0.773892	2.98967	5	1.693556
34000	-19.66564	-34.73214	15.0665	10	1.586921	0.0397709	0.055801	0.134214	0.0492019	0.0419083	0.0650161	0.116587	0.00698793	0.0691827	0.0716949	0.224427	0.238443	0.602413	1.05514	2.104	5	0.8747919
35000	-20.95797	-34.88032	13.92235	2	1.166345	0.00345876	0.061184	0.0176085	0.233517	0.00766115	0.00675315	0.000468964	0.0136879	0.123849	0.127132	0.0742567	0.168901	0.521615	1.02289	2.28659	4	0.6695766
36000	-14.12718	-33.45862	19.33144	0.2	1.223233	0.0254397	0.0969222	0.014429	0.0657921	0.0096527	0.0261501	0.0818413	0.0751718	0.165412	0.0501091	0.00199731	0.179238	0.534913	1.02899	2.25686	2	0.612917
37000	-23.64373	-40.49348	16.84975	1000	1.209908	0.0160242	0.141728	0.343141	0.148325	0.00722864	0.00694968	0.135403	0.0496815	0.281524	0.279854	0.181622	0.176844	0.53188	1.02763	2.26365	6	1.591481
38000	-13.85262	-33.3865	19.53388	1000	1.902001	0.0502862	0.128826	0.0550951	0.0443689	0.00503929	0.163946	0.0931092	0.00612685	0.275781	0.0305854	0.69935	0.281289	0.644171	1.06733	2.00721	6	1.552514
39000	-5.264266	-32.45344	27.18918	1000	1.986622	0.215066	0.0512846	0.0469098	0.0138187	0.00346781	0.0379233	0.120395	0.222321	0.0464457	0.0067082	0.00109464	0.291673	0.653584	1.06965	1.98509	6	0.7654347
40000	-12.10833	-35.56436	23.45603	1000	1.594312	0.0760155	0.00255526	0.0226905	0.0852239	0.0665261	0.0423604	0.0639376	0.472281	0.200594	0.00901057	0.167764	0.239531	0.603537	1.05551	2.10142	6	1.208959
41000	-31.36849	-36.67833	5.309837	2	3.325277	0.0644852	0.129402	0.125148	0.00589735	0.185284	0.0386419	0.185128	0.30275	3.11378e-05	0.246356	0.0834281	0.412959	0.748083	1.08371	1.75525	4	1.366552
42000	-12.399	-37.42921	25.03021	1000	0.5518464	0.04331	0.123334	0.185977	0.0715308	0.0599113	0.162438	0.0806048	0.0346326	0.102472	0.364008	0.00633348	0.0433542	0.284422	0.854613	2.81761	6	1.234551
43000	-22.62394	-36.0203	13.39636	2	0.2515545	0.00790392	0.444217	0.00851537	0.0618599	0.0292189	0.0328326	0.012514	0.00947094	0.069808	0.210645	0.0556325	0.002185	0.0678149	0.504752	3.42525	4	0.9426176
44000	-8.806612	-31.41836	22.61174	0.2	1.625966	0.088332	0.0142367	0.163179	0.106941	0.00660486	0.031983	0.07045	0.00191298	0.143271	0.200228	0.295999	0.244142	0.608264	1.05704	2.09056	2	1.123137
45000	-9.146309	-31.30532	22.15901	0.2	1.233683	0.0716699	0.315494	0.0159079	0.00479752	0.00519722	0.00710616	0.121398	0.198855	0.048763	0.0153277	0.0703956	0.181104	0.537257	1.03003	2.25161	2	0.8749119
46000	-30.29052	-35.87425	5.583731	1	2.006942	0.0201186	0.118826	0.0138735	0.0898441	0.0714856	0.136039	0.170769	0.0430231	0.126188	0.42928	0.227563	0.294102	0.65575	1.07016	1.97999	3	1.44701
47000	-22.98131	-34.50987	11.52856	1	0.6959406	0.0288752	0.0322128	0.0121982	0.114753	0.00180439	0.165517	0.157952	0.116569	0.104201	0.0503214	0.199222	0.0733214	0.361609	0.923355	2.64172	3	0.9836269
48000	-26.80882	-36.51901	9.710192	1	0.7096999	0.0217127	0.07886	0.0337907	0.0323145	0.0284972	0.168532	0.171607	0.175884	0.00613429	0.257563	0.189192	0.0762613	0.368071	0.928411	2.62726	3	1.164088
49000	-13.56437	-33.59701	20.03264	10	0.2331652	0.0336395	0.061957	0.0321625	0.0435364	0.0183612	0.000951192	0.121223	0.0251017	0.0621721	0.141723	0.167639	0.00141778	0.054831	0.464614	3.47914	5	0.7084669
50000	-23.80107	-31.66457	7.863503	2	2.884364	0.0547334	0.154552	0.0987517	0.12201	0.0430456	0.120487	0.0928654	0.0266826	0.284768	0.00840139	0.00951976	0.380113	0.724918	1.08188	1.81309	4	1.015817
51000	-19.80398	-34.4855	14.68152	0.2	1.847536	0.0292292	0.13634	0.0910587	0.139878	0.00531135	0.246288	0.0218843	0.158807	0.231202	0.00352901	0.0678938	0.27437	0.637756	1.06566	2.02221	2	1.131421
52000	-24.51189	-33.28204	8.770152	2	0.5929043	0.0460067	0.0751116	0.0217839	0.310655	0.0138584	0.116637	0.134185	0.13989	0.129951	0.154904	0.0551076	0.0516479	0.308305	0.877655	2.76239	4	1.198091
53000	-21.12557	-30.8055	9.679934	1	1.780579	0.15301	0.0301564	0.0604795	0.00512869	0.0986375	0.0173195	0.174141	0.00399604	0.0639524	0.162092	0.291112	0.265597	0.62945	1.06339	2.04157	3	1.060026
54000	-19.0858	-32.75974	13.67394	1	0.4343898	0.0522506	0.0176086	0.0577635	0.268674	0.021602	0.0106403	0.0140385	0.109435	0.0284245	0.125636	0.0891706	0.0219721	0.206947	0.765965	3.00512	3	0.7952437
55000	-16.65213	-32.97953	16.3274	1	1.110751	0.0234772	0.021208	0.0206341	0.0012736	0.0747008	0.00219552	0.0197629	0.00770891	0.0603219	0.107266	0.123713	0.158507	0.507685	1.01617	2.31763	3	0.462262
56000	-26.70863	-32.209	5.500373	2	0.7344451	0.0392465	0.216561	0.0458238	0.157254	0.0750977	0.0905387	0.0265509	0.14544	0.0616934	0.208589	0.397565	0.0815557	0.379339	0.936993	2.60211	4	1.46436
57000	-22.35811	-36.17058	13.81246	2	2.021225	0.0793668	0.111245	0.121045	0.0242693	0.177494	0.00187904	0.0500187	0.127094	0.0138964	0.0592981	0.010819	0.295795	0.657252	1.07051	1.97644	4	0.7764253
58000	-12.67241	-32.11278	19.44037	0.2	1.349107	0.0971484	0.0238275	0.0543404	0.0669959	0.0336537	0.274858	0.0690005	0.0754349	0.0270099	0.464762	0.0303783	0.201044	0.561349	1.04018	2.19743	2	1.21741
59000	-20.84889	-33.87473	13.02584	1	0.9582809	0.0719774	0.00651424	0.0193865	0.0338911	0.0969653	0.0696423	0.0945504	0.075903	0.0677009	0.0319498	0.239184	0.128556	0.463843	0.992728	2.41487	3	0.807665
60000	-17.49561	-35.62789	18.13228	10	1.1209	0.043508	0.115983	0.0335243	0.0023519	0.0682016	0.12826	0.0308591	0.163896	0.0340685	0.108746	0.0217875	0.160426	0.510301	1.01746	2.31181	5	0.7511863
61000	-20.24007	-32.29902	12.05895	1	1.884442	0.0306907	0.0579222	0.12661	0.0599349	0.00282418	0.00308967	0.0431258	0.0583402	0.299802	0.0994652	0.029933	0.279079	0.642135	1.06681	2.01198	3	0.8117379
62000	-30.51699	-35.84975	5.332757	2	0.370417	0.0345354	0.288352	0.016903	0.0484131	0.323207	0.145262	0.130318	0.32607	0.0863218	0.0962904	0.216126	0.0126881	0.159337	0.697176	3.1308	4	1.7118
63000	-16.01839	-36.97771	20.95932	10	1.24986	0.0115983	0.153618	0.00474084	0.0203992	0.0526808	0.00287823	0.121387	0.0904301	0.0212562	0.0475576	0.00777511	0.183972	0.540831	1.0316	2.2436	5	0.5343212
64000	-30.01377	-37.61716	7.603386	2	0.5314989	0.0497852	0.0198152	0.115583	0.299454	0.164399	0.056418	0.117963	0.120382	0.104935	0.0433765	0.351453	0.0393641	0.271983	0.8419	2.84675	4	1.443563
65000	-24.80981	-34.16114	9.351333	2	0.6899835	0.0665462	0.131078	0.0762587	0.00695566	0.0500192	0.170074	0.196031	0.00338653	0.0668939	0.149253	0.313	0.0720501	0.358766	0.921099	2.64809	4	1.229496
66000	-21.17463	-32.47219	11.29757	0.2	0.6906298	0.00228182	0.110832	0.211149	0.0296491	0.0252807	0.0272651	0.101401	0.279698	0.205526	0.0470585	0.0583525	0.072188	0.359075	0.921346	2.64739	2	1.098493
67000	-13.90096	-30.95555	17.05459	0.2	0.633069	0.00974462	0.0358826	0.145384	0.308418	0.0217142	0.0918097	0.179361	0.249878	0.0436612	0.0501331	0.0109075	0.0599923	0.330162	0.897295	2.71255	2	1.146893
68000	-19.43908	-34.74732	15.30824	2	0.2599663	0.0730997	0.000996489	0.111246	0.00704076	0.00240114	0.00735305	0.0042543	0.434041	0.000133232	0.005713	0.0446571	0.00260914	0.0739759	0.522037	3.40138	4	0.6909354
69000	-26.43111	-35.71128	9.280173	2	0.2520885	0.110573	0.0769771	0.194982	0.0365324	0.0401472	0.0342992	0.142783	0.429061	0.158427	0.0185615	0.0342605	0.00221052	0.0682023	0.505869	3.42372	4	1.276604
70000	-12.50945	-33.29704	20.7876	10	1.725745	0.0233023	0.116268	0.0113659	0.040644	0.0239809	0.0163051	0.0174052	0.0340112	0.0938204	0.0703242	0.0247872	0.258185	0.622275	1.06132	2.05822	5	0.472214
71000	-22.70601	-35.97759	13.27158	1	1.588751	0.0689233	0.0022213	0.0562824	0.0362927	0.0535195	0.0361563	0.0674067	0.100289	0.0681708	0.150787	0.0799949	0.238713	0.602692	1.05523	2.10336	3	0.720044
72000	-18.05496	-33.94549	15.89053	0.2	0.05363384	0.0117252	0.0692335	0.0130836	0.0190198	0.0203494	0.0582341	0.0271985	0.0820224	0.101266	0.0302188	0.0065633	3.31076e-12	2.71422e-06	0.00782311	3.99217	2	0.4389143
73000	-20.00336	-31.89289	11.88953	1	2.125219	0.0502463	0.00878595	0.180998	0.00629664	0.0159131	0.115248	0.0310398	0.0425215	0.145559	0.051056	0.156937	0.307778	0.667701	1.07283	1.95169	3	0.8046017
74000	-24.23264	-33.08915	8.856507	1	1.231061	0.0986538	0.0863227	0.183486	0.290827	0.0528093	0.00948562	0.0263364	0.0490737	0.282885	0.0895188	0.0279218	0.180637	0.536672	1.02977	2.25292	3	1.19732
75000	-10.70757	-38.76934	28.06177	1000	0.2178928	0.00527174	0.00201802	0.0709417	0.0785627	0.105978	0.0425828	0.0589507	0.0553833	0.0387226	0.179311	0.202079	0.000936359	0.0446933	0.428727	3.52564	6	0.8398018
76000	-7.686786	-33.90675	26.21996	1000	0.9679051	0.0179995	0.124563	0.0643971	0.0650205	0.198206	0.0194681	0.20252	0.158172	0.223972	0.0115652	0.0383522	0.130506	0.466888	0.994472	2.40813	6	1.124237
77000	-13.55257	-35.41807	21.86549	1000	2.253596	0.0857313	0.055448	0.234717	0.0945619	0.0558753	0.116945	0.0330128	0.0766369	0.00932611	0.651704	0.0305762	0.321777	0.679529	1.07521	1.92349	6	1.444534
78000	-3.80298	-31.34821	27.54523	1000	1.086405	0.0428567	0.00977733	0.0182025	0.0493363	0.000824307	0.0274866	0.0659337	0.122827	0.0209419	0.0254	0.257409	0.153864	0.501266	1.01296	2.33191	6	0.6409952
79000	-21.1079	-32.74859	11.64069	0.2	4.126193	0.0790331	0.190002	0.179863	0.00467651	0.0697743	0.010847	0.136246	0.00805615	0.0825631	0.203149	0.0518195	0.461163	0.779463	1.08436	1.67501	2	1.016029
80000	-18.60694	-37.67041	19.06347	10	0.06631015	0.0178872	0.0214771	0.0404668	0.0412979	0.00243053	0.0447655	0.0479249	0.206399	0.131413	0.0624271	0.0693035	4.6231e-10	3.20396e-05	0.0217944	3.97817	5	0.6857929
81000	-21.19867	-35.35111	14.15244	2	1.568163	0.00682875	0.00914687	0.0675314	0.0159569	0.0346369	0.0643785	0.103399	0.000291006	0.251964	0.123305	0.0143306	0.235663	0.599522	1.05419	2.11063	4	0.6917689
82000	-21.60111	-32.56596	10.96485	1	0.4916537	0.0117319	0.11376	0.0117188	0.0191135	0.086955	0.106968	0.192598	0.0955209	0.00423861	0.370589	0.0472329	0.0318514	0.246432	0.814099	2.90762	3	1.060426
83000	-26.1548	-36.40546	10.25066	0.2	0.7249999	0.0101937	0.148993	0.0172834	0.0373008	0.0663756	0.0588507	0.0979451	0.200439	0.383906	0.0170032	0.423405	0.0795342	0.375091	0.933792	2.61158	2	1.461696
84000	-24.19688	-36.64269	12.44582	0.2	0.4914217	0.25283	0.114783	0.0204943	0.00267521	0.083589	0.187938	0.331485	0.0220616	0.104622	0.0307542	0.0824474	0.031809	0.246279	0.813925	2.90799	2	1.233679
85000	-22.84973	-34.84631	11.99657	1	0.9221618	0.00350692	0.180977	0.001253	0.00984734	0.0166667	0.043069	0.232592	0.0558586	0.152074	0.0528175	0.165541	0.121173	0.452037	0.985802	2.44099	3	0.9142035
86000	-22.46278	-35.1492	12.68642	2	0.3978069	0.00252124	0.00503892	0.131729	0.0969871	0.0638668	0.133917	0.0960854	0.0878886	0.302153	0.00334125	0.0979163	0.0163993	0.180116	0.728897	3.07459	4	1.021446
87000	-18.84021	-30.67054	11.83033	1	2.822407	0.047631	0.0334928	0.00919281	0.0658356	0.0033994	0.0591774	0.173664	0.0236433	0.0613652	0.250313	0.0130884	0.375039	0.721196	1.08149	1.82228	3	0.740803
88000	-23.33806	-34.78224	11.44418	10	0.4911452	0.295446	0.250583	0.0251936	0.0328881	0.164837	0.0414403	0.214509	0.0218936	0.291584	0.0666567	0.00806847	0.0317585	0.246096	0.813717	2.90843	5	1.4131
89000	-20.94346	-35.58766	14.6442	2	0.2748821	0.106316	0.0470108	0.0604963	0.0259291	0.0644997	4.74759e-05	0.109496	0.0652115	0.00600666	0.0292319	0.17108	0.0034794	0.0851591	0.551108	3.36025	4	0.6853254
90000	-16.64003	-32.34714	15.70712	10	0.873824	0.0653239	0.000629366	0.0530768	0.0969543	0.00218918	0.065746	0.0960164	0.00478658	0.0211029	0.182405	0.133725	0.111144	0.435241	0.975484	2.47813	5	0.7219555
91000	-30.84894	-39.4456	8.596661	2	3.10917	0.0746273	0.234314	0.159238	0.073534	0.140288	0.0373622	0.0425562	0.0422218	0.036177	0.0914794	0.212961	0.397535	0.737399	1.083	1.78206	4	1.144759
92000	-18.66411	-34.50938	15.84527	10	0.3858995	0.129084	0.0619329	0.0662409	0.183029	0.0127277	0.00196209	0.0722455	0.0224801	0.269872	0.0314667	0.209301	0.0147338	0.171147	0.71556	3.09856	5	1.060342
93000	-17.71825	-31.0854	13.36715	1	1.493363	0.0472616	0.0186927	0.0078397	0.0190073	0.00838548	0.000850507	0.0536455	0.0345903	0.0306881	0.289402	0.209663	0.224296	0.587448	1.05003	2.13823	3	0.7200257
