Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1265.921	-1273.311	7.38995	10	1.458855	0.0313041	0.070179	0.159466	0.115999	0.000907531	0.0534211	0.231748	0.0412306	0.0789906	0.0849689	0.00307966	0.0956734	0.0841523	0.00879652	0.133166	0.0603957	0.0242405	0.203534	0.0173575	0.0597634	0.0350634	0.0149448	0.0991114	0.0240724	0.0161665	0.469039	0.0639703	0.0927886	0.232773	0.0867322	0.046144	0.0776881	0.0674218	0.364519	0.000286887	0.289078	0.0582062	0.152235	0.0506413	0.00517729	0.0679842	0.226362	0.0781941	0.0745613	0.0473394	0.218896	0.581561	1.04791	2.15163	5	4.298873
1000	-838.952	-852.9566	14.00457	10	0.4934306	0.254625	0.0551746	0.0159407	0.0273617	0.162354	0.0554302	0.112213	0.0536954	0.10071	0.00473474	0.0416881	0.0536727	0.0188118	0.0283011	0.0104736	0.144257	0.0245654	0.0998257	0.00425976	0.0260601	0.0397264	0.0291698	0.0349665	0.0118526	0.0157897	0.0254793	0.0248327	0.120262	0.402665	0.0105078	0.289168	0.349086	0.137705	0.0277679	0.00350474	0.21895	0.0206295	0.0343173	0.0370366	0.141573	0.0470521	0.0326757	0.0019759	0.0257061	0.125907	0.0321767	0.247606	0.815429	2.90479	5	3.502462
2000	-856.3284	-861.1176	4.789194	1	1.276687	0.249897	0.0123416	0.0272238	0.0138207	0.0556515	0.00735967	0.0585674	0.118917	0.0699645	0.110321	0.137905	0.180013	0.0534622	0.0136698	0.0983138	0.11893	0.00502006	0.138345	0.00815533	0.0287584	0.0747497	0.00168879	0.0518308	0.00170407	0.14154	0.0668266	0.0216377	0.0483608	0.0395549	0.205073	0.164975	0.307585	0.0856216	0.190103	0.0310581	0.33832	0.0480665	0.0131148	0.0368623	0.0597327	0.021872	0.168277	0.0591451	0.0649619	0.36081	0.188676	0.546609	1.03409	2.23063	3	4.110109
3000	-860.7413	-866.7606	6.019309	1	0.5381631	0.684703	0.00785346	0.00328963	0.0239905	0.00312397	0.0370724	0.00955987	0.0414493	0.0757994	0.0746863	0.0573669	0.119329	0.00866447	0.0194715	0.119929	0.120445	0.0041024	0.102976	0.017496	0.042364	0.0258113	0.0587037	0.00337932	0.00163798	0.0575791	0.019011	0.0122378	0.0383766	0.0598103	0.135482	0.132762	0.00398032	0.0438558	0.102483	0.0415746	0.510509	0.0874777	0.0630176	0.00916554	0.0436187	0.00964278	0.0338693	0.358944	0.146098	0.488251	0.0406608	0.276101	0.846167	2.83707	3	4.06095
4000	-849.7029	-856.8605	7.157584	2	1.506641	0.328743	0.00953958	0.0447001	0.0890124	0.0188171	0.20326	0.0824706	0.0330014	0.0420738	0.0230273	0.00854808	0.0276963	0.0461672	0.0199282	0.0517224	0.16573	0.108848	0.0220249	0.00517737	0.009484	0.00136058	0.0037651	0.0673845	0.0382302	0.0790153	0.00265098	0.00995507	0.0135227	0.0678752	0.0220429	0.137944	0.0712812	0.141474	0.351187	0.0418929	0.207651	0.15597	0.0649855	0.00876966	0.159366	0.18355	0.0803056	0.12359	0.00404699	0.610552	0.226347	0.589658	1.05081	2.13319	4	3.988339
5000	-840.2057	-858.466	18.26034	1	1.593584	0.184649	0.00897528	0.034965	0.042835	0.116233	0.0116331	0.058732	0.090599	0.0276517	0.0406765	0.00275942	0.0535232	0.0584554	0.0156126	0.00937114	0.0383337	0.0154419	0.0710918	0.0192451	0.0279597	0.0561323	0.0494898	0.0415372	0.0190866	0.00940875	0.0259728	0.087806	0.0259282	0.0281586	0.0352861	0.0330596	0.0352047	0.154812	0.151489	0.048043	0.0913599	0.0193037	0.0307088	0.0567064	0.303547	0.0257404	0.0849003	0.0202831	0.133614	0.234984	0.239424	0.603427	1.05548	2.10167	3	2.731305
6000	-850.3078	-857.7901	7.482205	10	1.15662	0.0765432	0.0371698	0.0269235	0.0419904	0.145651	0.0397596	0.0603414	0.0510108	0.086184	0.0128942	0.285705	0.0656108	0.0296868	0.057657	0.0773404	0.145713	0.0018455	0.077172	0.069251	0.0268967	0.0910239	0.0310088	0.00532361	0.016569	0.0345266	0.0324393	0.325519	0.0410119	0.0364905	0.0689718	0.0570449	0.220775	0.0809286	0.155046	0.0591897	0.0555061	0.080725	0.0619618	0.0196813	0.109778	0.108764	0.0625635	0.0665115	0.620165	0.0294708	0.167104	0.519248	1.02178	2.29187	5	3.886341
7000	-869.3876	-871.8286	2.440964	10	1.008734	0.648943	0.0415047	0.0749889	0.0719059	0.366565	0.0209028	0.0915353	0.199768	0.0658215	0.149129	0.00064404	0.0283821	0.0620718	0.0163626	0.177427	0.237291	0.0374514	0.0826182	0.016441	0.00736646	0.0559735	0.0254171	0.0172987	0.0136677	0.0140584	0.192117	0.0296097	0.0787854	0.00661218	0.0666498	0.823321	0.0170646	0.00546681	0.206838	0.135814	0.0496701	0.0165978	0.0463554	0.0591239	0.0545877	0.00485293	0.0248255	0.0826508	0.263851	0.101286	0.138693	0.479361	1.00143	2.38051	5	4.789616
8000	-846.49	-861.2424	14.75241	1	0.9273117	0.281354	0.0878716	0.0055404	0.00677731	0.0855934	0.0430671	0.047938	0.0473187	0.0971302	0.0415327	0.0857584	0.0285184	0.0107047	0.0211824	0.0234769	0.125448	0.0207203	0.0162977	0.105632	0.0212823	0.0808596	0.0064966	0.0159536	0.0351397	0.0422565	0.0269351	0.684403	0.0363127	0.0245076	0.0663125	0.116738	0.0238854	0.08039	0.0743475	0.0386034	0.0795705	0.128839	0.00721172	0.122435	0.00445232	0.136509	0.0132407	0.0237463	0.0702877	0.00614682	0.122232	0.453758	0.986828	2.43718	3	3.148725
9000	-858.1881	-871.1436	12.95551	10	0.6755882	0.192838	0.0061481	0.0558288	0.0405038	0.000811517	0.146821	0.108667	0.091181	0.0588984	0.0467751	0.00205848	0.117796	0.0220505	0.0471857	0.0159804	0.205528	0.0556554	0.0133127	0.00137	0.0249988	0.0343224	0.0122454	0.0211212	0.00664624	0.00898671	0.0144238	0.11414	0.0294273	0.0886378	0.000751095	0.120052	0.335633	0.115211	0.0593464	0.00514968	0.0134795	0.0790294	0.0597526	0.770014	0.102155	0.199562	0.0428548	0.0899754	0.0246036	0.0188867	0.0689834	0.351781	0.915475	2.66376	5	3.620814
