Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-384.3668	-590.5356	206.1688	10	0.127695	0.430522	0.0815713	0.35976	0.130554	0.0156239	0.0467576	0.0766126	0.00431775	0.0247346	0.187732	0.0500107	0.0986716	0.0741963	0.0905213	0.0628154	0.0976364	0.0145938	0.128829	0.0278833	0.0260006	0.0136859	0.213582	0.154807	0.0751747	0.0179104	0.116468	0.148475	1.05998e-05	0.00482328	0.174066	3.8211	5	2.769446
1000	-232.9291	-415.3788	182.4497	10	1.611197	0.114143	0.080191	0.179739	0.211995	0.145672	0.0614751	0.29051	0.0217504	0.0185173	0.122708	0.310815	0.0138631	0.547212	0.132613	0.102643	0.148279	0.175791	0.0373807	0.0520362	0.00163759	0.409051	0.0334562	0.427958	0.115032	0.0549693	0.0417719	0.0842533	0.242	0.606076	1.05634	2.09559	5	3.935464
2000	-220.7239	-415.6349	194.9109	10	0.5735616	0.0576612	0.0193032	0.17639	0.0821096	0.106302	0.0616411	0.105419	0.0371478	0.00356655	0.0762564	0.359122	0.0228866	0.435763	0.0469389	0.095169	0.0438245	0.308384	0.0850324	0.0300632	0.103484	0.191703	0.0458119	0.00951139	0.0169159	0.00729142	0.0630298	0.193746	0.047705	0.297253	0.867207	2.78784	5	2.784472
3000	-222.7925	-417.438	194.6454	10	0.6128153	0.0523291	0.0115961	0.120477	0.00343783	0.00224599	0.128044	0.0278008	0.0589194	0.00921568	0.0369234	0.204379	0.018574	0.330128	0.0775711	0.10962	0.0521528	0.187796	0.523443	0.10625	0.00884374	0.415983	0.0179965	0.0799268	0.0102169	0.0762961	0.210102	0.0380168	0.0557615	0.319321	0.887719	2.7372	5	2.918285
4000	-242.2832	-417.513	175.2298	10	0.3207628	0.17481	0.0470228	0.17564	0.0918953	0.105886	0.0447427	0.0309386	0.0936173	0.00226068	0.0899013	0.173868	0.00142636	0.280182	0.00112832	0.00550252	0.0145501	0.269188	0.200908	0.614222	0.0599473	0.0407238	0.0420096	0.209195	0.0249534	0.0067653	0.137817	0.0350946	0.00712992	0.120713	0.629079	3.24308	5	2.974197
5000	-242.8002	-414.7009	171.9007	10	1.623945	0.0834976	0.0153665	0.279866	0.323684	0.179251	0.0745445	0.0246806	0.0291627	0.0252117	0.106724	0.150047	0.123221	0.697416	0.123403	0.13579	0.225238	0.0808797	0.541743	0.202626	0.0366678	0.036853	0.0577607	0.125627	0.0863499	0.0325359	0.426135	0.328887	0.24385	0.607966	1.05694	2.09124	5	4.55317
6000	-220.355	-421.0989	200.7439	10	0.7816252	0.122256	0.00504608	0.106107	0.159135	0.0923141	0.0841186	0.0624929	0.0979129	0.0233094	0.0510089	0.268248	0.0188304	0.288896	0.023078	0.028792	0.15982	0.186739	0.162906	0.177813	0.0162279	0.192166	0.0204934	0.297463	0.0942774	0.0201308	0.00516704	0.103481	0.0916432	0.39963	0.95173	2.557	5	2.868232
7000	-221.0484	-416.5433	195.4948	10	0.4057426	0.0298857	0.0107225	0.206937	0.169013	0.0845802	0.0854529	0.0496568	0.0591882	0.0427911	0.0975857	0.201756	0.0244424	0.271113	0.0466616	0.030597	0.55499	0.0102163	0.132927	0.425357	0.00497259	0.228898	0.101865	0.0367907	0.0138127	0.00204046	0.106867	0.0484713	0.0175515	0.186033	0.737421	3.059	5	3.077591
8000	-227.7272	-420.7357	193.0085	10	1.02225	0.128714	0.00502151	0.13159	0.0319091	0.0708974	0.071733	0.085508	0.0332916	0.0301957	0.0427698	0.111444	0.00378488	0.328643	0.0778946	0.0263551	0.390081	0.0658528	0.340341	0.0685102	0.105312	0.317771	0.0734383	0.225294	0.0195842	0.0941003	0.0171717	0.156093	0.141372	0.483339	1.00359	2.3717	5	3.053302
9000	-213.5042	-417.9359	204.4318	10	0.18159	0.122403	0.00230818	0.0837726	0.0259467	0.0252524	0.0194825	0.0299698	0.0185113	0.00384577	0.0411656	0.0915442	0.0122136	0.325601	0.0475223	0.0134051	0.0371021	0.0190046	0.309734	0.0826538	0.0129298	0.0849738	0.00855159	0.0973231	0.112872	0.0389335	0.0453153	0.00469443	0.000263734	0.0238753	0.333935	3.64193	5	1.717032
