Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-169.1235	-204.3922	35.2687	10	0.8087874	0.0776406	0.00581435	0.0222187	0.00587562	0.0947723	0.0169476	0.0231947	0.0956852	0.107781	0.0829811	0.0233576	0.0974272	0.410648	0.95936	2.53256	5	0.5562692
1000	-117.5375	-129.9158	12.37831	1	0.6069742	0.244238	0.129436	0.0267814	0.0349806	0.024864	0.0708734	0.325264	0.147164	0.0561581	0.438241	0.0739254	0.0545496	0.316127	0.884836	2.74449	3	1.571928
2000	-89.62066	-120.7041	31.08349	10	0.4290967	0.0564561	0.0181809	0.0661181	0.0319568	0.0439332	0.0249072	0.266639	0.227766	0.172577	0.0816453	0.0370336	0.0211261	0.203137	0.76094	3.0148	5	1.027214
3000	-106.3454	-126.7532	20.40785	10	2.478059	0.0426292	0.0273333	0.0357464	0.369695	0.0548703	0.020513	0.460906	0.0251331	0.220356	0.373162	0.179272	0.344366	0.69781	1.07837	1.87945	5	1.809615
4000	-94.3368	-126.5172	32.18042	10	0.4749701	0.104683	0.063801	0.100533	0.0786418	0.0218491	0.00678582	0.182222	0.140605	0.21324	0.00961311	0.0762502	0.0288477	0.235262	0.801165	2.93473	5	0.9982232
5000	-88.36238	-121.2976	32.93523	10	1.781117	0.0573047	0.00112239	0.00535458	0.0167633	0.0991689	0.0143479	0.166954	0.0989381	0.271235	0.0730938	0.111038	0.265669	0.629518	1.06341	2.04141	5	0.9153202
6000	-100.3592	-127.0279	26.6687	10	1.12748	0.0928805	0.066039	0.058104	0.00141633	0.115662	0.20575	0.365052	0.328805	0.0749395	0.1275	0.122627	0.161665	0.51198	1.01828	2.30807	5	1.558775
7000	-88.76428	-120.1336	31.36931	10	0.05796076	0.0131141	0.0156565	0.00380223	0.0620958	0.00911051	0.0243256	0.232682	0.267403	0.111222	0.0338898	0.13436	2.27833e-11	7.11758e-06	0.0116719	3.98832	5	0.9076613
8000	-92.4626	-123.815	31.35244	10	1.195564	0.0326458	0.0346057	0.0611764	0.0706542	0.111239	0.0287008	0.226029	0.214755	0.0239116	0.15713	0.166115	0.174248	0.52856	1.02612	2.27108	5	1.126962
9000	-102.5779	-126.1973	23.61944	2	0.09834366	0.0156534	0.018018	0.0445387	0.0242506	0.0663681	0.0120025	0.127502	0.024577	0.127163	0.129638	0.0252416	4.16992e-07	0.000959574	0.0893377	3.9097	4	0.6149537
10000	-102.5746	-122.0161	19.44155	2	0.4427278	0.0400859	0.028179	0.000338936	0.0537154	0.0141046	0.0085307	0.269648	0.599562	0.220002	0.0472281	0.0111277	0.02333	0.212894	0.773667	2.99011	4	1.292522
11000	-97.15263	-123.4254	26.27278	2	0.05276318	0.0294156	0.0103544	0.0404396	0.0521981	0.023838	0.0660152	0.132394	0.0210576	0.0381577	0.0305585	0.168982	2.16151e-12	2.19327e-06	0.00716096	3.99284	4	0.6134115
