Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-3773.357	-3809.579	36.22188	10	0.2435048	0.00420788	0.14016	0.268575	0.0151023	0.0741899	0.0732758	0.507703	0.00431071	0.27145	0.0466119	0.0614359	0.0654261	0.0913773	0.158965	0.116819	0.290698	0.0127555	0.0430587	0.0496212	0.0497337	0.148895	0.0328386	0.0913139	0.116851	0.0113301	0.0909369	0.061588	0.0891601	0.0299916	0.132522	0.116748	0.0406373	0.248114	0.0694682	0.17728	0.0301345	0.0105932	0.026687	0.0785464	0.0901911	0.0701665	0.0282484	0.0232823	0.00984845	0.175321	0.0648117	0.0498351	0.0147465	0.0422221	0.00614689	0.102372	0.422017	0.243188	0.0901305	0.0388577	0.0998137	0.00761305	0.00182274	0.062041	0.487587	3.44855	5	5.527923
1000	-1342.563	-1421.183	78.61975	10	3.762282	0.00906677	0.00294977	0.0204662	0.0104741	0.0109161	0.00343662	0.00282531	0.00182025	0.0198724	0.00665718	0.0134639	0.00567309	0.000547313	0.000613982	0.017295	0.00329616	0.00975981	0.111635	0.00332577	0.00906556	0.0102474	0.00767022	0.026472	0.0342726	0.00254975	0.00133642	0.0172243	0.000343207	0.00312959	0.00220517	0.0424874	0.0886519	0.0308154	0.00613289	0.011674	0.0597449	0.0650681	0.0338625	0.014009	0.0877164	0.0546022	0.0325781	0.00967717	0.0422295	0.0233672	0.0387446	0.0252165	0.00890274	0.0383024	0.0800231	0.0486666	0.239469	0.0905092	0.0159664	0.0415878	0.0476396	0.0153755	0.440807	0.766565	1.08436	1.70827	5	1.661632
2000	-1345.933	-1424.971	79.0372	10	2.069423	0.00273232	0.0181007	0.00497028	0.018827	0.00669663	0.00324342	0.00104321	0.00687279	0.00757588	0.00625916	0.00106755	0.00307388	0.00532953	0.00143506	0.0171921	0.00372243	0.0118466	0.101436	0.00470202	0.00380198	0.00518196	0.00128569	0.0470861	0.0148401	0.00521346	0.00169165	0.0064275	0.00184099	0.00647862	0.00358922	0.0403214	0.0689616	0.0388878	0.00603929	0.00727438	0.0463962	0.0889191	0.0133501	0.0239875	0.129561	0.0675811	0.0553276	0.00926129	0.0654291	0.0211884	0.0131301	0.0334251	0.00918986	0.0162841	0.0560621	0.0418596	0.199402	0.0744327	0.054273	0.0542541	0.0859038	0.0564468	0.301423	0.662199	1.07163	1.96474	5	1.700713
3000	-1340.478	-1416.134	75.65612	10	4.131587	0.0259474	0.000147036	0.0180805	0.0177985	0.00390403	0.0106991	0.000124219	0.00934976	0.000480331	0.00228898	0.00150804	0.00156911	0.00123676	0.00562701	0.019833	0.00479877	0.00286143	0.12325	0.00111291	0.00110971	0.000241557	0.00145873	0.0324256	0.0213392	0.00541215	0.00374931	0.0103309	0.0010635	0.00756401	0.00375802	0.0267152	0.0556178	0.0468532	0.0462271	0.00789544	0.0267439	0.0685393	0.0477293	0.0302735	0.205748	0.0468231	0.0405876	0.0205232	0.0557522	0.0277086	0.0498777	0.0208023	0.0151408	0.022397	0.0484647	0.0261388	0.146298	0.100574	0.0394861	0.0259009	0.0828913	0.0191907	0.461448	0.77964	1.08436	1.67455	5	1.68997
4000	-1342.971	-1419.847	76.87655	10	4.457729	0.0153993	0.000296838	0.0201938	0.00546397	0.000265573	0.0138718	0.00803018	0.00343687	0.00227071	0.00737233	0.000518169	0.00106954	0.00262226	0.00142131	0.00178686	0.0140372	0.0100587	0.120315	0.00126903	0.00218751	6.733e-05	0.00687901	0.0282487	0.0411831	0.00452507	0.00764927	0.000981305	0.00149873	0.00954899	0.0102296	0.0303405	0.0732328	0.0517299	0.0688108	0.0106864	0.047488	0.0742894	0.018433	0.0395759	0.163399	0.0586885	0.0433925	0.0213633	0.0233516	0.0224434	0.00970095	0.0135861	0.0309102	0.0311405	0.0368551	0.052348	0.182966	0.125797	0.0252156	0.028295	0.0565193	0.029166	0.477867	0.789686	1.08409	1.64835	5	1.712422
5000	-1361.038	-1430.269	69.23179	10	4.430113	0.0225233	0.00204015	0.00354168	0.00862795	0.00430789	0.000856296	0.00804062	0.00749127	0.00163535	0.00991921	0.00427874	0.000201197	0.00451822	0.00885122	0.0219592	0.0152254	0.00896284	0.111699	0.00130944	0.0115656	0.00276574	0.00563815	0.0778902	0.0277996	0.00184425	0.0210019	7.56473e-05	0.00419967	0.00109573	0.00105019	0.0221285	0.116121	0.0289689	0.0273496	0.016572	0.0395456	0.0553318	0.0434803	0.0263804	0.162999	0.0805789	0.0549784	0.0115695	0.0515694	0.042772	0.0394939	0.00675324	0.0307679	0.0535715	0.0715007	0.0448443	0.201564	0.151016	0.0197616	0.0663778	0.0761394	0.00327393	0.476535	0.788882	1.08412	1.65046	5	1.946325
6000	-1353.984	-1424.755	70.77075	10	2.74601	0.0151505	0.0034928	0.0209011	0.0110908	0.0058738	0.0096806	0.00884572	0.000684932	0.00438225	0.00123775	0.00364788	0.00214676	0.00292604	0.0111935	0.00986457	0.0134392	0.000325813	0.126104	0.00186007	0.0100418	0.0058424	0.00777917	0.0211578	0.0307354	0.00645866	0.00357646	0.00239837	0.00804444	0.00143698	0.00277628	0.0426929	0.0371512	0.0539082	0.0223162	0.0136119	0.0252809	0.0384266	0.0124017	0.0582314	0.129367	0.0692142	0.0152683	0.0537901	0.0565426	0.0127513	0.0141882	0.0175117	0.0103143	0.0240534	0.0518926	0.044711	0.243428	0.139883	0.0266441	0.0278404	0.0629161	0.0376414	0.368606	0.716419	1.08094	1.83404	5	1.695075
7000	-1367.327	-1434.274	66.94693	10	9.036553	0.0466693	0.0147162	0.0238243	0.0180359	0.0135606	0.00903841	0.00523821	0.00126242	0.00390628	0.00543112	0.00130767	8.12175e-05	0.00120972	0.00580064	0.0398547	0.000537912	0.0217554	0.123354	0.00877576	0.00165943	0.00646416	0.0170793	0.0167859	0.043958	0.00143294	0.00274894	0.00825839	0.00735272	0.00835281	0.00529716	0.00785478	0.0736919	0.0426357	0.00627106	0.0131213	0.0453759	0.0210636	0.0247461	0.0247998	0.197628	0.0567555	0.0608344	0.0476179	0.0417736	0.0398413	0.0308186	0.00756569	0.0391842	0.0624974	0.0901926	0.0245229	0.190842	0.110875	0.00495223	0.0467397	0.0555062	0.00250623	0.614414	0.862871	1.07435	1.44837	5	1.833964
8000	-1339.674	-1414.75	75.07665	10	3.060968	0.0075602	0.00417531	0.0104424	0.0179756	0.0012411	0.00218404	0.000435256	0.00242594	0.00198055	0.025968	0.00424973	0.00182473	0.00981287	0.00851542	0.00638486	0.0130895	0.0157237	0.0955255	0.00285124	0.00393365	0.000995714	0.00336012	0.0149767	0.0259434	7.22433e-05	0.00361551	0.00189022	0.00499812	0.000641753	0.000587876	0.0534035	0.060461	0.056284	0.00209487	0.0110687	0.0313086	0.0623422	0.0308062	0.0163617	0.0804187	0.0780602	0.0177469	0.0350439	0.0564178	0.013099	0.050918	0.0183751	0.010464	0.0279052	0.0730925	0.0373829	0.186399	0.0785819	0.027925	0.0477891	0.072878	0.00625106	0.393924	0.734849	1.0828	1.78843	5	1.53626
9000	-1354.828	-1424.69	69.86261	10	4.800758	0.00554431	0.0292922	0.0187301	0.0163615	0.00400203	0.00132609	0.00943472	0.00179097	0.00514813	0.0137144	0.00337285	0.000772602	0.00149252	6.67761e-06	0.00686146	0.00733113	0.00552419	0.139256	0.0169783	0.00593699	0.00149125	0.00522942	0.018362	0.0417485	0.0136135	0.000501084	0.0104278	0.0189796	0.002698	0.00109144	0.0317374	0.0612648	0.0514903	0.0215773	0.00275847	0.0492314	0.0811573	0.0492631	0.0255865	0.181097	0.0621831	0.031612	0.0340619	0.0730572	0.0129474	0.00114797	0.0320617	0.0425051	0.0211234	0.0578124	0.0315662	0.164134	0.0761388	0.0141665	0.0160688	0.069702	0.0480681	0.493586	0.799024	1.08363	1.62376	5	1.75054
