Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-705.5529	-792.0929	86.54001	10	1.327516	0.349909	0.0217869	0.112111	0.156656	0.0498699	0.102114	0.0759519	0.0818994	0.12344	0.170805	0.0660747	0.335417	0.129015	0.0599579	0.0504081	3.01502e-05	0.072786	0.0656113	0.376219	0.0553783	0.0688459	0.153133	0.0452897	0.197406	0.55708	1.03845	2.20706	5	2.722708
1000	-450.2628	-511.952	61.68918	2	1.709684	0.0129067	0.0116411	0.00797163	0.0890219	0.0215108	0.120102	0.0587706	0.0116569	0.0229136	0.00584576	0.0299749	0.0164638	0.130479	0.0312093	0.0367095	0.049026	0.0367293	0.077653	0.34079	0.0614706	0.102812	0.137602	0.221294	0.255974	0.620105	1.06068	2.06324	4	1.634554
2000	-437.9302	-501.9523	64.02209	2	0.2448155	0.00829493	0.00797043	0.0120615	0.0188223	0.0182988	0.0254959	0.0090057	0.00862415	0.00587126	0.00307683	0.0241416	0.0121199	0.146519	0.124088	0.00800924	0.0884315	0.182309	0.0600936	0.286577	0.0326299	0.0712113	0.0270485	0.0022919	0.00187887	0.0629722	0.490424	3.44472	4	1.182993
3000	-444.7872	-502.8456	58.05841	1	0.2187139	0.0109749	0.00514079	0.0121875	0.0337012	0.021885	0.027546	0.0112128	0.0116346	0.00588054	0.00479027	0.0241416	0.0221606	0.113543	0.203018	0.00708053	0.0737542	0.283619	0.0582914	0.274133	0.0630028	0.0560529	0.0357442	0.0022919	0.000958894	0.0452208	0.430716	3.5231	3	1.361786
4000	-433.6103	-499.3287	65.71836	2	0.2469095	0.00550841	0.0027481	0.013081	0.0420094	0.0546841	0.0225501	0.0115716	0.0109056	0.00902888	0.00372667	0.00982728	0.0141075	0.0856278	0.200875	0.00872605	0.0817068	0.189201	0.0884544	0.294055	0.109703	0.0615378	0.0217208	0.0024276	0.00197084	0.0644673	0.494923	3.43864	4	1.343784
5000	-443.9899	-506.5571	62.56722	2	0.7003192	0.00788077	0.00294677	0.0291518	0.0364101	0.0268499	0.00682078	0.0580219	0.0379502	0.0128049	0.0033005	0.00257982	0.0280138	0.126722	0.00331689	0.00155442	0.162101	0.0950359	0.134258	0.333587	0.144593	0.0406149	0.0791378	0.00293227	0.0742565	0.363681	0.924987	2.63708	4	1.376584
6000	-443.4224	-503.9845	60.56211	1	0.3593083	0.00635657	0.00647132	0.0177648	0.0267018	0.0257806	0.0017764	0.105757	0.0207056	0.00954894	0.00127989	0.0096231	0.0328999	0.149903	0.0150216	0.00236847	0.0806806	0.0369619	0.0823782	0.317323	0.0305274	0.0452815	0.0637723	0.00847224	0.0113081	0.150775	0.683207	3.15471	3	1.097356
7000	-455.8094	-511.7537	55.94427	1	0.616771	0.0218455	0.0110458	0.0221064	0.0965106	0.024165	0.00307754	0.252956	0.0289222	0.0130806	0.00726152	0.0545439	0.00414974	0.141048	0.0418026	0.00298831	0.159612	0.100267	0.100561	0.186252	0.0640408	0.0839748	0.0376089	0.0755742	0.0565845	0.321467	0.88964	2.73231	3	1.533394
8000	-461.6541	-517.7789	56.12478	1	0.2906218	0.00316611	0.0106916	0.0142865	0.0610391	0.165703	0.0376851	0.0643618	0.0265555	0.00365672	0.0136286	0.0382223	0.0315049	0.0560335	0.0512854	0.00741181	0.0119942	0.408509	0.0729106	0.222606	0.0860841	0.0898289	0.0539434	0.0168508	0.00456547	0.0972222	0.579712	3.3185	3	1.547959
9000	-470.1208	-524.5272	54.40635	1	1.257021	0.0168464	0.00621763	0.00116348	0.0223695	0.00566424	0.0498114	0.00319977	0.0382759	0.0525064	0.0269052	0.0691968	0.0439553	0.167876	0.101711	0.00169075	0.0494131	0.139944	0.0768868	0.198779	0.0300207	0.235609	0.239034	0.0460844	0.185234	0.542391	1.03228	2.2401	3	1.623161
10000	-440.7669	-507.278	66.51105	2	0.5245216	0.0011752	0.00640735	0.0136721	0.0251534	0.0194975	0.0259745	0.0762185	0.0228893	0.0193358	0.00275107	0.0366585	0.0275843	0.0726809	0.0406938	0.00389056	0.0927204	0.0422657	0.0967587	0.0454055	0.13521	0.181013	0.136286	0.00509052	0.0380178	0.267623	0.837322	2.85704	4	1.129333
11000	-457.4079	-511.5839	54.17595	1	1.0259	0.0262523	0.00196192	0.0196299	0.0362936	0.0131872	2.71606e-05	0.181728	0.0245352	0.0152176	0.00154988	0.0403195	0.000183116	0.219033	0.0163976	0.0204121	0.023162	0.0791665	0.0663206	0.0120766	0.0590987	0.484869	0.192474	0.135419	0.142092	0.484401	1.00416	2.36934	3	1.669314
12000	-446.6618	-506.5236	59.86179	2	0.2380224	0.00868202	0.00409168	0.0548223	0.00592955	0.0560924	2.66621e-06	0.110877	0.0398132	0.00395062	0.00822624	0.0104265	0.00125916	0.274675	0.0729725	0.00106918	0.0134221	0.0461871	0.076956	0.00406175	0.0437442	0.199744	0.0884396	0.546732	0.00159975	0.0581868	0.475537	3.46468	4	1.672177
13000	-453.6533	-508.5661	54.91284	1	0.1997121	0.00868202	0.00409168	0.0548223	0.00405157	0.0560924	2.19706e-06	0.110877	0.0398132	0.00395062	0.00822624	0.0104265	0.00125916	0.274675	0.0729725	0.00112202	0.0134221	0.0461871	0.0694161	0.00406175	0.0591759	0.199744	0.0884396	0.546732	0.000525938	0.0336096	0.382906	3.58296	3	1.678243
14000	-455.1418	-510.0547	54.91284	1	0.1997121	0.00868202	0.00409168	0.0548223	0.00405157	0.0560924	2.19706e-06	0.110877	0.0398132	0.00395062	0.00822624	0.0104265	0.00125916	0.274675	0.0729725	0.00112202	0.0134221	0.0461871	0.0694161	0.00406175	0.0591759	0.199744	0.0884396	0.546732	0.000525938	0.0336096	0.382906	3.58296	3	1.678243
15000	-457.0434	-516.1942	59.15078	2	0.3922458	0.00737102	0.0155485	0.0184511	0.00234905	0.00657843	0.0881709	0.00710177	0.0270243	0.0190679	0.0016409	0.0243365	0.0659411	0.109652	0.335372	0.00837108	0.0251746	0.14071	0.100941	0.208327	0.0135718	0.0131603	0.231185	0.253144	0.0156118	0.17594	0.722751	3.0857	4	1.72319
16000	-436.8301	-498.0763	61.24618	1	0.5494715	0.00410485	0.00881048	0.0193382	0.0169347	0.0422095	0.030687	0.0468002	0.0115459	0.00956923	0.00124644	0.00758574	0.0138113	0.0954494	0.113161	0.0146095	0.00643751	0.000338412	0.0653823	0.145926	0.055021	0.091077	0.0275776	0.18231	0.0428839	0.282991	0.853176	2.82095	3	1.009934
17000	-450.3506	-509.6273	59.27675	2	2.164828	0.000546701	0.00885157	0.0183263	0.0394591	0.0054729	0.033282	0.0166597	0.0226562	0.0271711	0.00842654	0.089312	0.0298374	0.203132	0.106595	0.0288329	0.0128082	0.140421	0.0945074	0.07954	0.0422957	0.0358207	0.0305931	0.118862	0.312187	0.67147	1.07362	1.94273	4	1.19341
18000	-440.6314	-506.3415	65.71009	2	0.9184968	0.00351184	0.00901872	0.00501221	0.0267902	0.0657609	0.0311257	0.0178823	0.0147135	0.00845797	0.0136409	0.0262824	0.00800034	0.0320081	0.146139	0.0275851	0.0393086	0.33009	0.138405	0.11219	0.0472343	0.0116008	0.0381806	0.128545	0.120419	0.450805	0.985064	2.44371	4	1.281482
19000	-462.0781	-517.7262	55.64808	1	0.3630664	0.000521409	0.00633717	0.0179825	0.0266711	0.0601918	0.168656	0.0204592	0.0167813	0.0220498	0.00723235	0.0281119	0.00844753	0.0411954	0.0679467	0.00417456	0.00796292	0.280628	0.0968384	0.241992	0.0198544	0.0112033	0.0419687	0.391177	0.0117665	0.153679	0.688009	3.14655	3	1.588384
20000	-457.8937	-515.6018	57.70809	2	0.7207073	0.00734083	0.0279799	0.036354	0.0211542	0.0951816	0.02233	0.0469649	0.0171778	0.0205078	0.00498474	0.0247889	0.0275875	0.17955	0.119188	0.0213565	0.0677959	0.178743	0.156283	0.391663	0.142176	0.189622	0.0156781	0.285559	0.0786157	0.373139	0.932307	2.61594	4	2.099965
21000	-453.0036	-511.1116	58.10802	2	0.769591	0.0084325	0.0279799	0.0270405	0.0211542	0.0758656	0.0266712	0.0469649	0.0114573	0.0205078	0.00498474	0.0592901	0.0376877	0.17955	0.15474	0.0275469	0.0448644	0.204343	0.156283	0.352782	0.0975723	0.305866	0.0191096	0.190132	0.0890736	0.394597	0.948159	2.56817	4	2.100825
22000	-474.8572	-524.7052	49.84796	1	1.071072	0.0311044	0.00194712	0.031792	0.36687	0.103931	0.0114464	0.129794	0.00229968	0.00852059	0.00486769	0.027676	0.0408006	0.1287	0.547358	0.0153103	0.0278698	0.146916	0.0635476	0.170292	0.0586404	0.0278382	0.0503867	0.0996881	0.150913	0.497119	1.01085	2.34112	3	2.097596
23000	-457.1397	-516.1761	59.03643	2	0.5488087	0.00951881	0.0224621	0.0363119	0.154725	0.0394648	0.0114953	0.0292302	0.0360426	0.00391866	0.00366938	0.059629	0.00760545	0.0574883	0.0163219	0.010526	0.025435	0.15507	0.0996107	0.0845922	0.0912565	0.0783642	0.019445	0.142398	0.0427528	0.28259	0.852773	2.82188	4	1.194581
