Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2010.083	-2113.848	103.7658	0.2	0.6396626	0.119154	0.0690752	0.0955406	0.184143	0.00540256	0.0887746	0.00578428	0.211157	0.0806682	0.0402767	0.0308402	0.00446627	0.175072	0.0545753	0.211294	0.00077857	0.181167	0.236485	0.111592	0.0918825	0.154664	0.118739	0.0343746	0.0181602	0.00774531	0.247236	0.0539378	0.00298757	0.0479016	0.255485	0.0537783	0.134303	0.0191869	0.0677291	0.100392	0.0304652	0.0147099	0.0292803	0.288691	0.0185656	0.121826	0.0934329	0.0353487	0.0142471	0.354258	0.065055	0.0374672	0.384634	0.0396091	0.061378	0.333614	0.900279	2.70473	2	4.842339
1000	-939.6031	-1072.298	132.695	0.2	1.393438	0.0738897	0.026013	0.133513	0.0126236	0.0641965	0.170335	0.139636	0.0602172	0.00813252	0.00521145	0.00830255	0.0671945	0.057981	0.0209855	0.0299816	0.0465118	0.00215738	0.0808746	0.0782969	0.0125565	0.0249142	0.0335985	0.0071034	0.00288335	0.0281777	0.0139916	0.4963	0.117896	0.0235551	0.061864	0.14652	0.252828	0.0577927	0.0118172	0.157724	0.0585533	0.388603	0.133306	0.407705	0.149107	0.332638	0.0192022	0.028706	0.340421	0.0291359	0.0341586	0.0643598	0.0153178	0.0999246	0.208382	0.569801	1.0435	2.17832	2	4.636715
2000	-961.8011	-1076.847	115.0462	0.2	1.462163	0.230294	0.0187484	0.0761528	0.0293659	0.0466689	0.185844	0.0177357	0.0927245	0.012234	0.066068	0.0852999	0.01766	0.0291912	0.0346935	0.0176557	0.0967019	0.0924003	0.028446	0.0480592	0.0113105	0.0139286	0.0654942	0.016981	0.00577278	0.0378716	0.103582	0.0455678	0.132467	0.0385225	0.0301502	0.0368013	0.0897704	0.00229676	0.132731	0.100205	0.0649032	0.0718556	0.332678	0.0425932	0.185202	0.320793	0.447476	0.171065	0.206626	0.157069	0.00913227	0.0617837	0.189855	0.505105	0.219418	0.582135	1.04812	2.15033	2	4.855534
3000	-937.1089	-1070.814	133.7048	0.2	1.9743	0.136689	0.0230796	0.111655	0.0544031	0.0649722	0.25135	0.0441291	0.00785614	0.00339006	0.0412364	0.0744145	0.177046	0.0151976	0.0568033	0.0183732	0.0178663	0.013399	0.0698757	0.0356949	0.00896916	0.000690244	0.0406668	0.00257261	0.0195217	0.0187172	0.00673035	0.0268157	0.0156462	0.0348036	0.102466	0.158356	0.128196	0.109028	0.239886	0.0451986	0.00384578	0.135105	0.0583113	0.104686	0.00855333	0.151706	0.0507471	0.0684345	0.350801	0.0579639	0.353193	0.0135523	0.142125	0.651499	0.290188	0.652253	1.06933	1.98823	2	4.326218
4000	-976.9206	-1074.737	97.81676	0.2	2.5545	0.170027	0.0308024	0.0992211	0.0208657	0.0713292	0.239592	0.112315	0.0978238	0.0374395	0.0374351	0.0299682	0.0737868	0.00740068	0.0458903	0.032059	0.0670604	0.0140891	0.100087	0.0137663	0.00747024	0.0430838	0.102331	0.00268436	0.00414297	0.00921697	0.0803221	0.0381205	0.0161319	0.137361	0.0179571	0.394426	0.0263176	0.0517782	0.224622	0.0673848	0.0609704	0.109001	0.190611	0.119188	0.075347	0.356634	0.0360251	0.16646	0.336246	0.192879	0.0140639	0.11743	0.280513	0.172248	0.351564	0.70344	1.07922	1.86578	2	4.751927
5000	-982.9605	-1080.598	97.63761	0.2	0.760879	0.186	0.0553921	0.139697	0.0373031	0.0629545	0.259329	0.0276524	0.0447882	0.0477089	0.00136768	0.0982358	0.0937483	0.0248073	0.0510603	0.110244	0.0350702	0.0114074	0.0250682	0.0356539	0.120178	0.00710219	0.080639	0.00402881	0.00615589	0.0570591	0.0704661	0.0327336	0.0143058	0.0633716	0.0530905	0.163404	0.022045	0.172423	0.054707	0.351871	0.00365084	0.138758	0.487525	0.100759	0.105296	0.217791	0.062819	0.24784	0.311188	0.200605	0.023827	0.255647	0.244332	0.23166	0.0872115	0.390893	0.945496	2.5764	2	5.252767
6000	-988.2129	-1078.616	90.4031	0.2	2.249205	0.0557216	0.0593608	0.0615586	0.0739818	0.127221	0.222741	0.0554805	0.0874596	0.0324504	0.00800341	0.0242753	0.0112269	0.0467795	0.0340921	0.00967484	0.0424086	0.0657244	0.0851457	0.0050265	0.00671837	0.0392353	0.101982	0.00350304	0.0233855	0.0232459	0.0991282	0.120957	0.0262915	0.0352077	0.0993646	0.048703	0.0621708	0.0606511	0.473623	0.395165	0.0312379	0.0168629	0.151261	0.0169838	0.0504286	0.0436859	0.057379	0.124162	0.377559	0.0883756	0.00528858	0.329218	0.0941373	0.517114	0.321312	0.679142	1.07514	1.92441	2	4.631358
7000	-999.1615	-1079.661	80.49964	0.2	2.401965	0.125502	0.0337468	0.0982582	0.103697	0.0795848	0.106996	0.0325125	0.0532169	0.0123555	0.022413	0.0152744	0.121458	0.078091	0.0925099	0.0334942	0.00553997	0.00853149	0.0615222	0.0260822	0.0196051	0.023888	0.0501016	0.00299252	0.00247867	0.0194618	0.0357759	0.233228	0.0230651	0.0723302	0.0192609	0.0124145	0.0457231	0.141922	0.0815732	0.335772	0.113433	0.130555	0.272294	0.291363	0.041789	0.0120994	0.15852	0.0315398	0.177676	0.0953464	0.107294	0.266777	0.0395945	0.027363	0.336961	0.691921	1.07742	1.89369	2	3.996022
8000	-988.3818	-1069.605	81.22304	0.2	1.875644	0.0844134	0.0103956	0.0821585	0.0152495	0.102981	0.146881	0.0300454	0.0742659	0.0378436	0.0337818	0.0726083	0.0768431	0.0123719	0.0296572	0.0187032	0.0677548	0.0168621	0.0667412	0.0260159	0.0112604	0.000214494	0.0630039	0.00902545	0.00503141	0.0203624	0.0250878	0.12885	0.198588	0.00786602	0.401527	0.0688347	0.0976821	0.265251	0.0651301	0.0636399	0.0481961	0.0633173	0.193502	0.361146	0.03764	0.0971748	0.0464343	0.0290233	0.0324077	0.27546	0.0453248	0.0566898	0.100559	0.0200262	0.277964	0.641103	1.06654	2.01439	2	3.843829
9000	-1015.628	-1069.638	54.01036	0.2	1.796868	0.154745	0.0382171	0.0681794	0.0483492	0.0862109	0.161067	0.0457953	0.0562047	0.0193136	0.0308548	0.0281031	0.0312356	0.00947888	0.0534664	0.0273271	0.296928	0.0724163	0.117453	0.0443946	0.0137905	0.00957757	0.0517342	0.00140586	0.0108854	0.0439883	0.0395753	0.0473048	0.137776	0.0357259	0.0134909	0.0847915	0.00429306	0.411563	0.0547902	0.647767	0.202244	0.0792855	0.27236	0.031345	0.0289609	0.183806	0.0653903	0.140537	0.0931038	0.296521	0.0202529	0.384177	0.311905	0.468393	0.267759	0.631515	1.06396	2.03676	2	5.57648
10000	-1027.092	-1071.458	44.36592	0.2	1.8559	0.118873	6.77316e-05	0.104976	0.118077	0.051214	0.236812	0.00696294	0.153704	0.0104787	0.00814263	0.0328963	0.0828837	0.100406	0.00227916	0.042293	0.0847081	0.00909128	0.115432	0.0297057	0.0443615	0.0195171	0.0580549	0.0013662	0.00650711	0.0342377	0.088843	0.0312195	0.00451533	0.0739212	0.245546	0.128615	0.0896765	0.426155	0.0351369	0.138803	0.0562422	0.103221	0.232749	0.0627206	0.00209093	0.0267195	0.0519039	0.0389318	0.0166191	0.245282	0.179878	0.184165	0.144453	0.409034	0.275445	0.63876	1.06593	2.01987	2	4.489489
