Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-727.9067	-753.4868	25.58011	10	1.300757	0.0666427	0.403522	0.11696	0.217116	0.00466499	0.0412189	0.0870725	0.165184	0.0962246	0.104796	0.164335	0.0722686	0.0175658	0.00130818	0.0657024	0.246812	0.208195	0.0548559	0.0803464	0.079526	0.0415175	0.0157858	0.105496	0.0320502	0.0138722	0.0353083	0.116124	0.170922	0.24892	0.0799858	0.0238681	0.0150717	0.0194589	0.00572061	0.00461621	0.0164414	0.0643616	0.0652222	0.0889742	0.219476	0.131773	0.0857971	0.0727476	0.192839	0.551643	1.03621	2.21931	5	3.967828
1000	-446.2617	-475.6835	29.42181	10	0.9363817	0.0128216	0.00123502	0.043325	0.026692	0.0285435	0.115001	0.0471611	0.094543	0.0283656	0.0155445	0.0297385	0.0821295	0.0540902	0.0457522	0.260117	0.0186437	0.0656249	0.0671432	0.0906002	0.00360294	0.00547127	0.0341308	0.1766	0.0952567	0.0357409	0.263384	0.210641	0.208077	0.0404274	0.295196	0.0377067	0.197502	0.0093918	0.090653	0.161389	0.0492722	0.0354229	0.0572005	0.0195752	0.0454407	0.186029	0.0172089	0.0254793	0.124092	0.456758	0.988603	2.43055	5	3.427872
2000	-435.5335	-467.0629	31.52939	10	3.233627	0.0534768	0.0325053	0.00334868	0.0660505	0.0114405	0.00737179	0.0119778	0.00101093	8.31558e-05	0.0283615	0.00735556	0.0152658	0.177932	0.180002	0.0857869	0.045063	0.0190693	0.0617215	0.0717439	0.0223969	0.0348715	0.0129609	0.0613981	0.039708	0.0691577	0.144158	0.04395	0.153172	0.0865255	0.110978	0.583294	0.033871	0.0646263	0.108935	0.134354	0.0630217	0.014713	0.124997	0.159465	0.00367351	0.191129	0.0242926	0.0676723	0.406565	0.743695	1.08345	1.76629	5	3.232887
3000	-445.7816	-463.7237	17.94212	2	1.002858	0.0232399	0.00580539	0.00694147	0.00409362	0.0834631	0.00457588	0.0231949	0.0104729	0.0157343	0.00793212	0.0128354	0.150251	0.0602303	0.14303	0.376058	0.00603475	0.008894	0.0197384	0.0447123	0.0955263	0.0393767	0.039474	0.00082814	0.199859	0.176901	0.136641	0.0519109	0.0325724	0.691217	0.178338	0.0554711	0.00060157	0.0358687	0.0248047	0.0848632	0.387821	0.00389137	0.053294	0.0226191	0.0402003	0.0201934	0.143085	0.138774	0.137524	0.477609	1.00047	2.3844	4	3.661371
4000	-460.225	-475.3928	15.16775	1	1.568652	0.011292	0.0375678	0.0159029	0.0265315	0.00763138	0.0220487	0.096223	0.0205059	0.00501652	0.0178106	0.0223056	0.0222223	0.148161	0.031332	0.297636	0.0873583	0.0679463	0.0519524	0.049342	0.0149207	0.05354	0.0470686	0.16748	0.0932911	0.100085	0.0166198	0.0469635	0.230469	0.0453347	0.00772654	0.0431304	0.784158	0.0533603	0.0250347	0.224471	0.0270586	0.0081806	0.00722422	0.0486783	0.0323252	0.181998	0.106655	0.213717	0.235736	0.599599	1.05421	2.11045	3	3.618276
5000	-457.3899	-481.9011	24.51125	10	1.781564	0.050937	0.00215953	0.0174589	0.0189692	0.120089	0.0560377	0.0177572	0.0180716	0.0215089	0.0483281	0.108808	0.12318	0.126481	0.216106	0.112134	0.0277898	0.0460517	0.0588334	0.269089	0.000358639	0.0481728	0.0278438	0.112415	0.0180934	0.098505	0.0171071	0.0222127	0.0801666	0.138019	0.213956	0.011044	0.15454	0.141473	0.106511	0.160675	0.0277841	0.000109664	0.0664257	0.637682	0.0343322	0.132104	0.166949	0.0130127	0.265729	0.629575	1.06342	2.04127	5	3.889283
6000	-441.1986	-469.6355	28.43698	10	1.246301	0.00488878	0.0155098	0.00468164	0.00609271	0.0276323	0.0265714	0.0006264	0.0118558	0.0482907	0.0421318	0.00891176	0.0834064	0.201293	0.239102	0.176452	0.0174633	0.025871	0.0122459	0.0549006	0.126969	0.0302411	0.0251871	0.151299	0.0750618	0.109076	0.038728	0.309576	0.161464	0.168478	0.123751	0.012872	0.157288	0.110119	0.0519178	0.0193451	0.000718873	0.00277955	0.0804059	0.105738	0.0271841	0.260083	0.0419654	0.28391	0.183343	0.54005	1.03126	2.24535	5	3.482084
7000	-439.6921	-470.0773	30.38524	10	1.772968	0.0105166	0.00122104	0.0123087	0.0340289	0.0047807	0.0296754	0.0178983	0.0167634	0.0239346	0.017427	0.0811212	0.00559562	0.0550644	0.131852	0.0358902	0.040404	0.000521441	0.0551907	0.0271779	0.0628549	0.0330338	0.105724	0.0732959	0.23146	0.0195101	0.021117	0.0402861	0.126925	0.137646	0.0950738	0.0798482	0.00860246	0.409411	0.120994	0.221492	0.135958	0.261042	0.134504	0.0555658	0.169039	0.0382593	0.0199014	0.0476781	0.264581	0.628475	1.06311	2.04383	5	3.250594
8000	-444.1807	-466.6317	22.451	2	1.215769	0.0332461	0.00124375	0.00334246	0.013536	0.0344693	0.00915233	0.0135164	0.00494091	0.0800406	0.0269799	0.0282379	0.0147846	0.0656102	0.280604	0.12222	0.0859716	0.0650421	0.0597753	0.0637963	0.000605874	0.0127124	0.0186982	0.120998	0.471667	0.0226362	0.0416856	0.241334	0.17075	0.0581485	0.210223	0.0270654	0.238426	0.014869	0.17371	0.0042119	0.0115597	0.0215057	0.0607597	0.0989384	0.0136807	0.0666185	0.00767175	0.14692	0.177899	0.53322	1.02823	2.26065	4	3.261906
9000	-443.8176	-470.3258	26.50816	10	1.464072	0.000804386	0.00393198	0.0448791	0.0299072	0.00544655	0.0335723	0.0100657	0.0425579	0.0109407	0.0425761	0.00850442	0.022033	0.0577546	0.267888	0.0786815	0.233198	0.00693785	0.0415966	0.111217	0.0591179	0.0401195	0.0194219	0.0595341	0.329312	0.0242392	0.0994691	0.0213736	0.0350488	0.0510551	0.0200328	0.138764	0.122219	0.0631988	0.0318722	0.173284	0.0968223	0.209927	0.00553268	0.194529	0.00893098	0.14429	0.0387482	0.0857256	0.219719	0.582465	1.04824	2.14958	5	3.125062
10000	-453.0241	-479.188	26.16393	10	1.522675	0.0208278	0.00169692	0.0551104	0.00771823	0.102125	0.00774277	0.0276581	0.0120546	0.0225827	0.344141	0.011367	0.0154693	0.097723	0.295537	0.139816	0.0478542	0.00358874	0.0329136	0.1058	0.00278726	0.05135	0.0186998	0.0573853	0.0425837	0.0522241	0.180788	0.15568	0.00731406	0.438424	0.0764238	0.00734113	0.0728081	0.0952113	0.339767	0.397007	0.015972	0.196242	0.0123525	0.269819	0.0326686	0.0756557	0.137954	0.00773775	0.228804	0.592288	1.05173	2.12718	5	4.095923
11000	-441.3808	-476.0722	34.69145	10	0.8532365	0.02352	0.0105485	0.0183516	0.0678308	0.0351945	0.0706354	0.00242962	0.0265986	0.0541605	0.0291909	0.00780885	7.4392e-05	0.0684948	0.0918757	0.0627293	0.031186	0.0088	0.062208	0.0525764	0.00521406	0.023794	0.0833154	0.0149539	0.0636878	0.134375	0.0435409	0.270675	0.0300068	0.103966	0.0190918	0.0516197	0.0405908	0.00532784	0.795483	0.0671731	0.00973262	0.0561033	0.207315	0.110887	0.000306102	0.158522	0.0477083	0.216564	0.106826	0.427716	0.970681	2.49478	5	3.284167
12000	-453.6053	-480.9122	27.30689	10	1.507385	0.0267658	0.00488946	0.0248348	0.00232278	0.123868	0.00737121	0.0136793	0.0553207	0.00498357	0.0246488	0.00644721	0.0568574	0.0829316	0.185717	0.0898913	0.130249	0.0117113	0.0804136	0.299366	0.0672709	0.0164321	0.00834437	0.398154	0.0903388	0.0330765	0.0385316	0.0723443	0.301414	0.167127	0.0418071	0.0171191	0.0979751	0.0163911	0.0143712	0.250662	0.052628	0.0848384	0.0490373	0.0140381	0.191587	0.147113	0.086477	0.0615888	0.226461	0.589781	1.05085	2.13291	5	3.550936
13000	-459.3154	-478.7084	19.39297	2	1.119392	0.0244543	0.0132145	0.00390779	0.00774565	0.0626822	0.0413511	0.00159706	0.044839	0.00558312	0.0687094	0.0188896	0.0869529	0.464513	0.055937	0.245456	0.106051	0.0158013	0.0188912	0.0216253	0.0135443	0.0800119	0.0152547	0.0465025	0.0427197	0.188016	0.00206293	0.052861	0.12166	0.33134	0.167804	0.179757	0.173871	0.0231164	0.0101034	0.00550121	0.0497009	0.0649018	0.00160984	0.365461	0.0541676	0.0590743	0.154009	0.0319647	0.160141	0.509914	1.01727	2.31267	4	3.543219
14000	-466.7588	-483.1845	16.42576	2	2.218267	0.00294985	0.0104219	0.0111878	0.0171137	0.00219909	0.0106076	0.0925782	0.0452596	0.00407451	0.0469284	0.256212	0.0264129	0.137576	0.321655	0.203199	0.0330578	0.0542324	0.000459043	0.0638377	0.0389915	0.00775443	0.0389372	0.110246	0.0615004	0.131728	0.302421	0.0201014	0.157299	0.0119407	0.0918097	0.0908276	0.136568	0.0646099	0.0156295	0.0453738	0.0695148	0.0513025	0.206685	0.0592406	0.209771	0.0774376	0.184093	0.0351868	0.318008	0.676383	1.0746	1.93101	4	3.558932
15000	-432.845	-468.0317	35.18675	10	1.56306	0.0259501	0.0196284	0.00293815	0.0115431	0.0434769	0.0126762	0.000336794	0.0177331	0.00531163	0.0309182	0.0160583	0.00798974	0.166964	0.286507	0.191511	0.0859839	0.0187107	0.0423458	0.0574597	0.0156392	0.00826375	0.0219409	0.0893678	0.0534311	0.100468	0.0722296	0.0860185	0.0281308	0.00168036	0.053767	0.0900687	0.254038	0.00906195	0.0753178	0.304211	0.256457	0.0470618	0.0339719	0.0981901	0.0106705	0.388704	0.00129523	0.0304925	0.234901	0.598727	1.05392	2.11245	5	3.17452
16000	-447.6049	-469.5832	21.97825	10	6.928903	0.0126831	0.00619829	0.0115454	0.0115315	0.0572584	0.00634845	0.00395354	0.0348068	0.00443461	0.0265395	0.0305266	0.0317991	0.332697	0.358401	0.120893	0.198285	4.22196e-05	0.0242794	0.0763773	0.0104799	0.0393398	0.0242736	0.0260745	0.0570959	0.0183613	0.0197543	0.289986	0.00842609	0.0204512	0.130887	0.214776	0.235115	0.0992676	0.00667122	0.0783572	0.246882	0.182889	0.0626711	0.0196997	0.296322	0.129584	0.193047	0.00815307	0.566669	0.839195	1.07912	1.51502	5	3.767164
17000	-454.885	-479.3078	24.42287	10	0.7868903	0.0242564	0.0126786	0.00379201	0.0306435	0.0156006	0.0729949	0.0537647	0.00809165	0.0273003	0.0529598	0.0527627	0.0495981	0.0436162	0.226345	0.0831011	0.0213965	0.0162875	0.084036	0.0299797	0.0076404	0.0959747	0.00551936	0.203265	0.129743	3.43399e-05	0.0496417	0.0857536	0.0195943	0.444821	0.200066	0.0430737	0.0439533	0.044162	0.179637	0.166791	0.066936	0.217398	0.0932422	0.24653	0.0523205	0.0373525	0.214038	0.00100816	0.0927662	0.401802	0.953255	2.55218	5	3.557701
18000	-446.616	-475.4137	28.79774	10	2.420634	0.00368751	0.0890522	0.0236021	0.0253106	0.00165572	0.0216271	0.00534659	0.0325049	0.0949084	0.000713648	5.20743e-06	0.0211423	0.229881	0.0658048	0.233588	0.0833984	0.0385406	0.0336646	0.108094	0.0121956	0.115265	0.0170407	0.126126	0.00413901	0.0589828	0.0144431	0.047107	0.109242	0.250217	0.138275	0.0079492	0.0961252	0.34067	0.0677027	0.0119656	0.584363	0.0658096	0.0812084	0.0362231	0.037846	0.0299049	0.0274423	0.172502	0.338801	0.693394	1.07767	1.89014	5	3.565272
