Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-208.4048	-336.7702	128.3654	10	0.1090079	0.212453	0.12726	0.0556855	0.109495	0.108537	0.0338486	0.252573	0.0444254	0.496837	0.045676	0.066967	0.00665853	0.000427243	0.0950057	0.0375365	0.0553265	0.0234356	0.0238412	0.048115	0.240733	0.165571	1.65314e-06	0.00190864	0.118755	3.87933	5	2.25041
1000	-166.6489	-298.6943	132.0453	10	0.09005193	0.358342	0.189959	0.0328239	0.0393503	0.0255115	0.0747428	0.0871699	0.0912371	0.0924109	0.0066349	0.0869288	0.124482	0.056706	0.0683556	0.0581445	0.00531361	0.0481866	0.186131	0.273143	0.243371	0.0288369	1.14027e-07	0.000502164	0.0683032	3.93119	5	2.177781
2000	-153.7951	-287.5023	133.7072	10	0.2481079	0.364676	0.00617039	0.00565096	0.0367442	0.0139853	0.0250927	0.165203	0.0444449	0.0822007	0.0216463	0.300537	0.0698818	0.230569	0.188525	0.015226	0.0540872	0.278133	0.052922	0.0250045	0.146145	0.0831786	0.00202474	0.0653269	0.497478	3.43517	5	2.210024
3000	-138.5146	-286.0163	147.5017	10	0.09295024	0.375081	0.0656322	0.00786214	0.0303928	0.0405823	0.0245587	0.0832772	0.0343344	0.0527612	0.0646957	0.122962	0.0362112	0.0114899	0.0486249	0.0326933	0.107374	0.0986492	0.0205335	0.0290918	0.18382	0.0198338	1.84194e-07	0.000638067	0.0754364	3.92393	5	1.490461
4000	-143.3816	-284.3379	140.9562	10	0.09891587	0.200467	0.0973805	0.0245885	0.0486383	0.0459866	0.0481047	0.119003	0.0325954	0.0273854	0.0873038	0.0744611	0.0546011	0.0105996	0.0682643	0.0547759	0.218761	0.164366	0.0189129	0.000831309	0.0686374	0.0275556	4.52379e-07	0.000999408	0.0908559	3.90814	5	1.49322
5000	-151.3467	-284.47	133.1233	10	0.09877088	0.296108	0.0715107	0.00774067	0.0233971	0.000671458	0.0302088	0.0374292	0.0607574	0.0523804	0.0633906	0.217397	0.105013	0.00640405	0.0401151	0.0332845	0.0143674	0.00519289	0.0361552	0.0456001	0.365494	0.0664112	4.43178e-07	0.000989205	0.0904705	3.90854	5	1.579029
6000	-159.1721	-288.332	129.1599	10	0.1009955	0.293493	0.0859226	0.0141873	0.00147407	0.00118772	0.0180963	0.092646	0.0984655	0.125197	0.0374306	0.131175	0.00197149	0.0121946	0.0146816	0.0555689	0.0510152	0.00606553	0.179876	0.0547013	0.0243859	0.0408367	6.03521e-07	0.00115413	0.0964374	3.90241	5	1.340573
7000	-144.7393	-279.7559	135.0166	10	0.1495156	0.421468	0.11828	0.00599478	0.0158977	0.0201425	0.0724687	0.0765118	0.0327579	0.0010389	0.0466611	0.0681015	0.00881558	9.80912e-05	0.0776729	0.192523	0.104736	0.0634433	0.0208888	0.126233	0.0454838	0.226095	5.15165e-05	0.0106039	0.240365	3.74898	5	1.745313
8000	-158.0719	-288.1477	130.0758	10	0.2765574	0.39062	0.178422	0.0124609	0.00962781	0.0378433	0.0843294	0.253332	0.109842	0.0100129	0.459068	0.281362	0.0169145	0.0525963	0.133577	0.0148305	0.106886	0.130632	0.0786457	0.0381846	0.0128234	0.0173616	0.00358676	0.0864321	0.554251	3.35573	5	2.429371
9000	-142.6581	-284.428	141.7698	10	0.3118306	0.319825	0.121631	0.0246695	0.00018526	0.0498406	0.00730303	0.0225167	0.0565745	0.0326934	0.141642	0.0618966	0.0540667	0.058766	0.251962	0.0774117	4.27018e-05	0.110548	0.0205844	0.209827	0.0805235	0.0248395	0.00630395	0.113724	0.615146	3.26483	5	1.727349
