Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-35.919	-68.29391	32.3749	10	0.2082753	0.04842	0.0186851	0.0214626	0.0557463	0.0323236	0.0564459	0.0768313	0.205709	0.189258	0.24119	0.0345922	0.000698857	0.0386818	0.404908	3.55571	5	0.9806645
1000	-25.71904	-48.95144	23.2324	10	1.457764	0.13968	0.00407645	0.0292122	0.00332578	0.0163784	0.0418296	0.0218897	0.373802	0.0576062	0.265764	0.133118	0.218724	0.581372	1.04784	2.15206	5	1.086683
2000	-15.39696	-46.94775	31.55078	10	0.2346166	0.0246355	0.00761145	0.208515	0.147601	0.00769446	0.0280049	0.13247	0.111013	0.0536719	0.00215731	0.240172	0.00147065	0.0558277	0.467902	3.4748	5	0.9635457
3000	-27.2049	-47.16339	19.95849	2	0.02275267	0.0793275	0.0527324	0.0391438	0.109068	0.00395103	0.116646	0.0492513	0.205247	0.118856	0.357119	0.0614161	1.93426e-27	6.57779e-14	5.41426e-06	3.99999	4	1.192757
4000	-32.28523	-50.89166	18.60642	1	0.0678637	0.0755059	0.0237944	0.207971	0.170417	0.0934982	0.0200406	0.12516	0.0926688	0.0512678	0.0623792	0.080324	7.45883e-10	4.06912e-05	0.0240682	3.97589	3	1.003027
5000	-22.47076	-46.94418	24.47343	10	0.1450498	0.00818146	0.0728051	0.0867734	0.0875016	0.244829	0.229529	0.0644468	0.0334222	0.0619128	0.158507	0.239994	3.87493e-05	0.0092021	0.226848	3.76391	5	1.287902
6000	-30.35715	-52.07211	21.71495	1	1.180868	0.0547786	0.0961191	0.016922	0.00620711	0.0187969	0.0935809	0.0532295	0.0663205	0.0255649	0.00187409	0.14748	0.171569	0.525098	1.02452	2.27881	3	0.5808738
7000	-32.31756	-47.65159	15.33403	1	0.1571603	0.0153324	0.0926571	0.0775861	0.036654	0.138647	0.0906699	0.127222	0.422073	0.000533596	0.128289	0.191673	8.07838e-05	0.0132644	0.263302	3.72335	3	1.321337
8000	-27.50975	-47.14055	19.6308	1	0.3974284	0.000276753	0.10931	0.0974815	0.130108	0.0510957	0.0229615	0.0597746	0.206032	0.0817173	0.0353218	0.0735536	0.0163452	0.179832	0.728483	3.07534	3	0.8676327
9000	-22.62382	-49.07684	26.45302	10	0.2701307	0.0828485	0.0244494	0.00874754	0.0543798	0.0320474	0.295405	0.029787	0.398757	0.201863	0.0802845	0.503238	0.00318556	0.0815657	0.542061	3.37319	5	1.711806
