Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1727.938	-1709.925	-18.01304	10	1.000004	0.236042	0.146415	0.0879192	0.0491258	0.0742046	0.0474286	0.0614022	0.273732	0.25578	0.0290068	0.273159	0.138365	0.0688874	0.14871	0.0495714	0.127016	0.0963498	0.114747	0.0310346	0.0923717	0.011333	0.140405	0.112718	0.0341415	0.0185105	0.0991025	0.114526	0.182581	0.118025	0.056138	0.0840742	0.00923127	0.0542199	0.072337	0.000799028	0.122174	0.0771641	0.000192181	0.0161349	0.0851522	0.141059	0.00272044	0.280167	0.104712	0.0404963	0.00661621	0.0139604	0.111475	0.0958028	0.00756338	0.370142	0.0141695	0.0615046	0.0979282	0.0335888	0.52067	0.0236988	0.114753	0.00944239	0.0147918	0.293017	0.082665	0.170237	0.206851	0.132723	0.283891	0.0497504	0.0517097	0.155731	0.129631	0.319022	0.00853625	0.00101042	0.111383	0.0112091	0.0143419	0.102422	0.0272319	0.0767816	0.134361	0.15583	0.151257	0.134447	0.119828	0.0367333	0.0339824	0.00138353	0.136955	0.476753	1	2.38629	5	8.871458
1000	-899.1073	-899.5649	0.4575516	2	1.887135	0.0510109	0.0275809	0.0106418	0.0600046	0.137139	0.132951	0.0322587	0.00263668	0.0481873	0.0760014	0.0261701	0.00259871	0.00245182	0.00239205	0.173775	0.0382319	0.0155136	0.0122611	0.0390758	0.00991267	0.0118029	0.0204404	0.014086	0.0166063	0.00152363	0.0245279	0.119712	0.0477312	0.182342	0.0735497	0.00192399	0.0348218	0.00542147	0.0547787	0.00224841	0.0103396	0.0930925	0.0450355	0.0085661	0.100848	0.0890189	0.102544	0.00170439	0.0332059	0.019836	0.0722841	0.00165404	0.0768985	0.0553261	0.0361469	0.331549	0.265049	0.0130855	0.0661372	0.0844918	0.0716029	0.0394327	0.0643603	0.175539	0.0767597	0.172103	0.00988861	0.306065	0.0065231	0.00169554	0.207912	0.3452	0.00347409	0.0469305	0.0226363	0.028496	0.00207297	0.104501	0.0628539	0.0614312	0.0478863	0.153274	0.117386	0.0975098	0.34107	0.0507419	0.00277119	0.192146	0.432287	0.035965	0.0724206	0.107986	0.279419	0.642449	1.06689	2.01124	4	6.480048
2000	-883.6155	-891.7013	8.085783	2	1.914427	0.0222702	0.0117457	0.108053	0.0574606	0.149927	0.290632	0.00300515	0.0315343	0.0222863	0.00050007	0.0293282	0.0739585	0.0277514	0.0186507	0.0673824	0.0145365	0.049343	0.00641076	0.0646486	0.00185909	0.0433481	0.0120548	0.00509705	0.0198276	0.00699233	0.00358397	0.0661229	0.0118643	0.0180198	0.00223279	0.0215011	0.0528215	0.00550676	0.0090818	0.0198132	0.00612132	0.0906404	0.0189515	0.0275675	0.040964	0.0827287	0.00678164	0.0230029	0.00393181	0.0513968	0.0134917	0.00153709	0.166903	0.143921	0.0367456	0.00481863	0.287409	0.132942	0.00637273	0.0262484	0.0161438	0.0724815	0.0423941	0.16188	0.0869148	0.291017	0.0340782	0.219617	0.0428878	0.303941	0.150435	0.0779134	0.0322236	0.0474379	0.019903	0.111004	0.184242	0.2585	0.013502	0.0570504	0.0345125	0.0195265	0.160535	0.0985591	0.00381239	0.0441377	0.0327747	0.0937763	0.28669	0.111384	0.135278	0.00155728	0.282841	0.645594	1.06769	2.00387	4	5.767738
3000	-892.7188	-894.6394	1.920567	1	1.492047	0.00574769	0.00556399	0.0285705	0.0632805	0.207293	0.221096	0.00882449	0.0432033	0.0458016	0.05936	0.0118826	0.0283995	0.0243525	0.0328919	0.14154	0.141846	0.000395983	0.0386894	0.0266786	0.00108587	0.0429113	0.00661651	0.00285039	0.118398	0.00146518	0.00346268	0.255926	0.139242	0.0384477	0.0140757	0.0166924	0.00602266	0.0125102	0.0601613	0.0271344	0.0181332	0.243396	0.0879529	0.00372925	0.0816488	0.0975504	0.00428544	0.00381306	0.0102649	0.00201878	0.0285625	0.16304	0.0013802	0.066297	0.0260589	0.0407632	0.225507	0.0378988	0.0358173	0.329987	0.0930684	0.108176	0.00413003	0.0364622	0.0387802	0.209379	0.0421838	0.182972	0.0472721	0.0718343	0.0537858	0.00905184	0.182738	0.297321	0.110067	0.0209369	0.155376	0.00643434	0.092432	0.0360005	0.0166091	0.10893	0.015376	0.119638	0.0281247	0.0912132	0.266102	0.0136857	0.0294795	0.037916	0.054474	0.0797761	0.224091	0.587227	1.04995	2.13873	3	6.050249
4000	-897.7769	-894.048	-3.728917	1	0.8285725	0.0703649	0.00564962	0.197863	0.0320308	0.120577	0.313908	0.156044	0.0691919	0.0693679	0.00188949	0.0465988	0.0789481	0.026426	0.0207752	0.0509051	0.0181433	0.0217686	0.0125212	0.0359157	0.0113055	0.0284845	0.00826378	0.00299413	0.00325397	0.032248	0.00382861	0.0810716	0.0145038	0.165615	0.0318781	0.00347217	0.0196569	0.00966707	0.0015586	0.0122429	0.00998222	0.0697607	0.0415289	0.00698048	0.079985	0.187274	0.0169961	0.0213315	0.0215004	0.0051873	0.0232272	0.0212121	0.0669661	0.198619	0.0907312	0.0104229	0.0284882	0.0768392	0.0582368	0.0446623	0.00649587	0.0535701	0.092928	0.0796496	0.106827	0.0391459	0.456767	0.258468	0.0141007	0.0681198	0.0369986	0.231569	0.331622	0.553836	0.30418	0.00486042	0.105812	0.0133971	0.00251451	0.0104137	0.0420743	0.0820122	0.173948	0.126553	0.19246	0.0930226	0.152417	0.0425088	0.019289	0.075144	0.00035599	0.051621	0.101623	0.418388	0.964568	2.51542	3	6.681544
5000	-882.927	-893.331	10.40402	2	1.636817	0.0368375	0.0204095	0.0507035	0.0162226	0.0876386	0.206388	0.0268723	0.0160492	0.0376916	0.0459686	0.00456049	0.0242222	0.00074194	0.00581312	0.0851868	0.0156141	0.0157817	0.0131697	0.0552802	0.0358985	0.021778	0.0236752	0.0315224	0.022296	0.0152521	0.0180203	0.0236676	0.00424592	0.063968	0.0100783	0.00261009	0.0192413	0.000278631	0.0277947	0.000758047	0.0180256	0.0911111	0.0526036	0.0064396	0.0374192	0.130059	0.0413134	0.0272363	0.0366747	0.0125122	0.137466	0.447527	0.00737476	0.257125	0.0741933	0.0151152	0.269857	0.0579265	0.092647	0.289913	0.00349654	0.0184012	0.0797379	0.0338723	0.0718738	0.141997	0.0461435	0.10796	0.151534	0.00651437	0.0560701	0.043275	0.0521597	0.270361	0.0528027	0.0190278	0.0616953	0.203749	0.0117994	0.0644376	0.0300215	0.0241626	0.077022	0.043806	0.0094996	0.0260403	0.0160184	0.0910313	0.161149	0.170594	0.135031	0.0350873	0.245705	0.609851	1.05754	2.0869	4	5.505145
6000	-876.8528	-882.9029	6.050154	2	1.716213	0.0335856	0.0104053	0.0436306	0.0569027	0.0892502	0.225165	0.10101	0.0336895	0.05426	0.0223911	0.00620735	0.0411594	0.101474	0.02013	0.0951082	0.0211554	0.0269851	0.00598355	0.0684907	0.0100128	0.0608809	0.0179646	0.0147032	0.00117828	0.0127449	0.000473122	0.0995872	0.00117393	0.0852244	0.000673938	0.0335011	0.0549463	0.00629696	0.0543603	0.0106621	0.0206852	0.150491	0.0346083	0.00462191	0.0890243	0.0421899	0.00900384	0.00581199	0.00862332	0.000170506	0.00298975	0.331497	0.0739602	0.00860522	0.0110801	0.321336	0.163988	0.0122173	0.0197121	0.251224	0.062265	0.0967401	0.0508998	0.252788	0.0553539	0.0424156	0.0369824	0.0528894	0.282585	0.0776353	0.00684824	0.209902	0.160182	0.194841	0.135153	0.0688972	0.177638	0.0602796	0.104022	0.117652	0.0892321	0.0131646	0.0775779	0.0237778	0.000982002	0.169446	0.0518771	0.0350862	0.00485033	0.0430137	0.0192195	0.0350231	0.256875	0.620991	1.06095	2.06119	4	5.892428
7000	-894.1462	-901.2165	7.070268	1	2.114534	0.00417551	0.00798519	0.0580454	0.0307506	0.0168811	0.266208	0.044376	0.00376522	0.0167245	0.019693	0.00125146	0.0648565	0.016884	0.00527464	0.0955921	0.0137994	0.0418609	0.0206364	0.128371	0.000959504	0.0248418	0.0119039	0.00600285	0.00746066	0.00599335	0.0398732	0.188965	0.0672114	0.0559955	0.00221561	0.0241251	0.0424514	0.0132851	0.0372013	0.00243536	0.0179665	0.116978	0.0972302	0.00173938	0.047544	0.126726	0.0295015	0.00211077	0.018935	0.0090467	0.0223901	0.100227	0.030785	0.219573	0.0156146	0.0155322	0.134013	0.0145028	0.0950358	0.0398964	0.0506936	0.0971786	0.0229874	0.0844352	0.00588158	0.0115164	0.0642648	0.120426	0.284464	0.0301207	0.317594	0.0255159	0.0144623	0.329752	0.00946297	0.00899518	0.169023	0.110035	0.00363692	0.0733674	0.114564	0.0135919	0.0504916	0.10597	0.0561833	0.00644531	0.0800753	0.109611	0.0131193	0.275515	0.0808138	0.189435	0.306574	0.666665	1.07261	1.95415	3	5.47303
8000	-879.3462	-891.5287	12.1825	10	1.159212	0.00156918	0.0177887	0.0106843	0.0899942	0.0166186	0.232227	0.198388	0.0088975	0.068237	0.0202504	0.0422677	0.0744755	0.0461769	0.0249085	0.05252	0.13767	0.00227768	0.00786759	0.0721303	0.00371149	0.0417924	0.0111384	0.00361421	0.0168035	0.000528301	0.00362913	0.103831	0.0834484	0.251076	0.00291599	0.0162729	0.0143646	0.0221838	0.0307608	0.0106274	0.0048763	0.1226	0.0139041	0.00467793	0.0578737	0.072579	0.0194342	0.019493	0.0124693	0.0200963	0.0424898	0.0384813	0.0362969	0.0515717	0.0584881	0.0150644	0.0367966	0.310339	0.0237648	0.00671042	0.149494	0.0101456	0.0631613	0.0311227	0.0733125	0.0842704	0.0326319	0.154749	0.245049	0.0545117	0.31556	0.00234884	0.0181859	0.129285	0.240293	0.0250531	0.329814	0.085876	0.00891797	0.18829	0.00110337	0.0149584	0.229349	0.0671083	0.367863	0.0456836	0.0325615	0.0506005	0.10464	0.0413695	0.00742192	0.137354	0.167584	0.519882	1.02208	2.29046	5	6.051738
9000	-899.9466	-896.6046	-3.342019	1	1.335379	0.00763794	0.0135686	0.01724	0.0215048	0.161033	0.0157251	0.0734706	0.00288189	0.00725058	0.010333	0.0474535	0.0943836	0.0376937	0.0137376	0.066587	0.0123107	0.13902	0.00618286	0.114925	0.00686349	0.0431667	0.0335865	0.00878425	0.0440715	0.00382371	0.0153531	0.223288	0.0125751	0.0325361	0.029191	0.0219355	0.0164142	0.0198193	0.0667633	0.00186096	0.0197993	0.0544788	0.00601893	0.0360763	0.0653799	0.103847	0.0153097	0.0643179	0.00538253	0.0107342	0.0569401	0.0126475	0.0554124	0.051971	0.000239913	0.0168045	0.0203428	0.0219683	0.0447581	0.0540864	0.00393899	0.131467	0.101236	0.0375094	0.052805	0.196214	0.319315	0.00496299	0.341147	0.142303	0.24695	0.11616	0.223383	0.0255892	0.00759281	0.031157	0.203589	0.113511	0.0299737	0.0813654	0.140192	0.453203	0.11984	0.00161653	0.285248	0.365272	0.107201	0.314771	0.042121	0.101638	0.00532033	0.0860938	0.198736	0.558646	1.03909	2.20353	3	6.592174
