Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-69.35219	-80.30511	10.95293	10	0.0260741	0.219384	0.071278	0.316596	0.0742919	0.0293073	0.0385077	0.0326419	0.420942	0.168004	4.5393e-24	3.18561e-12	2.70882e-05	3.99997	5	1.370954
1000	-58.31653	-67.51084	9.194319	2	2.37384	0.0435122	0.099683	0.0292786	0.0608989	0.00396348	0.045462	0.157152	0.0272361	0.346328	0.33416	0.689668	1.07704	1.89913	4	0.8135141
2000	-54.36666	-66.64994	12.28328	10	2.588723	0.248241	0.00899386	0.029649	0.080593	0.0828602	0.123347	0.13076	0.191307	0.0917039	0.35471	0.705873	1.07957	1.85985	5	0.9874546
3000	-41.95321	-67.60774	25.65452	1000	1.932571	0.148476	0.00153023	0.0220478	0.0457036	0.160463	0.109403	0.0699337	0.159756	0.0910589	0.285091	0.647646	1.06821	1.99906	6	0.8083721
4000	-56.28119	-69.46198	13.18079	2	0.5825219	0.126975	0.0148656	0.14061	0.0908161	0.0717324	0.0671317	0.0396291	0.10109	0.0153467	0.0495243	0.302416	0.872133	2.77593	4	0.6681968
5000	-49.30072	-62.78153	13.48081	10	2.152473	0.145105	0.0190511	0.0117059	0.0407843	0.00434454	0.00315919	0.196237	0.208095	0.14778	0.31082	0.670306	1.07338	1.9455	5	0.7762618
6000	-51.60221	-65.83668	14.23447	10	0.8508053	0.29129	0.0388506	0.151745	0.0446833	0.0654861	0.0347754	0.0770663	0.169408	0.0546632	0.106315	0.426812	0.970096	2.49678	5	0.9279686
7000	-55.08217	-67.34636	12.26419	2	0.4184148	0.123863	0.00679466	0.0248411	0.00977808	0.045679	0.0418396	0.276785	0.149356	0.0391373	0.0194582	0.195373	0.750462	3.03471	4	0.7180737
8000	-52.38213	-64.52355	12.14142	2	1.10541	0.114511	0.0528031	0.0705338	0.0385459	0.0193333	0.0410668	0.0744358	0.304521	0.0570826	0.157493	0.506294	1.01548	2.32073	4	0.7728324
9000	-52.38054	-70.68845	18.30792	10	0.2872825	0.104629	0.00614051	0.0544301	0.222754	0.0527012	0.0455131	0.0691315	0.0533791	0.0321629	0.00432052	0.0946457	0.573814	3.32722	5	0.6408418
10000	-52.01084	-65.19595	13.18511	10	0.5887022	0.156395	0.0722062	0.0915124	0.0924942	0.00555326	0.0203694	0.22056	0.0796807	0.0848256	0.0507865	0.305934	0.875444	2.76784	5	0.8235972
11000	-57.78022	-70.61655	12.83633	1	0.3502641	0.129443	0.00768001	0.0119597	1.58037e-05	0.194723	0.0206961	0.0450309	0.0490383	0.162905	0.0102409	0.143761	0.671324	3.17467	3	0.6214911
12000	-51.45009	-66.38035	14.93026	10	0.5585643	0.235681	0.0554947	0.114782	0.00415596	0.0290167	0.0354058	0.272443	0.0142735	0.12481	0.0446907	0.28844	0.858612	2.80826	5	0.8860625
13000	-57.88348	-64.58924	6.705762	2	1.782282	0.194824	0.0284349	0.079916	0.0256772	0.0225984	0.0458421	0.318462	0.241159	0.254401	0.265824	0.629667	1.06345	2.04106	4	1.211314
14000	-54.60672	-66.146	11.53929	2	0.7902878	0.225584	0.0594579	0.081249	0.0352644	0.00319326	0.0313786	0.125461	0.0612813	0.188913	0.0934904	0.403194	0.954227	2.54909	4	0.8117822
15000	-41.99566	-66.5774	24.58174	1000	0.4618286	0.171182	0.00683022	0.0279452	0.0418261	0.00320489	0.105026	0.126216	0.215834	0.196556	0.0265503	0.226268	0.790376	2.95681	6	0.894621
16000	-37.26625	-63.15365	25.8874	1000	0.7279575	0.238709	0.0386672	0.0387693	0.0430268	0.00810861	0.0223891	0.358676	0.110107	0.111624	0.0801672	0.376428	0.934804	2.6086	6	0.9700769
17000	-44.47466	-66.99343	22.51876	1000	2.097259	0.298302	0.0098768	0.0311955	0.139551	0.174501	0.0467987	0.069458	0.375593	0.00426528	0.304615	0.664973	1.07224	1.95817	6	1.149541
18000	-52.77034	-62.34122	9.570882	2	3.277691	0.110732	0.0037498	0.0306055	0.0293562	0.00742198	0.000947145	0.206935	0.0269198	0.121166	0.409666	0.74583	1.08358	1.76092	4	0.5378332
19000	-51.77082	-66.94353	15.17271	10	0.3920051	0.0521344	0.00976709	0.00205791	0.0406886	0.0476209	0.051501	0.0369028	0.0936802	0.350141	0.0155781	0.175759	0.722482	3.08618	5	0.6844939
20000	-55.772	-71.00026	15.22826	2	0.1834664	0.0122361	0.0408794	0.126713	0.0387406	0.0422452	0.0254399	0.104741	0.0370578	0.0960975	0.000285076	0.0248148	0.339152	3.63575	4	0.5241506
21000	-45.16059	-64.82406	19.66347	1000	0.8337333	0.356546	0.0348125	0.0235826	0.0534005	0.0290337	0.0610631	0.18803	0.212371	0.131362	0.102714	0.420369	0.965881	2.51104	6	1.090201
22000	-62.06443	-68.63105	6.56662	10	0.8637436	0.219277	0.093626	0.155446	0.0826826	0.0220437	0.0223309	0.325466	0.246729	0.094642	0.109033	0.431586	0.973165	2.48622	5	1.262243
23000	-52.64589	-68.29843	15.65253	10	1.314369	0.202232	0.0989651	0.0700901	0.0115029	0.0858763	0.0328217	0.0865065	0.0524096	0.0278	0.195171	0.554429	1.03737	2.21303	5	0.6682044
24000	-45.32307	-68.14724	22.82417	1000	0.656027	0.365789	0.0142397	0.0305465	0.0103541	0.00403482	0.100791	0.163321	0.161621	0.115337	0.0648321	0.342022	0.907416	2.68573	6	0.9660347
25000	-41.5663	-69.39452	27.82822	1000	0.2620631	0.222981	0.0931464	0.0720499	0.0716662	0.029144	0.12242	0.0258478	0.187479	0.0346481	0.00272228	0.0755296	0.526244	3.3955	6	0.8593823
26000	-46.69835	-68.86112	22.16277	1000	3.829495	0.204103	0.0033123	0.0808127	0.0230435	0.0917763	0.293393	0.123762	0.0867741	0.0388317	0.444743	0.769099	1.08439	1.70177	6	0.9458084
27000	-43.72718	-67.31275	23.58556	1000	0.9433717	0.149072	0.0301912	0.119532	0.0162571	0.0013363	0.0184296	0.214478	0.0861939	0.0818332	0.125521	0.459043	0.989944	2.42549	6	0.7173233
28000	-39.49005	-65.56538	26.07532	1000	0.9133649	0.153372	0.0148011	0.115612	0.102257	0.0722916	0.0015524	0.100061	0.168205	0.165539	0.11936	0.449068	0.984018	2.44755	6	0.8936924
29000	-60.96917	-72.19356	11.22439	1	0.3927533	0.131578	0.0225736	0.169195	0.0397439	0.0107224	0.110829	0.0530786	0.185217	0.0554985	0.015683	0.176322	0.723318	3.08468	3	0.7784365
30000	-53.39875	-70.28499	16.88625	10	0.04799514	0.0914146	0.0352929	0.0698776	0.00989905	0.158313	0.0792852	0.0527418	0.210163	0.0270507	1.59048e-13	5.95184e-07	0.00416801	3.99583	5	0.7340383
31000	-51.82957	-66.79324	14.96366	2	0.6580851	0.102591	0.0325783	0.0450932	0.0360859	0.0684611	0.0375006	0.0879755	0.133907	0.0207926	0.0652678	0.343064	0.908288	2.68338	4	0.5649858
32000	-42.96547	-65.95152	22.98605	1000	1.854792	0.22425	0.0755893	0.0676149	0.0122567	0.0433218	0.129528	0.0637527	0.264199	0.220467	0.275303	0.638627	1.06589	2.02018	6	1.100979
33000	-55.3425	-69.04932	13.70682	10	0.835708	0.150706	0.0319677	0.162375	0.07092	0.129649	0.097628	0.0542444	0.20344	0.0463516	0.103131	0.421123	0.966378	2.50937	5	0.9472815
34000	-52.62314	-68.22936	15.60621	2	0.2767265	0.0753236	0.0171856	0.00833639	0.00862391	0.0684167	0.0956675	0.0866663	0.00270359	0.0775736	0.0035977	0.0865608	0.554567	3.35527	4	0.440497
