Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-583.4152	-592.8758	9.460545	10	0.6938203	0.00911643	0.00348926	0.259891	0.232261	0.170896	0.113022	0.192715	0.00564241	0.0945373	0.135344	0.0512318	0.113786	0.0558954	0.00566301	0.0489597	0.0233636	0.256476	0.235273	0.0112432	0.0741369	0.0623058	0.133667	0.443957	0.0728688	0.3606	0.922557	2.64397	5	2.732871
1000	-322.6366	-337.8948	15.25823	1	1.880065	0.0828676	0.0205162	0.0110967	0.0365207	0.0538174	0.105176	0.0421985	0.00927473	0.00856049	0.0175296	0.0465689	0.00935437	0.0125836	0.0956192	0.0223929	0.234364	0.00693912	0.374742	0.151274	0.187501	0.140074	0.0112708	0.0105308	0.278525	0.641622	1.06668	2.01318	3	1.690772
2000	-317.2305	-333.5284	16.29787	10	4.171282	0.0372864	0.0479645	0.0246387	0.00740642	0.0123128	0.0716039	0.0139536	0.0161974	0.0564061	0.00859754	0.0321291	0.0107119	0.0421327	0.0623498	0.0870672	0.0890485	0.0674099	0.269302	0.10017	0.0982024	0.0559065	0.0756956	0.234766	0.463531	0.780931	1.08434	1.6712	5	1.521259
3000	-320.121	-339.9787	19.85766	2	0.6177388	0.0375391	0.0142145	0.0385912	0.0192103	0.00193931	0.0691297	0.00424997	0.00583264	0.0707233	0.00680833	0.000949576	0.0140568	0.011497	0.167659	0.245585	0.0878066	0.0559484	0.148866	0.155455	0.0624991	0.03832	0.0816093	0.0230302	0.0567861	0.32199	0.890106	2.73112	4	1.361521
4000	-317.4748	-339.8258	22.351	10	2.073493	0.0252659	0.0743663	0.0180309	0.0534609	0.00110268	0.104742	0.000815407	0.00271139	0.000871231	0.00425857	0.00101726	0.0130209	0.0451474	0.0735005	0.260616	0.081244	0.0617272	0.105551	0.0580842	0.0480109	0.0906922	0.0855787	0.131548	0.301893	0.662608	1.07172	1.96378	5	1.341363
5000	-317.9797	-335.9661	17.98639	2	2.551829	0.124767	0.00920342	0.0172269	0.0321793	0.00379081	0.0620109	0.00588928	0.00233539	0.0235393	0.0246597	0.0173394	0.013391	0.0915932	0.0596725	0.0760899	0.116943	0.126351	0.0645256	0.0155583	0.109675	0.109021	0.0702735	0.340216	0.351316	0.703248	1.07919	1.86624	4	1.516251
6000	-328.4415	-343.5273	15.08585	10	2.596452	0.105858	0.0467641	0.0139274	0.00127345	0.117237	0.132849	0.00590433	0.0323495	0.0128294	0.0272612	0.0141774	0.0193224	0.0769762	0.144295	0.0664438	0.239445	0.00865621	0.0606727	0.0227305	0.0861614	0.123524	0.132176	0.230631	0.355414	0.706415	1.07964	1.85853	5	1.721464
7000	-326.4841	-339.0322	12.54812	1	2.552433	0.0888046	0.00384452	0.00239312	0.044562	0.0696705	0.118548	0.00272044	0.0026948	0.140824	0.00116836	0.134067	0.000355152	0.108014	0.0502055	0.111833	0.113195	0.0926985	0.193652	0.0585165	0.0158431	0.311937	0.224383	0.004616	0.351372	0.703291	1.0792	1.86614	3	1.894547
8000	-326.721	-337.7029	10.98195	1	2.181198	0.068926	0.00741227	0.012035	0.019216	0.0156136	0.119824	0.00883639	0.0130778	0.0510422	0.00598151	0.00914148	0.0209587	0.0410926	0.35804	0.0969082	0.108919	0.0786015	0.0466513	0.159298	0.0513666	0.462031	0.00157906	0.331735	0.313986	0.672995	1.07393	1.93909	3	2.088287
9000	-328.2824	-341.0148	12.73234	2	1.320456	0.0367147	0.0733845	0.0239261	0.0455922	0.0940896	0.0919991	0.0178813	0.0204844	0.0149499	0.0197266	0.0543911	0.0170947	0.0373668	0.161821	0.073468	0.0397305	0.183824	0.213317	0.0833854	0.0868026	0.332219	0.388972	0.0128589	0.196208	0.555661	1.03787	2.21026	4	2.123998
