Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-295.5286	-325.8463	30.3177	10	1.068942	0.0341296	0.00250862	0.00994942	0.0894119	0.16309	0.108582	0.0174686	0.0891859	0.0665898	0.255634	0.0225971	0.0858277	0.237285	0.0534075	0.136418	0.00412499	0.15614	0.00740094	0.0239917	0.0262147	0.0066732	0.177242	0.0813075	0.225052	0.0120446	0.150501	0.496537	1.01055	2.34242	5	2.092278
1000	-161.9667	-178.4427	16.47599	2	0.7158448	0.0259125	0.0284745	0.034841	0.0107701	0.0041966	0.0417247	0.0374751	0.042383	0.0122603	0.314206	0.00305597	0.0177141	0.0380585	0.0548348	0.31612	0.0622285	0.0225273	0.436941	0.484462	0.272563	0.16111	0.117478	0.215184	0.00191404	0.181362	0.0775754	0.370911	0.930601	2.62091	4	2.937798
2000	-143.737	-172.2709	28.53386	10	1.343931	0.0147253	0.00630454	0.0227494	0.026969	0.00812653	0.104027	0.065599	0.0418052	0.207628	0.14524	0.0476897	0.0035563	0.0897259	0.111779	0.195887	0.072699	0.228238	0.230051	0.296559	0.10507	0.0790959	0.154426	0.0304939	0.0826521	0.0757917	0.200175	0.560335	1.03977	2.19972	5	2.446888
3000	-159.6758	-182.3793	22.70356	10	0.6841603	0.0871284	0.00916905	0.0659613	0.0389176	0.0437075	0.0963157	0.100932	0.347233	0.104031	0.0487612	0.0472823	0.0628875	0.10413	0.00391593	0.054041	0.149771	0.340161	0.148343	0.154531	0.0340257	0.0588891	0.172458	0.0259468	0.144355	0.0748609	0.0708086	0.35596	0.918854	2.65438	5	2.517754
4000	-154.5189	-177.6273	23.10838	10	2.522096	0.0303254	0.0788477	0.00324845	0.0450245	0.117686	0.109551	0.097536	0.110118	0.117866	0.0398941	0.0352714	0.104714	0.0766504	0.038922	0.0748923	0.0667446	0.194018	0.143672	0.0745809	0.00677945	0.261575	0.699738	0.119123	0.288787	0.0929197	0.348542	0.701087	1.07887	1.8715	5	3.028485
5000	-148.2947	-180.1168	31.82211	10	0.3638121	0.135569	0.00472455	0.12939	0.00373473	0.129689	0.120322	0.109004	0.0989975	0.0233193	0.0725325	0.0758648	0.00187555	0.038252	0.0462502	0.062099	0.0619406	0.0311191	0.0228134	0.0686374	0.0622808	0.31294	0.40357	0.143972	0.0914878	0.363384	0.0118585	0.154254	0.688952	3.14494	5	2.61377
6000	-159.8264	-185.7098	25.88337	10	2.931501	0.0483007	0.0200625	0.136994	0.0152028	0.120514	0.00667891	0.0605506	0.0578354	0.194266	0.0578013	0.0377517	0.0559832	0.0790601	0.0890763	0.0427651	0.0908636	0.0344814	0.166592	0.158614	0.0124432	0.0864377	0.443011	0.0374827	0.0314482	0.46654	0.383892	0.727663	1.08216	1.80629	5	2.550756
7000	-161.698	-182.2174	20.51945	10	5.916147	0.038867	0.0205959	0.132077	0.0743266	0.0517754	0.11104	0.324814	0.0625809	0.117278	0.193946	0.0694201	0.00929492	0.0826175	0.0855665	0.128289	0.0805719	0.0225889	0.397269	0.168832	0.336206	0.0403248	0.0163669	0.0548689	0.305473	0.0761495	0.536187	0.823057	1.08145	1.55931	5	3.00114
8000	-148.8972	-181.3123	32.41506	10	0.3193671	0.0288721	0.016015	0.100593	0.00265382	0.0349549	0.0385134	0.104555	0.0188428	0.00192323	0.209061	0.0624856	0.00686943	0.0276685	0.0260775	0.0614589	0.193653	0.0401085	0.0539064	0.186081	0.00785729	0.0860704	0.0715972	0.356044	0.159016	0.0904762	0.00699724	0.119621	0.626938	3.24644	5	1.985355
9000	-147.4457	-174.8467	27.40092	10	1.508423	0.070535	0.0291089	0.0149875	0.0451008	0.0263274	0.0839457	0.0520546	0.0306736	0.0588478	0.0303669	0.0136427	0.0477739	0.0157308	0.0613466	0.109315	0.00948879	0.248631	0.133821	0.350394	0.732071	0.0653196	0.0694076	0.167507	0.0744544	0.180085	0.226621	0.589952	1.05091	2.13251	5	2.720936
