Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-239.2031	-270.2974	31.09426	10	0.2119804	0.0448069	0.000991289	0.0598201	0.0561558	0.0661553	0.115233	0.0110657	0.23657	0.0997551	0.0168248	0.0251112	0.0411904	0.283644	0.134223	0.0735384	0.171256	0.0564605	0.0634712	0.0674411	0.0524098	0.00335586	0.225531	0.149393	0.000302582	0.0145279	0.000784701	0.0409603	0.414196	3.54406	5	2.069234
1000	-157.3453	-175.5471	18.20182	10	2.181167	0.0547345	0.00211232	0.0482142	0.0532914	0.095496	0.181095	0.0686052	0.0329035	0.108331	0.189788	0.104012	0.0114453	0.00689418	0.043715	0.121128	0.274355	0.154231	0.367446	0.23924	0.165844	0.255722	0.00252575	0.00556012	0.317832	0.298692	0.313982	0.672992	1.07393	1.9391	5	3.203213
2000	-143.9012	-171.636	27.73478	10	1.102233	0.0345864	0.0320737	0.008823	0.0360604	0.0307539	0.0733476	0.0102649	0.0437181	0.104511	0.0160653	0.0140538	0.0022933	0.0483031	0.00900808	0.510008	0.236659	0.0930355	0.0630756	0.0265388	0.0445897	0.368884	0.0391495	0.188619	0.125848	0.188051	0.156889	0.505462	1.01507	2.32258	5	2.34832
3000	-148.5972	-175.0132	26.41595	10	3.09125	0.0928745	0.0454642	0.0377592	0.0367094	0.0382369	0.216525	0.000831506	0.0518432	0.0959854	0.0923216	0.0338468	0.0194315	0.0535556	0.0285977	0.128191	0.00947578	0.241913	0.24129	0.173077	0.0870071	0.065636	0.42558	0.156982	0.215975	0.0565957	0.3962	0.736458	1.08293	1.78441	5	2.645704
4000	-156.986	-178.9161	21.93006	10	1.317772	0.170359	0.02483	0.0854903	0.00891315	0.0205563	0.218339	0.0978834	0.0103318	0.328895	0.0833256	0.0765399	0.0246877	0.0778223	0.0101407	0.292232	0.160656	0.0118048	0.00967889	0.481033	0.0368989	0.197208	0.0954092	0.293481	0.137032	0.047967	0.195751	0.555119	1.03765	2.21148	5	3.001514
5000	-172.4207	-191.9844	19.56373	10	0.7606924	0.0405057	0.0285002	0.408345	0.0182782	0.0124986	0.0721418	0.158443	0.02074	0.221129	0.0620302	0.0412492	0.0430686	0.011308	0.0430397	0.389691	0.506143	0.0431502	0.286857	0.116553	0.0472601	0.146717	0.182982	0.113717	0.155513	0.0585338	0.0871716	0.390814	0.945439	2.57658	5	3.228396
6000	-143.8773	-178.915	35.03776	10	0.5131476	0.0505274	0.0163593	0.0261494	0.00907084	0.00411709	0.0326482	0.122982	0.0313016	0.081038	0.00745165	0.0828948	0.00913664	0.0543056	0.0169837	0.0280257	0.231794	0.018927	0.124931	0.0803292	0.199492	0.0905592	0.539259	0.0125314	0.0701058	0.0818245	0.0358497	0.260412	0.829604	2.87413	5	2.022745
7000	-151.5446	-172.6185	21.07386	10	2.673109	0.0662114	0.0069235	0.0244742	0.00986504	0.00251465	0.0753841	0.044367	0.0274536	0.0517788	0.341951	0.0394185	0.030758	0.105853	0.00978549	0.0904461	0.199424	0.000518661	0.368955	0.336486	0.121877	0.016854	0.147011	0.0492108	0.0428153	0.438538	0.362278	0.711656	1.08035	1.84572	5	2.648874
8000	-148.1071	-176.7019	28.59482	2	0.4508565	0.136354	0.000749117	0.000301919	0.0236747	0.0408062	0.0529258	0.0147135	0.0368759	0.0731721	0.040279	0.0666852	0.00880278	0.107145	0.000582442	0.212135	0.026806	0.0204986	0.0213292	0.0992784	0.103353	0.114805	0.0223211	0.0311367	0.0803714	0.333121	0.0246824	0.218628	0.780933	2.97576	4	1.668222
9000	-144.3369	-180.1613	35.82445	10	0.5796895	0.00798295	0.036074	0.0574293	0.00257802	0.103575	0.0808838	0.0841851	0.0400146	0.0399235	0.0417088	0.0483306	0.0807306	0.0444932	0.0143002	0.0793444	0.151661	0.0431107	0.175078	0.0584649	0.113389	0.384636	0.0307755	0.089675	0.0131217	0.015204	0.0489478	0.300792	0.870592	2.77967	5	1.83667
10000	-156.0259	-178.8407	22.81484	10	1.084616	0.000793493	0.0890893	0.0606948	0.0145793	0.0479929	0.0448946	0.0472236	0.0799333	0.00528502	0.265047	0.127029	0.0287209	0.121001	0.0708383	0.201214	0.0194059	0.0297349	0.0916824	0.263379	0.0408285	0.266378	0.156093	0.430044	0.0374575	0.33013	0.153521	0.500787	1.01272	2.33297	5	2.86947
11000	-159.3204	-179.6716	20.35127	2	0.3031725	0.0739371	0.00795402	0.0451391	0.0841636	0.0329781	0.118293	0.0450876	0.0346535	0.0935316	0.00302866	0.0267442	0.0033496	0.0853393	0.010357	0.0478297	0.172481	0.132538	0.10033	0.15244	0.6246	0.00298026	0.108569	0.242192	0.0451827	0.248567	0.00555618	0.106965	0.601092	3.28639	4	2.542267
12000	-145.1936	-181.4811	36.28752	10	1.264017	0.00590007	0.0102803	0.0167047	0.0158947	0.0757636	0.0541681	0.0078826	0.0269994	0.142192	0.00671222	0.0243457	0.0634875	0.037028	0.0655018	0.00539231	0.0996742	0.208589	0.190365	0.0300053	0.125685	0.20255	0.051654	0.0461064	0.137242	0.178678	0.186463	0.543902	1.03293	2.2367	5	1.828802
13000	-149.9887	-174.923	24.93428	10	1.000219	0.00999963	0.018114	0.0428371	0.0600209	0.0579668	0.0741479	0.0544166	0.0402118	0.236784	0.0625996	0.0595502	0.0390305	0.0815902	0.0310598	0.643245	0.407031	0.113844	0.169843	0.20498	0.169111	0.14928	0.123723	0.293502	0.0357864	0.0106805	0.136997	0.476818	1.00004	2.38615	5	3.189356
14000	-148.0163	-173.8485	25.83218	10	0.9710569	0.0245614	0.0130996	0.0444737	0.0379037	0.01465	0.131744	0.151188	0.00299629	0.0374677	0.0116834	0.0459269	0.0374369	0.134583	0.0167963	0.126175	0.295871	0.030157	0.189753	0.12651	0.132581	0.349322	0.106866	0.242701	0.342485	0.0945833	0.131143	0.467876	0.995034	2.40595	5	2.741517
15000	-160.8067	-183.2024	22.39571	2	1.931601	0.0153093	0.018501	0.00911592	0.0166671	0.0827213	0.11622	0.0258061	0.00760339	0.0714447	0.0408506	0.0645993	0.228005	0.0360499	0.0268855	0.386386	0.0143697	0.160014	0.166734	0.0545098	0.0556483	0.0768971	0.131536	0.0487768	0.184983	0.0347644	0.284971	0.647537	1.06818	1.99931	4	2.074398
16000	-142.695	-173.2974	30.60239	10	0.9346868	0.0970695	0.00533773	0.038234	0.042381	0.0237168	0.166579	0.0344889	0.00255457	0.0195752	0.0891447	0.0399531	0.0143212	0.111014	0.0228147	0.408434	0.269995	0.0125792	0.0301111	0.209105	0.0293148	0.159815	0.432635	0.0833544	0.0628418	0.0769698	0.123745	0.4562	0.988275	2.43178	5	2.48234
17000	-158.0381	-178.576	20.53793	2	3.14603	0.00200147	0.0558498	0.0242461	0.0209735	0.0237215	0.0876447	0.0270788	0.0412366	0.150823	0.110061	0.0447499	0.0858771	0.0466725	0.0244573	0.0512379	0.138983	0.0579181	0.125467	0.155037	0.12668	0.148219	0.0316165	0.126248	0.164598	0.470635	0.400253	0.739306	1.08315	1.77729	4	2.342033
18000	-149.0051	-174.6673	25.66219	10	1.925775	0.0158699	0.00959141	0.0731705	0.0274306	0.104799	0.0522317	0.073687	0.0561503	0.0912232	0.00713064	0.0472148	0.00764513	0.137829	0.0368632	0.0951189	0.063658	0.0574857	0.0715043	0.504007	0.0145271	0.203254	0.151932	0.0929223	0.133976	0.0698033	0.28425	0.646881	1.06802	2.00085	5	2.199024
19000	-147.4125	-179.2307	31.81817	10	0.8241039	0.086338	0.0334199	0.573898	0.000165925	0.0350526	0.045355	0.0218934	0.00241661	0.0757372	0.123833	0.00654936	0.0145727	0.0469354	0.0135439	0.0689232	0.0904112	0.00170373	0.0728885	0.173853	0.170163	0.157897	0.152018	0.18902	0.0793612	0.0702669	0.100677	0.41666	0.963416	2.51925	5	2.306217
20000	-154.3181	-180.6262	26.30815	10	3.169844	0.0818745	0.140922	0.115789	0.00752871	0.0387064	0.0828051	0.0663384	0.0850987	0.0366599	0.18091	0.115341	0.0208714	0.0432304	0.0505614	0.157191	0.248677	0.0710075	0.00846684	0.0482809	0.0548229	0.0458443	0.0429896	0.442518	0.133694	0.36961	0.401989	0.740518	1.08324	1.77426	5	2.689739
21000	-151.831	-177.68	25.84901	10	1.369922	0.0012836	0.0312415	0.235624	0.00526644	0.0158118	0.0853683	0.0398608	0.0712466	0.0782626	0.276244	0.0672246	0.0211283	0.0480613	0.0891818	0.148035	0.187991	0.0480549	0.146029	0.0242045	0.442726	0.039536	0.189071	0.14527	0.259638	0.0373083	0.204511	0.565369	1.04177	2.18835	5	2.733671
22000	-149.0406	-175.9524	26.9118	2	0.7362159	0.0384987	0.0105148	0.0377025	0.00744174	0.0380125	0.0634258	0.126858	0.0630754	0.0433863	0.0935458	0.0197099	0.0260474	0.0174698	0.0331317	0.0900254	0.230733	0.0419237	0.000523438	0.0140687	0.151986	0.145154	0.0713251	0.141864	0.0161741	0.186578	0.0819347	0.380128	0.937584	2.60035	4	1.709175
23000	-161.3816	-176.1757	14.79407	2	0.5695642	0.00736522	0.00519628	0.0606262	0.0159358	0.0506592	0.170253	0.109552	0.078993	0.0266769	0.00231121	0.0428348	0.0212595	0.090397	0.0468688	0.0787228	0.00236423	0.723008	0.328328	0.147748	0.223164	0.174005	0.217756	0.111548	0.157875	0.0146801	0.0468977	0.294925	0.86496	2.79322	4	2.908128
24000	-153.675	-176.4789	22.80396	10	2.701316	0.0215104	0.0105035	0.087954	0.025523	0.0829912	0.125262	0.0285339	0.00535304	0.00853625	0.114587	0.0874488	0.0221858	0.15736	0.00278412	0.226024	0.313562	0.267199	0.175331	0.111607	0.147139	0.0555665	0.0988066	0.149233	0.196406	0.118028	0.364749	0.713524	1.08058	1.84114	5	2.639435
