Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-99.97117	-176.2324	76.26124	10	0.3178268	0.00746729	0.112924	0.298264	0.0486634	0.032437	0.0767437	0.00133014	0.0992097	0.124841	0.051292	0.0156336	0.00315983	0.357381	0.0391552	0.0592473	0.369523	0.00222186	0.330316	0.0340496	0.00685235	0.118415	0.624561	3.25017	5	2.063859
1000	-30.26433	-113.5015	83.23713	10	0.3401823	0.016697	0.0153204	0.12762	0.181805	0.0464705	0.0493232	0.0475463	0.0162046	0.0511521	0.00963106	0.0422173	0.0715184	0.123751	0.0475752	0.00075625	0.179283	0.126371	0.0114396	0.10053	0.00911297	0.135905	0.657507	3.19748	5	1.265213
2000	-34.81731	-104.9111	70.09381	10	0.341575	0.0840852	0.10149	0.0211762	0.0883173	0.0486404	0.0271468	0.00406238	0.00300319	0.0055093	0.00603763	0.0087467	0.122168	0.0853574	0.065561	0.0959004	0.102589	0.168602	0.0272838	0.219468	0.00926484	0.136992	0.659452	3.19429	5	1.285144
3000	-33.9639	-107.0163	73.05239	10	2.538473	0.129477	0.0123525	0.0452776	0.0834746	0.0178955	4.38757e-05	0.105127	0.0064935	0.0325024	0.00259151	0.639138	0.142762	0.212525	0.0884966	0.200039	0.113778	0.197555	0.123158	0.227929	0.350074	0.702282	1.07905	1.86859	5	2.380617
4000	-41.02854	-113.1312	72.10263	10	0.4534432	0.0513479	0.00152628	0.024363	0.117296	0.147344	0.0313727	0.266238	0.0116696	0.0760876	0.0129388	0.0759732	0.123453	0.201758	0.194458	0.0766264	0.336061	0.114836	0.00718589	0.252088	0.0251185	0.22044	0.783196	2.97125	5	2.122622
5000	-35.54943	-106.311	70.76158	10	0.3054767	0.0891818	0.00385771	0.105374	0.230125	0.0619861	0.254791	0.012816	0.0342363	0.0372898	0.00148051	0.0534157	0.374708	0.343923	0.0533293	0.0649376	0.10269	0.00347364	0.00188543	0.0470105	0.00575008	0.108762	0.604887	3.2806	5	1.87651
6000	-38.34938	-110.9632	72.6138	10	0.4518515	0.128025	0.060967	0.0985583	0.0129633	0.00793033	0.0779248	0.020468	0.0186635	0.0478857	0.00525971	0.111015	0.0702641	0.202154	0.0291837	0.276913	0.172053	0.165993	0.337289	0.358696	0.0248498	0.219326	0.781806	2.97402	5	2.202206
7000	-27.79277	-101.0423	73.2495	10	2.980063	0.161148	0.0136905	0.000803716	0.0607023	0.106322	0.0602229	0.00373712	0.0116169	0.0393077	0.00202005	0.0161953	0.0361042	0.154153	0.269789	0.199084	0.362044	0.315598	0.231372	0.0463233	0.387714	0.730418	1.08242	1.79945	5	2.090234
8000	-26.50813	-111.4606	84.95245	10	0.8380279	0.052057	0.0188165	0.0178473	0.0761987	0.266963	0.156585	0.000399481	0.0235394	0.0690726	0.0371009	0.00119055	0.010324	0.206606	0.160474	0.0176067	0.0466278	0.0253979	0.208263	0.0615776	0.103621	0.422005	0.966959	2.50741	5	1.456646
9000	-37.21988	-111.6687	74.44881	10	0.8177528	0.253355	0.00677135	0.0940461	0.398911	0.0154505	0.0821775	0.0161937	0.0350355	0.0455689	0.0119151	0.0606729	0.285252	0.069618	0.00637929	0.107027	0.04627	0.200576	0.0165924	0.148491	0.0993304	0.414184	0.961755	2.52473	5	1.900304
