Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-785.0579	-843.0094	57.95152	10	0.4070331	0.0966394	0.00258882	0.374085	0.0164791	0.0188674	0.148323	0.0842489	0.0160473	0.00575088	0.0363669	0.0602997	0.194801	0.0523004	0.0871634	0.00284253	0.221035	0.294937	0.017742	0.18699	0.73878	3.05649	5	1.712776
1000	-523.3473	-567.1047	43.75741	10	1.056261	0.103139	0.00634648	0.0324432	0.0803809	0.0274299	0.0068779	0.0436194	0.0176157	0.0039207	0.0809947	0.0954676	0.626891	0.13752	0.392037	0.00320861	0.317074	0.0559971	0.148041	0.493033	1.00873	2.3502	5	2.030963
2000	-522.6671	-575.6386	52.97151	10	1.457655	0.0867711	0.0157196	0.000956398	0.0907363	0.0261019	0.022503	0.0284985	0.0515156	0.00323444	0.0521127	0.187991	0.205268	0.146907	0.200134	0.0420035	0.256664	0.0357755	0.218706	0.581353	1.04783	2.15211	5	1.452893
3000	-531.6456	-570.1826	38.53701	2	1.83434	0.102298	0.0059069	0.0262063	0.0994505	0.000304303	0.0159027	0.0298951	0.0247398	0.0200154	0.0271662	0.0972769	0.392195	0.07687	0.189865	0.0204742	0.20222	0.0340787	0.272664	0.636156	1.06523	2.02595	4	1.364865
4000	-535.468	-568.7837	33.31564	2	2.455145	0.121684	0.018576	0.0122335	0.0943939	0.0230169	0.0495618	0.000235035	0.0200924	0.0294089	0.0670918	0.164017	0.211494	0.133012	0.38418	0.0422642	0.206306	0.0471648	0.342162	0.696068	1.0781	1.88367	4	1.624733
5000	-529.7589	-569.0015	39.2426	2	0.9884647	0.0914203	0.00570113	0.00448571	0.0607671	0.0138217	0.00059634	0.0576676	0.0042725	0.0080672	0.0561659	0.140563	0.175593	0.104672	0.193035	0.0168351	0.234352	0.0295147	0.134646	0.473257	0.998062	2.39403	4	1.197531
6000	-537.0316	-568.4006	31.36897	2	1.836452	0.143638	0.00403555	0.00520893	0.0932697	0.0450971	0.0123678	0.0209897	0.0199022	0.0110069	0.0322995	0.265937	0.360681	0.109557	0.293661	0.0320639	0.254679	0.0436861	0.272938	0.636414	1.0653	2.02535	4	1.748081
7000	-519.5847	-567.6396	48.0549	10	2.873639	0.132378	0.00387192	0.00455451	0.0926013	0.0676994	0.0268838	0.0201674	0.0196116	0.00452479	0.0627451	0.214247	0.183148	0.106402	0.33494	0.0235787	0.0446273	0.323427	0.379244	0.724283	1.08182	1.81466	5	1.665408
8000	-515.769	-573.138	57.36903	10	0.7386779	0.116055	0.00298876	0.00634804	0.0604599	0.0117697	0.00276848	0.0272578	0.108158	0.0194702	0.0262013	0.00721418	0.215067	0.00830581	0.284686	0.030689	0.0377497	0.365695	0.0824616	0.381222	0.938399	2.59792	5	1.330885
9000	-511.471	-565.7752	54.30425	10	0.8814652	0.157213	0.00612849	0.00768248	0.0788649	0.0171191	0.0269483	0.0130297	0.0194661	0.0273166	0.0390026	0.206811	0.156419	0.128843	0.203291	0.0398783	0.0167909	0.29634	0.11274	0.437976	0.977202	2.47208	5	1.441144
10000	-537.7906	-570.7481	32.95745	1	0.2794477	0.154327	0.00678662	0.0214756	0.0521947	0.0335447	0.0156748	0.0108028	0.0270147	0.00459305	0.0299243	0.197722	0.12287	0.047919	0.30571	0.0592718	0.00621601	0.329949	0.00377657	0.0886352	0.559618	3.34797	3	1.425996
11000	-535.3005	-570.352	35.05152	2	4.237798	0.252221	0.0106205	0.0061008	0.0572023	0.0116521	0.0262735	0.0357624	0.0245489	0.00591227	0.0322277	0.0579417	0.191957	0.113867	0.245235	0.0166422	0.0672531	0.25783	0.466967	0.783051	1.08429	1.66569	4	1.413247
12000	-540.4257	-575.7572	35.33145	2	2.092409	0.095595	0.0286214	0.00990643	0.113053	0.111978	0.0116504	0.0192781	0.0257892	0.0349341	0.0406362	0.0692546	0.197773	0.0824841	0.24733	0.0239871	0.0550277	0.283998	0.304062	0.664494	1.07214	1.95931	4	1.451296
