Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-712.8773	-730.796	17.91875	10	0.708101	0.069414	0.110621	0.146745	0.0103039	0.0128735	0.179009	0.0255006	0.545915	0.0267525	0.157568	0.354149	0.0189895	0.0779788	0.101907	0.204384	0.0312977	0.0887545	0.0121368	0.0789178	0.00616559	0.123089	0.126263	0.146343	0.0718708	0.0238097	0.135732	0.0123945	0.0244661	0.017277	0.540509	0.102407	0.0877157	0.0394978	0.237187	0.0511734	0.117862	0.11692	0.0759194	0.367327	0.927834	2.62892	5	4.233902
1000	-351.301	-388.2624	36.96136	10	0.3062118	0.00386771	0.0296491	0.050156	0.0106202	0.0569658	0.0148686	0.0960039	0.0146984	0.0413756	0.0182795	0.000604206	0.022405	0.0268996	0.0546041	0.0522019	0.00492734	0.0145014	0.0113781	0.0604912	0.0422834	0.0143239	0.0738959	0.0783692	0.032996	0.0681641	0.00628412	0.00893448	0.0539923	0.0296018	0.105353	0.961535	0.0309493	0.13052	0.0509257	0.0204236	0.102842	0.163904	0.00581272	0.109335	0.606089	3.27876	5	2.559796
2000	-347.6139	-381.8129	34.19896	10	0.7644105	0.00870087	0.0057207	0.0100464	0.00324857	0.0528009	0.00407967	0.185184	0.0136964	0.0129121	0.0538646	0.00566536	0.0191968	0.00331659	0.0239374	0.0176243	0.00259369	0.0163662	0.021848	0.0261532	0.0928304	0.0115807	0.850225	0.0862284	0.0373194	0.108491	0.0409542	0.0283112	0.158702	0.114264	0.00171938	0.00166501	0.0184523	0.0397582	0.105268	0.0578061	0.169347	0.0697105	0.0879665	0.392401	0.946584	2.57305	5	2.479587
3000	-353.0065	-389.8958	36.88925	10	1.032511	0.018989	0.0026987	0.129253	0.0610513	0.00685812	0.0275698	0.123895	0.0335927	0.0106646	0.00641225	0.0032586	0.0721728	0.0216174	0.00044822	0.032024	0.0127789	0.00841657	0.0251146	0.0172	0.148811	0.00970758	0.532541	0.00269875	0.032971	0.00792198	0.165507	0.133009	0.0173268	0.0888834	0.175195	0.0279953	0.210456	0.0499478	0.0191676	0.0193658	0.00833751	0.0337223	0.143395	0.48631	1.00518	2.36511	5	2.29758
4000	-351.3281	-380.5494	29.22132	10	1.445117	0.0251373	0.00988655	0.00617832	0.0514137	0.0313053	0.0263529	0.122513	0.00256848	0.0087979	0.00559001	0.00572137	0.120531	0.0200993	0.00797919	0.0541146	0.00437822	0.0471398	0.030607	0.0897388	0.0638724	0.0861928	1.12967	0.0488181	0.0762932	0.111018	0.0301655	0.0308712	0.0734356	0.0431649	0.0131928	0.0251821	0.11136	0.095055	0.0378327	0.0890746	0.203448	0.076329	0.216718	0.579159	1.04703	2.15709	5	3.015033
5000	-351.5734	-385.106	33.53258	10	1.030835	0.0210449	0.0086073	0.048345	0.0485255	0.0235403	0.0598039	0.0176917	0.0606455	0.0533274	0.0100866	0.01005	0.0210708	0.0359758	0.0287151	0.0098993	0.0304922	0.011315	0.0265788	0.0473141	0.0836039	0.024857	0.797256	0.0651683	0.0785596	0.0021745	0.0125373	0.0128053	0.0350846	0.0741488	0.0350767	0.140966	0.0401766	0.143396	0.0478093	0.0956089	0.10744	0.0103526	0.143065	0.485828	1.00493	2.36618	5	2.38005
6000	-356.1446	-391.9559	35.81135	10	0.9070044	0.0256687	0.0180391	0.150044	0.0453573	0.013356	0.0293635	0.114218	0.0301038	0.0694228	0.0488219	0.0326934	0.109526	0.01338	0.00334636	0.0110961	0.0212355	0.0086542	0.103284	0.0523842	0.117089	0.00471521	0.73444	0.128549	0.0327833	0.0611958	0.0539886	0.108759	0.0432997	0.0116811	0.136621	0.0946377	0.0285457	0.0291206	0.0448891	0.0304512	0.0237141	0.272488	0.118046	0.446897	0.982703	2.45235	5	2.856964
7000	-355.6692	-383.3871	27.71786	10	1.362353	0.0181406	0.0365823	0.018984	0.00900959	0.0519345	0.0305459	0.0386453	0.0249692	0.00712111	0.0111332	0.00211651	0.00020965	0.0149391	0.0179019	0.0581463	0.0292252	0.0396051	0.0516383	0.0979933	0.0512787	0.19865	1.30206	0.0216624	0.0943567	0.0329708	0.0120571	0.0198929	0.0799795	0.18032	0.0634082	0.0818136	0.0739399	0.0636254	0.0204721	0.0640684	0.309833	0.0194867	0.203254	0.563917	1.0412	2.19163	5	3.248714
8000	-338.2163	-380.1855	41.9692	10	0.9818566	0.02181	0.047297	0.025057	0.0174338	0.0353757	0.00351491	0.0870346	0.0709247	0.00642405	0.0217918	0.0165393	0.0211181	0.0115078	0.0023909	0.0190518	0.0161738	0.0141658	0.028744	0.0650998	0.0572379	0.0294634	0.810101	0.0709825	0.0736838	0.145646	0.0455367	0.0150647	0.0446963	0.0988461	0.0251852	0.153921	0.0024121	0.0227138	0.00610314	0.00240046	0.096368	0.0820417	0.13332	0.47123	0.996927	2.39852	5	2.313859
9000	-359.3646	-380.9106	21.546	10	0.9479327	0.0175975	0.0164553	0.0320609	0.0028783	0.0273154	0.00935743	0.290002	0.0287001	0.10845	0.0172325	0.00971242	0.0777245	0.0150858	0.00578919	0.00356525	0.0256742	0.0379951	0.0335675	0.0716672	0.111022	0.157358	0.992441	0.0766257	0.0645148	0.00225388	0.184726	0.0283759	0.120755	0.0305626	0.107207	0.0453365	0.0146607	0.00207031	0.137159	0.0673662	0.236724	0.111995	0.126452	0.460522	0.990807	2.42222	5	3.321985
