Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-714.8261	-750.9546	36.12848	10	0.339706	0.0240992	0.0106668	0.329482	0.0640301	0.315856	0.015514	0.0404482	0.00517109	0.0264475	0.0224543	0.10042	0.0646977	0.11721	0.0624221	0.182942	0.0660243	0.0142966	0.0214492	0.0165516	0.0261461	0.349349	0.016106	0.0613274	0.0582252	0.10503	0.0580223	0.0447651	0.0113156	0.00124477	0.0688219	0.00164818	0.0359743	0.013014	0.0256921	0.128517	0.0727662	0.172506	0.00906132	0.135533	0.656838	3.19857	5	2.750655
1000	-345.6774	-387.1816	41.50415	10	0.2753318	0.0125597	0.0269067	0.00163146	0.010758	0.000459758	0.0148372	0.0634683	0.0565901	0.0273209	0.0448529	0.0100803	0.013253	0.00663244	0.00920816	6.92644e-05	0.0135456	0.0288733	0.0122201	0.020482	0.0451121	0.722131	0.0127121	0.128957	0.0888446	0.0483279	0.075032	0.0114986	0.024183	0.014785	0.0654621	0.0342214	0.0976796	0.00562848	0.0367206	0.0254055	0.00534133	0.198786	0.00350803	0.0855005	0.551954	3.35904	5	2.014577
2000	-364.2386	-389.9519	25.71324	10	0.6128424	9.66521e-05	0.0445933	0.00931845	0.115475	0.0737939	0.0428362	0.0432216	0.00268798	0.0197365	0.0470348	0.0234657	0.00186687	0.052024	0.0142153	0.000880393	0.0276793	0.000988085	0.00757502	0.000101185	0.118835	1.01356	0.097741	0.0125413	0.0744826	0.107194	0.0314127	0.055231	0.135102	0.10331	0.0703039	0.146051	0.199939	0.0291662	0.0735722	0.0585168	0.0742739	0.235506	0.0557672	0.319336	0.887732	2.73717	5	3.164326
3000	-357.0714	-381.5239	24.45252	10	1.489122	0.0428197	0.00937553	0.0583054	0.0592739	0.0149397	0.0199936	0.19497	0.0834382	0.0078858	0.00759378	0.0188201	0.00904537	0.0225758	0.00285479	0.0751113	0.00348305	0.0592344	0.0202891	0.0378457	0.0533644	1.24458	0.0767758	0.0563811	0.0343501	0.118829	0.0931681	0.0230939	0.149824	0.0255947	0.0362654	0.0775926	0.106151	0.0822604	0.0366595	0.0189686	0.00982257	0.183191	0.223637	0.586736	1.04978	2.13985	5	3.174729
4000	-364.3868	-392.3616	27.97487	2	0.725145	0.00400622	0.0101362	0.0147174	0.0425539	0.00462912	0.0137243	0.101983	0.0298967	0.0424707	0.00478987	0.068815	0.0166952	0.042294	0.00758688	0.0102492	0.0200154	0.00632694	0.00626795	0.156407	0.0189684	0.565541	0.0182928	0.037	0.00707045	0.156219	0.0721612	0.108071	0.0143482	0.0892452	0.0127587	0.0264564	0.243979	0.0559627	0.0100557	0.0472534	0.0704507	0.066742	0.0795653	0.375157	0.933841	2.61144	4	2.224141
5000	-351.914	-381.1839	29.26988	10	1.287037	0.0413568	0.0111761	0.0662449	0.105408	0.00845221	0.148998	0.121487	0.0466243	0.035046	0.0276917	0.0237776	0.01092	0.0103212	0.0148304	0.00103719	0.00512393	0.000780092	0.0258837	0.0228938	0.0817353	0.949526	0.172778	0.0129878	0.0348917	0.050643	0.0214889	0.0559498	0.175047	0.130117	0.0784156	0.068874	0.0544731	0.11401	0.0354686	0.167527	0.00295373	0.0363611	0.190473	0.548791	1.03501	2.22572	5	2.971301
6000	-356.7187	-388.6315	31.9128	10	1.022032	0.0401331	0.00368856	0.0432909	0.0271252	0.00473559	0.0815681	0.213845	0.0547266	0.0419706	0.0408708	0.0534796	0.0337002	0.0393004	0.00694326	0.00780624	0.0397129	0.0854168	0.12277	0.0157344	0.0753493	0.98114	0.227374	0.0950611	0.0637143	0.00990751	0.0844518	0.0982651	0.00223208	0.00724693	0.0740086	0.0342789	0.0041712	0.067959	0.200062	0.155367	0.0476904	0.0204418	0.141329	0.483275	1.00356	2.37184	5	3.205539
7000	-352.5118	-381.8008	29.28898	10	1.827914	0.00275993	0.0371727	0.0391333	0.00303589	0.00514267	0.0138675	0.0689751	0.0474964	0.00252904	0.00670298	0.00931342	0.215923	0.0281593	0.0100688	0.000376674	0.00300325	0.0528418	0.088077	0.034534	0.115906	0.952508	0.234989	0.0964713	0.205482	0.170475	0.191616	0.0219838	0.0872612	0.0618787	0.0744492	0.0493209	0.0297908	0.0443505	0.0337177	0.0200252	0.0523462	0.14586	0.27183	0.635371	1.06502	2.02778	5	3.257545
8000	-344.2811	-383.3732	39.09204	10	0.4955183	0.0172421	0.0110091	0.00498909	0.0112772	0.00127016	0.00567327	0.0717197	0.0701394	0.0228997	0.010441	0.00388346	0.208697	0.00228244	0.0204201	0.000139587	0.00184345	0.00604023	0.0389647	0.00274588	0.0480446	0.727159	0.0605636	0.130393	0.0108757	0.0688539	0.0768621	0.0604935	0.0936498	0.0306481	0.0951875	0.0385703	0.0156119	0.0211692	0.204248	0.0795581	0.0442074	0.0289032	0.0325601	0.24898	0.81698	2.90148	5	2.346677
9000	-369.1363	-394.5856	25.44934	10	1.065989	0.0432912	0.0246549	0.0165918	0.0616105	0.0153815	0.0123517	8.70745e-05	0.089267	0.0166128	0.0525165	0.0182844	0.0687337	0.00935398	0.0452274	0.00904527	0.0025962	0.0179812	0.041986	0.115779	0.196439	0.637052	0.117008	0.00698838	0.079207	0.0816155	0.126964	0.0132324	0.162123	0.0444197	0.367234	0.108969	0.0804459	0.0526294	0.115177	0.63027	0.000661049	0.0468464	0.149929	0.495726	1.01013	2.34422	5	3.528634
10000	-355.5441	-388.7656	33.22151	10	1.986935	0.0386105	0.00389085	0.0169248	0.135766	0.0891182	0.00986792	0.0582711	0.0581682	0.0402836	0.0126861	0.0186783	0.0207793	0.00797524	0.00157358	0.0255162	0.00595453	0.0268971	0.195768	0.0486246	0.0814757	0.920123	0.0380023	0.0793901	0.109966	0.0120742	0.0679482	0.19811	0.0331604	0.0522163	0.0381655	0.109411	0.0578359	0.0638301	0.0455361	0.21013	0.0330775	0.00088585	0.29171	0.653617	1.06966	1.98501	5	2.966692
