Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-650.1109	-672.5848	22.47389	10	2.055803	0.00528305	0.167687	0.242005	0.119799	0.141737	0.0449431	0.427861	0.0440103	0.250969	0.0863634	0.00676004	0.286404	0.0894259	0.002805	0.0217883	0.0134296	0.0151151	0.223009	0.0608576	0.0854302	0.209093	0.186273	0.0981871	0.0555526	0.0135045	0.299846	0.660819	1.07133	1.96801	5	2.898292
1000	-433.6218	-464.5037	30.88194	10	0.4425225	0.138909	0.0263854	0.0453127	0.153318	0.0541951	0.265948	0.07013	0.0586681	0.0374702	0.0236006	0.037362	0.0371396	0.154658	0.0481108	0.0271843	0.169102	0.130809	0.304685	0.12405	0.188114	0.030057	0.156417	0.114297	0.0307451	0.132112	0.0232962	0.212748	0.773481	2.99047	5	2.558778
2000	-440.5855	-468.6368	28.05131	10	0.9045726	0.0647294	0.00311269	0.115354	0.131667	0.0132272	0.0955421	0.0877978	0.0355854	0.0753799	0.147373	0.0515751	0.225789	0.171156	0.109629	0.0648423	0.0987329	0.161779	0.0205997	0.0361054	0.0194172	0.487382	0.185902	0.146778	0.106963	0.0323536	0.117542	0.446062	0.982195	2.4542	5	2.688772
3000	-419.0514	-457.553	38.50156	10	0.3331538	0.0127232	0.0575365	0.0927023	0.0669969	0.0199478	0.0265126	0.0214195	0.0113667	0.0157906	0.00918238	0.0156842	0.051159	0.140319	0.101456	0.128538	0.109752	0.130546	0.156871	0.159489	0.0404524	0.172288	4.9376e-05	0.0249871	0.210014	0.0805565	0.00836603	0.130412	0.647502	3.21372	5	1.85634
4000	-438.5154	-470.7952	32.27973	10	0.2940924	0.0148618	0.0120692	0.0494098	0.118973	0.115107	0.0262694	0.0866158	0.0965223	0.0509334	0.0254544	0.0235862	0.299379	0.000930923	0.0337529	0.114187	0.223108	0.0404935	0.0768417	0.0318506	0.208055	0.0166787	0.18468	0.141713	0.183452	0.0235836	0.00482835	0.0999079	0.585747	3.30952	5	2.198508
5000	-448.4954	-471.3394	22.84399	10	0.3886606	0.0776139	0.0397351	0.243633	0.0126519	0.0669038	0.0811196	0.00195631	0.120715	0.107036	0.0226261	0.00280876	0.446365	0.192066	0.165787	0.00573793	0.0500006	0.0965095	0.198314	0.00845204	0.403117	0.0155112	0.244471	0.0129537	0.203915	0.231656	0.0151131	0.173236	0.718713	3.09294	5	3.051656
6000	-436.0925	-460.5689	24.47636	10	0.7629264	0.0116263	0.0845424	0.239289	0.0457203	0.0047399	0.0524061	0.343866	0.0843536	0.108978	0.0133694	0.0432336	0.135284	0.0369346	0.200793	0.0149853	0.171102	0.0616031	0.285575	0.203556	0.00806488	0.24574	0.000607598	0.329931	0.23772	0.185569	0.0876492	0.391768	0.946128	2.57445	5	3.149591
7000	-454.5763	-469.3334	14.75706	10	1.918008	0.0614495	0.0966248	0.151841	0.182019	0.317477	0.0984902	0.00982376	0.0264602	0.125282	0.0193892	0.0274709	0.179416	0.245527	0.166875	0.188136	0.0977362	0.557015	0.303088	0.00707318	0.079808	0.294042	0.0202308	0.0270597	0.0384739	0.3942	0.283287	0.646002	1.0678	2.00292	5	3.715008
8000	-431.3786	-454.3036	22.92494	10	2.365691	0.032291	0.0541489	0.196313	0.126405	0.000449235	0.0209467	0.0187395	0.0382115	0.072258	0.0103853	0.0168455	0.125538	0.199199	0.0362846	0.151428	0.219374	0.1932	0.157692	0.106876	0.0828602	0.43251	0.147184	0.381329	0.0518692	0.490433	0.333342	0.689007	1.07693	1.90072	5	3.362772
9000	-429.6105	-458.57	28.95941	10	0.6126488	0.0411344	0.0497641	0.170175	0.0382099	0.0143114	0.116049	0.0351692	0.0236006	0.0337143	0.0263824	0.00758805	0.199802	0.171704	0.0769446	0.201672	0.20555	0.194882	0.0403424	0.0307221	0.136512	0.0097413	0.0401158	0.237544	0.136765	0.396754	0.0557269	0.31923	0.887637	2.73741	5	2.635149
