Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-718.0376	-836.5106	118.473	10	0.9287963	0.0228826	0.138274	0.154897	0.104336	0.163033	0.0555985	0.078041	0.0638538	0.0504494	0.136332	0.0822095	0.0481634	0.111258	0.103212	0.00767161	0.103928	0.196376	0.271026	0.0446168	0.354162	0.101001	0.0310622	0.139221	0.0291752	0.0505058	0.0589234	0.057157	0.122537	0.454251	0.987121	2.43609	5	2.757367
1000	-436.6327	-562.2334	125.6007	10	0.2896232	0.149814	0.0273865	0.0432807	0.0730905	0.128978	0.0994515	0.000854106	0.026578	0.0478542	0.870302	0.0748128	0.0221074	0.0372115	0.0373015	0.0384036	0.0448446	0.202104	0.196202	0.00714726	0.0201419	0.0110807	0.404833	0.0284821	0.140328	0.051059	0.0107605	0.12385	0.00449139	0.0964509	0.577958	3.3211	5	2.918259
2000	-432.7828	-559.69	126.9072	10	0.534309	0.122867	0.0386891	0.0492142	0.115183	0.295945	0.0523675	0.020908	0.00599632	0.10385	0.848199	0.163683	0.0657014	0.00567215	0.0104641	0.211347	0.239327	0.330808	0.188855	0.0119242	0.0351404	0.259427	0.376195	0.285112	0.109701	0.0122416	0.026163	0.0251698	0.0399096	0.273725	0.843712	2.84265	5	4.010152
3000	-417.1128	-563.0757	145.9629	10	0.3655702	0.0440057	0.0788649	0.0633239	0.0151318	0.13365	0.0657694	0.0262324	0.0192819	0.0902597	0.592877	0.09858	0.0106917	0.0549913	0.0210329	0.224093	0.038585	0.0564974	0.123569	0.0485561	0.0588281	0.134431	0.206082	0.0195917	0.011466	0.00181852	0.0149252	0.122485	0.0120768	0.15561	0.691164	3.14115	5	2.37562
4000	-446.1745	-555.4257	109.2511	10	0.3738149	0.098447	0.028501	0.0791434	0.0557923	0.234469	0.138236	0.0473584	0.0220775	0.251722	1.04122	0.121344	0.0190528	0.0027935	0.0131324	0.217906	0.0520186	0.31516	0.0870153	0.00608383	0.0482339	0.0806523	0.414176	0.140694	0.0555621	0.0541143	0.00738275	0.109035	0.0131251	0.161942	0.701316	3.12362	5	3.74132
5000	-454.7726	-573.2316	118.459	10	2.544373	0.548982	0.109492	0.10139	0.108622	0.142584	0.168409	0.041543	0.0562531	0.366752	0.939257	0.124761	0.0480778	0.00740485	0.0593058	0.011725	0.46522	0.0282404	0.151846	0.0902975	0.0405042	0.0945603	0.2153	0.0873674	0.399557	0.0523639	0.0377599	0.028827	0.350624	0.70271	1.07911	1.86755	5	4.526403
6000	-423.2407	-563.5241	140.2835	10	0.2749936	0.188103	0.00537833	0.058276	0.0389165	0.104052	0.0253216	0.0442068	0.026779	0.125818	0.734711	0.169008	0.00466357	0.0124043	0.0101984	0.117514	0.0901882	0.000743269	0.0723417	0.281386	0.0870628	0.0411276	0.186111	0.0446273	0.00926099	0.120209	0.0705777	0.00306019	0.00348649	0.0852437	0.551318	3.35995	5	2.672044
7000	-430.2458	-561.9503	131.7045	10	0.4154864	0.0443877	0.0397873	0.020182	0.0223525	0.116067	0.0690092	0.0936774	0.0163333	0.123533	0.375575	0.0952503	0.0140898	0.0280113	0.00250931	0.205368	0.052418	0.174531	0.0365199	0.376903	0.0402732	0.0279046	0.466157	0.0759783	0.0426178	0.00287424	0.0376671	0.0657471	0.0190105	0.193227	0.747509	3.04025	5	2.665725
8000	-428.5834	-557.9022	129.3187	10	0.372671	0.11006	0.023781	0.031403	0.00700597	0.0882311	0.0674965	0.0143151	0.055901	0.224265	0.676761	0.12037	0.021773	0.0165961	0.00340143	0.0728078	0.04998	0.0547301	0.326197	0.0273373	0.0026481	0.125187	0.0166706	0.035467	0.0735292	0.0548099	0.0544729	8.1036e-05	0.0129772	0.161066	0.699929	3.12603	5	2.355278
9000	-424.8161	-561.9469	137.1309	10	0.6143497	0.224188	0.0601785	0.0162499	0.0982257	0.0860598	0.0049934	0.00711022	0.0768987	0.171351	0.721411	0.151192	0.0447524	0.00148027	0.011051	0.333963	0.108781	0.0983905	0.0410477	0.580635	0.0368845	0.0862493	0.133798	0.0616919	0.0225415	0.0137371	0.0694988	0.104253	0.0560805	0.320155	0.888467	2.7353	5	3.366615
