Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-5769.838	-5832.348	62.51066	10	1.946193	0.146904	0.0459932	0.0273735	0.0154952	0.218047	0.0275348	0.0236448	0.0413718	0.0567366	0.0104008	0.043093	0.00917795	0.00909361	0.0584061	0.121347	0.351453	0.0165931	0.0785036	0.123242	0.147545	0.0880665	0.0657356	0.0814357	0.0464731	0.0963526	0.13296	0.0475191	0.274928	0.0995396	0.0974209	0.243198	0.0460181	0.0368329	0.300362	0.188375	0.0136006	0.00790682	0.0452338	0.118836	0.152396	0.162559	0.158992	0.0465918	0.0119658	0.0572609	0.00162253	0.0306159	0.121982	0.135399	0.0149953	0.0440662	0.109656	0.306395	0.163947	0.0125924	0.0704293	0.168312	0.2981	0.0061499	0.0758035	0.0544303	0.0948249	0.171959	0.0112754	0.0855702	0.107484	0.0477527	0.137027	0.0445852	0.0010358	0.0953691	0.124686	0.087706	0.0680576	0.0633622	0.0627423	0.10646	0.0358166	0.130667	0.286766	0.649167	1.06858	1.99548	5	7.283394
1000	-3270.458	-3313.004	42.54613	2	1.177283	0.19171	0.0093198	0.0223242	0.0470457	0.00892857	0.365154	0.0282356	0.0111876	0.0937626	0.0232758	0.0833773	0.00686923	0.0351457	0.0304855	0.00232816	0.0340757	0.0527346	0.00517115	0.0192175	0.00921755	0.051742	0.0314008	0.0766535	0.0546191	0.0263765	0.00511923	0.0214849	0.0249023	0.184823	0.0442497	0.0238604	0.0170856	0.0441122	0.0169832	0.045257	0.0102646	0.00496791	0.107651	0.00538108	0.0182801	0.0974726	0.039392	0.0464226	0.262286	0.214157	0.079227	0.0286369	0.227467	0.0934254	0.0606933	0.149565	0.249917	0.119574	0.0221589	0.0645388	0.118183	0.00402294	0.12748	0.0221595	0.20939	0.287791	0.0554943	0.14243	0.065604	0.0180159	0.30778	0.206054	0.0433991	0.0335106	0.0178267	0.054176	0.0322281	0.00437549	0.0195855	0.105075	0.0292422	0.0248199	0.284156	0.0289143	0.170912	0.524244	1.02412	2.28072	4	5.891427
2000	-3263.455	-3303.414	39.95932	2	1.336699	0.160893	0.014804	0.0440638	0.042115	0.0434364	0.440985	0.0159102	0.00231118	0.0842011	0.0642181	0.0234866	0.0215676	0.0153701	0.0672338	0.00640857	0.193848	0.0275095	0.00126476	0.0190866	0.0512826	0.0472886	0.0102377	0.146982	0.038814	0.0363887	0.0013778	0.0249529	0.0138067	0.207615	0.0398573	0.00715605	0.0186433	0.0178089	0.0175588	0.0344678	0.0275985	0.0514512	0.0573366	0.0182391	0.042114	0.121688	0.00988995	0.0161018	0.294056	0.154571	0.159403	0.0186191	0.00480376	0.0115926	0.329338	0.00811117	0.424422	0.111157	0.109781	0.0845422	0.00586855	0.203171	0.127279	0.0181354	0.299339	0.244081	0.0529391	0.049233	0.0805077	0.089833	0.115752	0.0356902	0.0135847	0.0426922	0.0197186	0.00919716	0.0607112	0.0100164	0.120097	0.143201	0.0326015	0.040553	0.292724	0.0310016	0.198958	0.558908	1.0392	2.20294	4	6.195694
3000	-3270.618	-3311.757	41.13971	2	1.54472	0.134663	0.00870301	0.038597	0.0451552	0.00019629	0.644779	0.00667182	0.00196159	0.0803901	0.0259664	0.0447163	0.027011	0.00352043	0.0338489	0.0658441	0.0848325	0.00475824	0.011898	0.0252672	0.010765	0.0812736	0.00675776	0.0869781	0.0264242	0.0158267	0.0108381	0.0641448	0.00833624	0.049418	0.0183556	0.00990976	0.00927294	0.0190716	0.0304041	0.0453981	0.000795347	0.0610298	0.0894506	0.00139502	0.0288311	0.128276	0.105472	0.158491	0.0698884	0.169163	0.0185336	0.0168635	0.0869001	0.020669	0.032009	0.352261	0.188571	0.0817018	0.0122291	0.173624	0.0365491	0.0999156	0.0882857	0.0450602	0.180684	0.211404	0.323908	0.000141521	0.1033	0.0379214	0.407738	0.150761	0.045733	0.0355699	0.00131955	0.00993093	0.0127197	0.00744375	0.0160956	0.131439	0.0717178	0.0230554	0.092083	0.0408488	0.232149	0.595835	1.05294	2.11907	4	5.751733
4000	-3263.715	-3307.931	44.21632	2	1.567779	0.128127	0.0406039	0.0240837	0.0877401	0.0157532	0.52307	0.00108493	0.0126054	0.0962155	0.058569	0.0345618	0.00396275	0.00977396	0.0287584	0.0810301	0.0164346	0.0174463	0.00418691	0.0160695	0.0276328	0.0656153	0.00947117	0.0578089	0.0400925	0.0549427	0.0219154	0.032003	0.077188	0.187134	0.0399592	0.00816879	0.011799	0.0240334	0.0346434	0.0832312	0.024773	0.029501	0.0728214	0.0161585	0.0188892	0.0880948	0.0191816	0.147665	0.165311	0.0616599	0.0521737	0.0355666	0.00140523	0.00249334	0.019859	0.250012	0.252314	0.088097	0.0159862	0.100111	0.114549	0.121524	0.172054	0.0338729	0.187181	0.239543	0.0734657	0.100273	0.0914361	0.189573	0.063015	0.111644	0.0392761	0.0628686	0.0222283	0.000389339	0.0401876	0.0184306	0.244526	0.107966	0.017426	0.0198088	0.12027	0.0283901	0.235605	0.599463	1.05417	2.11077	4	5.657688
5000	-3269.637	-3310.672	41.03507	2	1.811922	0.110316	0.0271463	0.0345255	0.0590282	0.0277017	0.426411	0.0123937	0.0287493	0.0976563	0.0510259	0.040249	0.0240016	0.049618	0.0132988	0.0127584	0.109757	0.0695499	0.00110922	0.0518065	0.100566	0.0391845	0.00736064	0.0876398	0.0192224	0.0208442	0.00656969	0.0350595	0.0818203	0.0645174	0.0328883	0.0210464	0.0126674	0.0234473	0.0163934	0.0327947	0.0165948	0.0559405	0.110346	0.0361307	0.0164165	0.116064	0.0618004	0.16287	0.208622	0.0716625	0.108053	0.00211158	0.0297015	0.0311113	0.0535061	0.329149	0.438188	0.0431947	0.0838802	0.0150033	0.0796614	0.0217302	0.131818	0.0312283	0.281953	0.15491	0.017758	0.0272619	0.0237021	0.123474	0.12676	0.199749	0.03531	0.0321614	0.0288661	0.00981288	0.0565396	0.00736411	0.140253	0.130219	0.0557292	0.0376258	0.256545	0.0823022	0.269741	0.633398	1.06448	2.03238	4	5.932205
6000	-3259.167	-3298.197	39.03012	2	0.9829488	0.132246	0.0569232	0.035306	0.133827	0.0363068	0.407881	0.0129129	0.0326564	0.103623	0.0798261	0.00762679	0.0113972	0.0249828	0.0625564	0.06825	0.00798989	0.0350006	0.0129622	0.0310368	0.0254951	0.0613217	0.00697775	0.0720199	0.0547796	0.00936026	0.0127012	0.0230951	0.00238897	0.0833087	0.0394575	0.0136847	0.00274396	0.0169518	0.0267303	0.0629887	0.00979554	0.0242233	0.0741288	0.0313088	0.0435449	0.0971286	0.0499535	0.0790806	0.207639	0.362143	0.103958	0.0259871	0.0293372	0.00972648	0.0775054	0.0471965	0.423806	0.0716028	0.0266406	0.0242464	0.279776	0.0366227	0.177562	0.00351506	0.0601467	0.0645651	0.124292	0.208704	0.130372	0.0156846	0.0587124	0.270057	0.0121192	0.0137689	0.0458913	0.0283484	0.110857	0.0679721	0.0257726	0.128377	0.0555826	0.0195267	0.134863	0.197658	0.133539	0.471566	0.997116	2.39778	4	5.897016
7000	-3296.452	-3328.841	32.38862	2	1.267908	0.174029	0.015333	0.0889176	0.0530971	0.103198	0.586579	0.0199929	0.00101326	0.158038	0.0228695	0.0531552	0.00980568	0.031118	0.0167764	0.0813657	0.00828135	0.0184363	0.0166161	0.0144463	0.00188273	0.0893248	0.00599956	0.129044	0.0249621	0.0124987	0.00161058	0.0221829	0.00435912	0.133487	0.0430646	0.00651428	0.0135366	0.0367703	0.0188842	0.0764909	0.0266881	0.00127258	0.122942	0.00634699	0.068183	0.102998	0.0132459	0.0569568	0.259517	0.156975	0.185901	0.0142758	0.0423981	0.0095124	0.0926228	0.125114	0.433302	0.190592	0.0568095	0.0304581	0.097547	0.0435287	0.200576	0.0308033	0.0355658	0.0707192	0.0613766	0.470563	0.0464738	0.0351288	0.0743684	0.356091	0.0134153	0.0286909	0.0249304	0.0308568	0.355936	0.069041	0.0781923	0.150774	0.0832816	0.0226202	0.160328	0.210172	0.187144	0.544738	1.03329	2.23483	4	6.840775
8000	-3275.419	-3314.829	39.41029	2	1.830395	0.144117	0.0590977	0.0813701	0.0555637	0.0215237	0.417158	0.00298025	0.0340457	0.119002	0.00477867	0.076016	0.017867	0.0205688	0.0570184	0.0592592	0.166564	0.0276126	0.00143062	0.0191012	0.0331793	0.0868529	0.01689	0.0895443	0.0194014	0.0289638	0.0138711	0.0442513	0.00183922	0.0753003	0.0509057	0.0250646	0.0312493	0.025312	0.0481767	0.0292421	0.00608068	0.0242411	0.112054	0.0243983	0.0331666	0.0972654	0.0744762	0.0388835	0.238128	0.343021	0.042462	0.0209051	0.110346	0.00502974	0.0259752	0.0788248	0.384894	0.0911943	0.0294971	0.055104	0.127565	0.00389072	0.105659	0.0434708	0.0779828	0.322494	0.0315835	0.127657	0.0873689	0.118581	0.0950464	0.141725	0.0215346	0.0163959	0.0682167	0.0168207	0.172593	0.0289836	0.0312072	0.0601856	0.0971774	0.0176711	0.0845059	0.109874	0.272152	0.635675	1.0651	2.02707	4	5.849257
9000	-3266.986	-3306.888	39.9028	2	2.109161	0.122682	0.0471825	0.00199761	0.112122	0.0232199	0.418331	0.0300514	0.0231834	0.0914844	0.072607	0.0169303	0.018835	0.0269574	0.0534214	0.0155488	0.079921	0.0470955	0.00751691	0.0230639	0.0347268	0.0681581	0.0132857	0.0902714	0.0375266	0.0411155	0.00398431	0.0534252	0.00270934	0.114954	0.0652343	0.0115497	0.0318526	0.012763	0.00311841	0.0346435	0.0195564	0.014949	0.0931527	0.0499956	0.0250071	0.0894941	0.00993404	0.0226958	0.0537688	0.265765	0.171464	0.00810566	0.128972	0.00639275	0.101366	0.213068	0.55583	0.114038	0.028113	0.0176912	0.241364	0.155831	0.117086	0.0236334	0.126778	0.107243	0.10262	0.0157035	0.0769072	0.0469546	0.179674	0.096233	0.0331069	0.0191782	0.0309035	0.0259845	0.0711718	0.0903569	0.085414	0.084573	0.0802948	0.0112423	0.0791866	0.067336	0.305966	0.666141	1.0725	1.9554	4	5.809605
