Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-336.1037	-367.686	31.58223	10	0.2025892	0.0466171	0.104812	0.0654526	0.109875	0.113947	0.123249	0.0961617	0.189539	0.0768419	0.119557	0.0984797	0.0247159	0.129152	0.0174444	0.0279127	0.0694302	0.00951832	0.0430274	0.105582	0.0765333	0.174184	0.000580204	0.0352824	0.390382	3.57376	5	1.822032
1000	-197.6897	-229.0735	31.38375	10	1.29747	0.00434994	0.0520241	0.0201351	0.0910068	0.057582	0.0721671	0.0228394	0.0106386	0.0288421	0.00253504	0.0390873	0.00431902	0.644732	0.0766528	0.0303488	0.138817	0.171148	0.0662185	0.059748	0.0571629	0.168466	0.192274	0.550964	1.03593	2.22083	5	1.818821
2000	-193.0173	-220.3925	27.37522	2	2.086946	0.0166845	0.00372799	0.0201946	0.00705593	0.0956229	0.0109047	0.0163565	0.0431607	0.0102103	0.0073835	0.00925092	0.0116589	0.099394	0.202592	0.00940733	0.290145	0.00861409	0.136435	0.0934326	0.0487838	0.0644003	0.303437	0.663952	1.07202	1.96059	4	1.205416
3000	-196.8101	-221.0099	24.19981	1	2.110728	0.104965	0.0267739	0.0153091	0.0306266	0.0952234	0.0498045	0.00256611	0.00478909	0.0129863	0.00358285	0.0146316	0.00158575	0.0539319	0.19145	0.069799	0.336074	0.0591992	0.0261765	0.040117	0.0459049	0.0863573	0.306144	0.666294	1.07253	1.95503	3	1.271854
4000	-189.8859	-219.8702	29.98428	2	0.7071892	0.0145161	0.0168878	0.0128117	0.107126	0.0344758	0.0417941	0.00259511	0.00678079	0.0120805	0.000618922	0.00122542	0.0193905	0.0612637	0.007284	0.0416955	0.373232	0.0431562	0.0942544	0.101462	0.0585667	0.0954572	0.0757245	0.366903	0.927504	2.62987	4	1.146674
5000	-194.0647	-225.4586	31.39394	10	1.174872	0.153067	0.0225924	0.00504304	0.0670584	0.0852114	0.0879603	0.0253481	0.0318873	0.0172703	0.0180301	0.0373139	0.00152949	0.217141	0.107736	0.544884	0.0708314	0.0565856	0.167492	0.0494713	0.149389	0.0210655	0.17047	0.523668	1.02386	2.28201	5	1.936908
6000	-182.9528	-222.0411	39.08824	10	2.257446	0.0283299	0.000215391	0.0175352	0.0148546	0.170135	0.0127038	0.00483439	0.0359313	0.0207001	0.00368337	0.0213966	0.00587735	0.0955226	0.0900249	0.216237	0.0214423	0.169818	0.0261282	0.0721352	0.136804	0.0540575	0.322184	0.679867	1.07527	1.92268	5	1.218366
7000	-191.6983	-223.0974	31.39914	10	3.436147	0.0491806	0.00571554	0.0635519	0.0611204	0.176453	0.0867026	0.00853924	0.0775681	0.0299616	0.0273298	0.00630585	0.00433237	0.0234804	0.0374195	0.358245	0.0902048	0.140081	0.104856	0.0439864	0.02929	0.173553	0.420421	0.753135	1.08396	1.74248	5	1.597876
8000	-194.6096	-222.5864	27.9768	2	1.4148	0.0732024	0.00140241	0.0052844	0.0596828	0.0253819	0.0345957	0.0260812	0.0517563	0.00519512	0.00137118	0.0213072	0.0030647	0.0457692	0.0800183	0.355993	0.00458263	0.0638806	0.0257573	0.189101	0.158294	0.0654238	0.211856	0.573732	1.045	2.16941	4	1.297146
9000	-197.3048	-221.2289	23.92404	1	1.240983	0.0572252	0.0132448	0.0164366	0.000846974	0.102931	0.0287726	0.00201019	0.00974308	0.00644819	0.000458959	0.00194691	0.00556878	0.151773	0.123269	0.331813	0.0415139	0.109675	0.209374	0.0879714	0.00316029	0.0822227	0.182401	0.538878	1.03074	2.24798	3	1.386406
10000	-190.3375	-219.6381	29.30056	10	2.125029	0.045005	0.0359957	0.0757477	0.00161037	0.00781469	0.0271412	0.0165716	0.0662015	0.00635217	0.00347967	0.00182917	0.00345951	0.112464	0.223048	0.751157	0.0876564	0.147505	0.137754	0.19017	0.10667	0.0276744	0.307756	0.667683	1.07282	1.95174	5	2.075306
11000	-201.3233	-221.7563	20.43299	1	4.548373	0.0263215	0.00224208	0.041641	0.0269335	0.101386	0.0409419	0.00439705	0.0730546	0.0633778	0.0112928	0.00109427	0.036476	0.138192	0.142643	0.356375	0.0742316	0.0858375	0.00316019	0.0273428	0.0558751	0.0919561	0.482165	0.792266	1.08399	1.64158	3	1.404771
12000	-195.0925	-228.8865	33.79393	10	1.44259	0.0162731	0.0052683	0.0400433	0.0921016	0.0576063	0.0569303	0.00961312	0.129364	0.0113286	0.0119903	0.000613669	0.0196236	0.428679	0.0513292	0.21809	0.0564573	0.00253614	0.0205793	0.0681819	0.0349652	0.156488	0.216316	0.578713	1.04686	2.15811	5	1.488063
13000	-186.6605	-221.2005	34.54004	10	3.087456	0.0905746	0.0176262	0.0139639	0.0382101	0.0331483	0.0168887	0.0175491	0.09494	0.0360824	0.00186154	0.00229344	0.00102674	0.144723	0.0856667	0.0937769	0.324544	0.188426	0.00613807	0.115776	0.00905358	0.033482	0.395916	0.736258	1.08292	1.78491	5	1.365751
14000	-209.4508	-230.5263	21.07546	1	1.882207	0.0325583	0.0107505	0.0120749	0.0260288	0.0624859	0.098328	0.0543261	0.0946533	0.000736102	0.0122757	0.0195419	0.000938339	0.175507	0.399742	0.0129749	0.164915	0.052455	0.0846067	0.0584202	0.112266	0.121556	0.278796	0.641873	1.06674	2.01259	3	1.607141
15000	-197.7977	-226.2569	28.45928	10	1.88517	0.0303199	0.0118539	0.0356273	0.00642838	0.257756	0.0260194	0.0182514	0.149692	0.0321205	0.0138306	0.0188545	0.0399768	0.0271616	0.224723	0.0518492	0.502054	0.0417202	0.199097	0.0461961	0.125141	0.195942	0.279171	0.64222	1.06683	2.01178	5	2.054614
16000	-187.6172	-223.5511	35.93395	10	1.671212	0.0684471	0.0121911	0.072421	0.0688162	0.0632857	0.071403	0.00212921	0.0791732	0.0378287	0.043454	0.00316487	6.25627e-05	0.0666633	0.10437	0.0539549	0.252177	0.0691644	0.0840098	0.10537	0.16763	0.00840928	0.250601	0.614778	1.05907	2.07555	5	1.434125
17000	-193.0952	-222.3608	29.26562	10	2.387459	0.00623548	0.0221701	0.0119237	0.0130503	0.200484	0.0100222	0.00685962	0.0762283	0.0231618	0.0262619	0.0146876	0.00186681	0.150027	0.280294	0.191178	0.593989	0.0950347	0.00704239	0.244584	0.0481275	0.0409373	0.33552	0.690764	1.07723	1.89649	5	2.064166
18000	-191.4938	-223.3807	31.88695	10	2.552642	0.0315252	0.0180271	0.0171691	0.0299271	0.0279161	0.00866084	0.00416758	0.0910951	0.0370877	0.00190267	0.00574011	0.0364128	0.143824	0.149638	0.189005	0.286232	0.0987141	0.04127	0.0384487	0.0553171	0.0472355	0.351391	0.703306	1.0792	1.8661	5	1.359315
19000	-181.5861	-219.7068	38.12073	10	2.95392	0.0377986	0.0222906	0.0459399	0.00438167	0.0657153	0.040085	0.0119253	0.0104192	0.00439759	0.0165803	0.00103078	0.00433922	0.0464357	0.00257182	0.00191181	0.287507	0.054246	0.127222	0.0929899	0.115508	0.0565347	0.385665	0.728944	1.08228	1.80311	5	1.04983
20000	-180.8005	-222.7162	41.91578	10	0.4080299	0.00835956	0.00527841	0.0888873	0.0438109	0.0667908	0.0271395	0.000363629	0.0659241	0.0386738	0.00285771	0.00159208	0.00799603	0.0195594	0.0745325	0.0589478	0.0110987	0.293799	0.025143	0.0254849	0.0310329	0.0428432	0.0178897	0.187729	0.739826	3.05456	5	0.9401149
21000	-197.6261	-226.7177	29.09152	10	0.7425237	0.0514907	0.0289948	0.116915	0.191791	0.0663484	0.00180624	0.0334584	0.0157253	0.0415678	0.00429639	0.0103	0.0220741	0.0294851	0.172134	0.0715077	0.0233483	0.0379217	0.06487	0.0968234	0.623194	0.193744	0.0832847	0.382922	0.939662	2.59413	5	1.897797
22000	-182.472	-223.1818	40.70977	10	1.320281	0.0454457	0.00947528	0.0257681	0.0154423	0.0414801	0.0235899	0.00526299	0.103177	0.0360184	0.0189224	0.00348036	0.00448347	0.0480563	0.035317	0.00503205	0.0188246	0.0604869	0.0711653	0.145587	0.158163	0.073826	0.196178	0.555626	1.03786	2.21034	5	0.9490041
23000	-184.8231	-219.6137	34.79062	10	1.91854	0.0307094	0.018663	0.042549	0.0287144	0.0918557	0.0253665	0.000631266	0.0503528	0.0241883	0.0142987	0.0163029	0.0177884	0.111679	0.0795918	0.0924751	0.048039	0.00247964	0.686894	0.0798948	0.107698	0.0360762	0.283353	0.646062	1.06781	2.00277	5	1.606248
24000	-195.8807	-220.4407	24.56004	2	4.016983	0.00870719	0.00422261	0.0176699	0.0522706	0.0500346	0.0211679	0.0137695	0.033702	0.00652497	0.00125702	0.00013339	0.0123332	0.56793	0.119723	0.0233232	0.0995181	0.0494141	0.0514007	0.0620865	0.1863	0.0054213	0.455293	0.775794	1.0844	1.68451	4	1.38691
25000	-186.9693	-219.2879	32.3186	10	0.8710673	0.0781679	0.00104352	0.0151684	0.0283629	0.101491	0.0182559	0.00200296	0.0308122	0.00725606	0.0230357	0.00731656	0.00573464	0.442086	0.0767865	0.159459	0.0482593	0.132804	0.0850112	0.0237616	0.0159203	0.206373	0.110567	0.434247	0.974856	2.48033	5	1.509109
26000	-190.9023	-221.9486	31.04634	10	4.028973	0.0558759	0.00162971	0.00389566	0.0614622	0.0147165	0.01379	0.00343533	0.102276	0.0276995	0.03747	0.00698946	0.0120989	0.333903	0.167973	0.112	0.0356732	0.144096	0.0218732	0.0655641	0.0224757	0.057345	0.455947	0.776205	1.0844	1.68345	5	1.302244
