Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-169.9072	-182.4764	12.56916	10	0.6594073	0.289043	0.0624803	0.0381374	0.200323	0.106461	0.166512	0.163067	0.0430896	0.117885	0.104808	0.250146	0.0620434	0.0600712	0.0185198	0.121284	0.130186	0.122346	0.0655479	0.343731	0.908844	2.68188	5	2.056403
1000	-108.6307	-135.4457	26.81504	1000	0.6353729	0.402919	0.000148873	0.0399274	0.0481961	0.000649945	0.0153363	0.0134593	0.0237984	0.0300225	0.0289218	0.140907	0.00645329	0.198073	0.0691695	0.0678559	0.420559	0.0107641	0.0604761	0.331373	0.898345	2.70981	6	1.517161
2000	-126.1371	-141.3202	15.1831	2	1.434931	0.240023	0.022919	0.253167	0.0184883	0.00230294	0.0875643	0.0347374	0.000838715	0.0708109	0.0513537	0.165142	0.0295522	0.0226687	0.0512548	0.161233	0.0463422	0.0582093	0.215093	0.577355	1.04636	2.16119	4	1.316608
3000	-112.9277	-138.7587	25.83103	1000	1.406642	0.471795	0.0276775	0.0305557	0.0728319	0.0648169	0.0269578	0.00646522	0.00117604	0.0632875	0.0215975	0.192119	0.0208086	0.143925	0.252338	0.129008	0.0266587	0.256546	0.210534	0.572241	1.04443	2.17279	6	1.808565
4000	-113.0475	-140.7022	27.65476	1000	1.352861	0.242542	0.0484423	0.00157811	0.0940838	0.0994391	0.00275989	0.00788546	0.0346131	0.139699	0.0730661	0.036382	0.0178287	0.443498	0.0225211	0.0191383	0.0118913	0.374638	0.201672	0.56208	1.04047	2.19578	6	1.670006
5000	-124.74	-137.2786	12.53861	10	1.798329	0.0740927	0.00780731	0.207281	0.0163849	0.0468164	0.000932276	0.0150653	0.0810396	0.00962087	0.0273234	0.37083	0.0123714	0.0383767	0.29206	0.121379	0.461804	0.0820679	0.267952	0.631699	1.06401	2.03633	5	1.865253
6000	-118.4054	-136.1045	17.69911	10	1.476661	0.482134	0.0393021	0.0596865	0.0131474	0.0199752	0.0162994	0.0754732	0.0239047	0.017014	0.0208888	0.214159	0.0477866	0.168706	0.0553411	0.0372002	0.0103246	0.165423	0.221695	0.584625	1.04902	2.14466	5	1.466765
7000	-114.6838	-135.9495	21.26569	1000	2.326518	0.700003	0.0182918	0.104939	0.083895	0.0465339	0.0035184	0.00221874	0.0115108	0.104955	0.0821966	0.128973	0.00417003	0.0183522	0.559501	0.0687171	0.0335656	0.183691	0.329367	0.685778	1.07636	1.90849	6	2.155034
8000	-113.8464	-137.3438	23.49741	1000	1.17417	0.12619	0.0650759	0.387472	0.0322512	0.016409	0.0344687	0.0261605	0.0387089	0.117511	0.0648651	0.034175	0.644684	0.0483813	0.0145285	0.420062	0.0547599	0.0214027	0.170341	0.5235	1.02378	2.28238	6	2.147106
9000	-131.8799	-140.2409	8.360917	10	0.8043224	0.404338	0.0331892	0.0844648	0.0758676	0.0335594	0.064535	0.0235571	0.125799	0.056291	0.0438046	1.00527	0.0145621	0.0157201	0.00374545	0.262212	0.0214474	0.073619	0.0964782	0.408868	0.958145	2.53651	5	2.341985
10000	-132.8928	-142.2553	9.362528	1	0.8944926	0.150088	0.0548811	0.184412	0.00998826	0.036145	0.0404282	0.00107522	0.0243806	0.0728692	0.105366	0.29755	0.007416	0.145289	0.160378	0.144174	0.339472	0.0720067	0.115452	0.442569	0.980053	2.46193	3	1.845919
11000	-131.7405	-144.17	12.42948	1	1.934342	0.290392	0.142402	0.114056	0.0522617	0.0113433	0.00674439	0.0107324	0.0342532	0.0829006	0.136798	0.0677909	0.235295	0.0233562	0.00700722	0.108826	0.0683148	0.0427661	0.285309	0.647845	1.06826	1.99859	3	1.435238
12000	-117.8839	-137.8526	19.96865	10	0.1446633	0.0130143	0.0682597	0.150171	0.000288634	0.00146382	0.00240342	0.00972067	0.0640923	0.0927308	0.0286027	0.237877	0.357457	0.247239	0.002969	0.0140176	0.00149556	0.0261011	3.77744e-05	0.00908608	0.225675	3.7652	5	1.317904
13000	-124.9275	-142.0475	17.12009	2	1.641765	0.136354	0.026259	0.0898088	0.0708484	0.0537993	0.0127091	0.0629568	0.0313123	0.0214889	0.0228419	0.142118	0.0184818	0.00883678	0.0294612	0.0952938	0.00679957	0.214961	0.246415	0.61057	1.05777	2.08525	4	1.044332
14000	-129.3128	-138.5923	9.279441	10	3.106967	0.15955	0.00836376	0.356268	0.0242499	0.0859097	0.0350726	0.0183383	0.0397153	0.147356	0.0262467	0.350769	0.127843	0.0346959	0.174703	0.0606693	0.17155	0.0400463	0.397371	0.737284	1.083	1.78235	5	1.861345
