Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-413.6316	-431.2564	17.62473	10	0.07456827	0.0407684	0.176492	0.180616	0.00957851	0.0770131	0.0187631	0.0394932	0.211567	0.129577	0.0163881	0.00311451	0.0970454	0.188881	4.67578e-09	0.000101823	0.0352227	3.96468	5	1.189297
1000	-231.8031	-253.6948	21.8917	1000	2.568319	0.00442578	0.056155	0.0198538	0.0531712	0.00597083	0.0249907	0.0379527	0.0625027	0.091969	0.257486	0.589885	0.114689	0.154487	0.35284	0.704429	1.07936	1.86337	6	1.473539
2000	-230.7944	-246.505	15.71057	10	0.5957163	0.00373152	0.00948045	0.0073634	0.00149552	0.0358291	0.0224463	0.0211833	0.138032	0.122289	0.152018	0.105997	0.304856	0.18706	0.0522258	0.309883	0.879118	2.75877	5	1.111782
3000	-230.0472	-246.0983	16.05109	10	2.442301	0.00243043	0.0196825	0.0054613	0.0133422	0.0130607	0.0236736	0.0852297	0.0431625	0.092267	0.0922462	0.0839728	0.302156	0.210901	0.340917	0.69508	1.07794	1.88606	5	0.9875854
4000	-239.5036	-256.7272	17.22361	10	2.065414	0.0380529	0.0107292	0.0648924	0.00716715	0.0295157	0.00441488	0.0965983	0.0257732	0.131243	0.209422	0.119289	0.200055	0.141888	0.30096	0.661794	1.07154	1.9657	5	1.07904
5000	-232.6657	-247.1082	14.44247	2	3.119097	0.00486499	0.00679854	0.0112249	0.00734556	0.011485	0.00601577	0.0608332	0.157364	0.101734	0.0702903	0.0298043	0.254838	0.132842	0.398271	0.737916	1.08304	1.78077	4	0.8554404
6000	-227.2908	-251.1343	23.84351	1000	1.535046	0.00695205	0.00823385	0.00688638	0.0634357	0.0205818	0.058126	0.0569751	0.110373	0.16894	0.2055	0.146858	0.336138	0.185137	0.230686	0.594288	1.05242	2.12261	6	1.374138
7000	-231.6257	-249.2284	17.60266	1000	1.958663	0.0190378	0.00257492	0.00737729	0.0155724	0.0448948	0.0331858	0.101563	0.103624	0.15157	0.356493	0.0987602	0.82688	0.19594	0.28829	0.650545	1.06892	1.99225	6	1.957473
8000	-216.3453	-244.491	28.14569	1000	0.8100842	0.00193854	0.00760155	0.000825717	0.000194285	0.00209199	0.00956592	0.0875853	0.0114452	0.144316	0.180655	0.157868	0.312938	0.160238	0.0977027	0.411163	0.95971	2.53142	6	1.077264
9000	-222.9101	-248.6632	25.7531	1000	1.114343	0.00401511	0.0118179	0.0216653	0.000761076	0.00203191	0.00334263	0.0781299	0.0465467	0.103947	0.105493	0.165877	0.612263	0.134526	0.159187	0.508615	1.01663	2.31556	6	1.290417
10000	-229.4684	-245.0052	15.53682	10	2.638083	0.00311118	0.0121707	0.0176862	0.019772	0.0209055	0.0236759	0.0407807	0.0568287	0.111574	0.204117	0.0886038	0.423422	0.140037	0.359169	0.709292	1.08004	1.8515	5	1.162684
11000	-233.8593	-250.8149	16.95557	10	1.290905	0.00499108	0.000146244	0.0050037	0.00170757	0.0100438	0.0572822	0.0658088	0.124288	0.0502928	0.241121	0.346204	0.110993	0.0862366	0.191142	0.549599	1.03536	2.2239	5	1.104119
12000	-232.46	-243.2961	10.83601	2	2.598716	0.00503607	0.00307778	0.00870695	0.00254906	0.0178975	0.0328517	0.0592018	0.0442514	0.141457	0.28093	0.368307	0.150464	0.110467	0.35562	0.706574	1.07967	1.85814	4	1.225196
13000	-237.5198	-248.8673	11.34746	2	1.042001	0.00906851	0.00934015	0.0152885	0.00755413	0.0209179	0.0672147	0.00738077	0.00744826	0.186722	0.253407	0.544943	0.0964438	0.114293	0.145257	0.489022	1.00662	2.3591	4	1.340022
14000	-228.2223	-243.1179	14.89558	10	2.033655	0.00894079	0.00214326	0.0075242	0.00342349	0.00803442	0.0163234	0.00102956	0.0935443	0.147378	0.237198	0.448844	0.0769336	0.127429	0.297259	0.658545	1.07081	1.97339	5	1.178746
15000	-232.3934	-245.9632	13.56981	10	1.693199	0.00267646	0.000441623	0.0390862	0.00304101	0.0296252	0.0291329	0.0323	0.0977787	0.125289	0.302774	0.404951	0.120245	0.129132	0.253685	0.617846	1.06001	2.06846	5	1.316473
16000	-220.8269	-248.1064	27.27947	1000	0.7599326	0.00547025	0.0038571	0.0150841	0.000188009	0.0156469	0.0382584	0.0201496	0.0592429	0.170995	0.25298	0.325921	0.285478	0.111559	0.0870091	0.390488	0.945203	2.5773	6	1.304831
17000	-218.9338	-249.9523	31.01856	1000	0.2830258	0.00716626	0.000170746	0.00385107	0.00272109	0.0230319	0.0347476	0.0274568	0.00368878	0.139594	0.154823	0.250877	0.0455121	0.171209	0.00401964	0.0913736	0.566164	3.33844	6	0.8648491
18000	-239.4124	-249.8191	10.40667	1	1.386265	0.0110426	0.00348068	0.00124519	0.00505017	0.0366414	0.0494002	0.0464906	0.0443792	0.073549	0.174486	0.465602	0.221046	0.135165	0.207206	0.568461	1.04298	2.18135	3	1.267578
19000	-228.8357	-244.7462	15.91049	10	1.803691	0.00363401	0.0087462	0.00135506	0.0143752	0.013433	0.0378793	0.0406414	0.0417037	0.111361	0.179614	0.304977	0.100285	0.162282	0.268659	0.632371	1.0642	2.03477	5	1.020287
20000	-230.1775	-244.8507	14.67313	10	2.273544	0.00596354	0.010581	0.0020696	0.00486528	0.0428276	0.0557495	0.0505079	0.00555993	0.194487	0.22338	0.201695	0.35236	0.112238	0.323878	0.68127	1.07554	1.91931	5	1.262285
21000	-229.7801	-243.9911	14.21099	2	1.777893	0.00275393	0.0108692	0.00215924	0.00463646	0.0114228	0.0296166	0.0380668	0.0167228	0.092807	0.159809	0.100489	0.238972	0.101621	0.265239	0.629106	1.06329	2.04236	4	0.8099462
22000	-225.7932	-244.6068	18.81363	10	0.7480389	0.00400201	0.0150541	0.0014239	0.00206968	0.00940162	0.0412893	0.0103817	0.00738295	0.135568	0.131161	0.0648613	0.361127	0.135758	0.0844649	0.385341	0.941448	2.58875	5	0.9194803
