Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1175.476	-1193.015	17.53926	10	0.8524196	0.204212	0.14929	0.242034	0.108642	0.0981213	0.01596	0.061487	0.0102311	0.205466	0.490403	0.0544035	0.183133	0.122356	0.0233073	0.051943	0.17233	0.249023	0.0144785	0.0582056	0.170588	0.0967873	0.106654	0.427412	0.970485	2.49545	5	2.782402
1000	-743.1931	-768.3053	25.11224	10	0.4849708	0.277916	0.0812317	0.0197316	0.0427627	0.0686944	0.370916	0.0328264	0.000287932	0.000310522	0.0560884	0.0292958	0.002326	0.25618	0.000878219	0.000123134	0.451229	0.0440605	0.0302315	0.471327	0.48322	0.0228796	0.0306371	0.241991	0.809017	2.91835	5	2.742516
2000	-740.0269	-767.1436	27.11676	10	0.6330512	0.287181	0.00973744	0.141332	0.114374	0.179043	0.159448	0.0192002	0.00136256	0.000623002	0.0209541	0.0607953	0.0151221	0.270445	0.0269926	0.0320182	0.286198	0.0233363	0.290907	0.395277	0.376672	0.0127911	0.0599886	0.330153	0.897287	2.71257	5	2.72381
3000	-731.0806	-764.4448	33.36414	10	0.264495	0.160086	0.00571939	0.00968422	0.0571227	0.0373681	0.0349681	0.0291904	0.00454329	0.0122267	0.0174194	0.0289146	0.0109628	0.15894	0.12499	0.00428803	0.255215	0.0082957	0.00901808	0.390391	0.245113	0.0314001	0.00285723	0.0773397	0.531073	3.38873	5	1.635857
4000	-736.9941	-771.4732	34.47908	10	0.2785806	0.263734	0.0625318	0.0400616	0.110816	0.019081	0.134053	0.0290585	0.00830089	0.00590444	0.0178525	0.0204556	0.0306236	0.157492	0.0154905	0.0858212	0.126577	0.00198279	0.00247567	0.281088	0.278078	0.017211	0.00371901	0.0879734	0.558015	3.35029	5	1.708689
5000	-745.1257	-779.3961	34.27037	10	0.2847796	0.16081	0.0421005	0.0603776	0.0831208	0.0221678	0.24056	0.0151167	0.0113413	0.00828122	0.0548143	0.0130874	0.0284563	0.169536	0.0311434	0.0264164	0.243546	0.00276684	0.0155392	0.115783	0.564898	0.00951802	0.00414206	0.09272	0.569334	3.3338	5	1.919381
6000	-735.3041	-773.5809	38.27683	10	0.1808032	0.162034	0.0245551	0.0379527	0.0618397	0.0698855	0.171121	0.0106659	0.00235231	0.000367953	0.0235283	0.00778726	0.0204179	0.263119	0.0041459	0.0120036	0.15254	0.199401	0.0569179	0.318207	0.0199441	0.00428464	0.000255144	0.0234864	0.331737	3.64452	5	1.623072
7000	-733.3706	-771.2343	37.86376	10	0.1621259	0.149294	0.0165767	0.00158718	0.0361411	0.0222883	0.023732	0.0606022	0.00195311	0.00155172	0.0110684	0.0173391	0.0297991	0.273764	0.00262684	0.121624	0.195181	0.438122	0.000652627	0.136234	0.002762	0.023529	0.000105764	0.0151661	0.278023	3.70671	5	1.566428
8000	-739.9736	-772.4744	32.50089	10	0.5290338	0.226822	0.00357804	0.0336021	0.059503	0.0421444	0.109799	0.107039	0.0116517	0.00395247	0.0267618	0.0428338	0.0108342	0.24873	0.00476372	0.00643232	0.230201	0.495615	0.00301349	0.0353743	0.423692	0.0605765	0.0388871	0.270448	0.840296	2.85037	5	2.186918
9000	-735.8549	-765.6356	29.78072	10	0.3508069	0.238565	0.0337138	0.0402958	0.175425	0.116821	0.0199896	0.0131253	0.0122738	0.00146238	0.0425146	0.0244206	0.0104953	0.480421	0.0445364	0.00896657	0.248576	0.349964	0.243718	0.00336485	0.172511	0.0481652	0.0103035	0.144183	0.67205	3.17346	5	2.329324
10000	-744.8265	-770.8905	26.06404	10	1.012879	0.293506	0.0263005	0.0639158	0.232998	0.00438525	0.34251	0.0322554	0.00385159	0.00742742	0.034338	0.0219988	0.0250467	0.591654	0.00534432	0.053753	0.204955	0.245755	0.0145991	0.0276658	0.14672	0.0449655	0.139516	0.480589	1.0021	2.37779	5	2.423944
11000	-735.7755	-761.842	26.0665	10	0.6343914	0.377469	0.0365971	0.0117703	0.0587695	0.0427548	0.354365	0.00487492	0.000703671	0.00264676	0.063219	0.0171883	0.0479959	0.392125	0.0283354	0.00203687	0.290479	0.472773	0.0222332	0.0501201	0.324089	0.02313	0.0602699	0.330858	0.897899	2.71097	5	2.623676
12000	-739.9214	-771.5756	31.65419	10	0.2880296	0.192472	0.0815523	0.0470591	0.330997	0.0335056	0.00232661	0.0104196	0.00628948	0.00852659	0.0237578	0.0448828	0.036948	0.581891	0.0259722	0.00693152	0.169754	0.370273	0.00594826	0.197011	0.0117763	0.0046247	0.00437464	0.0952214	0.575141	3.32526	5	2.192918
13000	-740.7965	-769.9037	29.10724	10	0.1946014	0.136163	0.0469953	0.0164566	0.243977	0.051196	0.343913	0.023302	0.000528167	0.00295973	0.0181778	0.0324898	0.0142053	0.509235	0.0013364	0.0714861	0.136926	0.074024	0.0228259	0.0468181	0.00715019	0.330154	0.000438594	0.0307202	0.369422	3.59942	5	2.13032
14000	-737.4038	-767.4214	30.01765	10	0.4175889	0.131519	0.127344	0.00608301	0.146568	0.0165366	0.108349	0.040456	0.00119923	0.00584139	0.0217193	0.0279633	0.0152469	0.387461	0.0924548	0.00529119	0.297357	0.0847664	0.0139933	0.0270322	0.021191	0.298041	0.0193315	0.194768	0.749633	3.03627	5	1.876413
